# GoalTracker 财报跟踪
股票代码,公司名称,行业,行业二级,行业三级,板块,林奇类型,披露日期,报告期,季度,营业收入,营收同比,毛利润,净利润,扣非净利润,扣非净利同比,经营现金流,销售收现,资本开支,ROE,毛利率
605123.SH,派克新材,国防军工,航空装备Ⅱ,航空装备Ⅲ,上交所主板A股,,2026-08-31,2026-06-30,2026Q2,22.3694096806,25.8182520382,4.6295,1.9889098450999998,1.8524493491,9.461558806623,1.254324134,19.3408,4.5894,4.27,20.695845578
605366.SH,宏柏新材,基础化工,化学制品,其他化学制品,上交所主板A股,,2026-08-31,2026-06-30,2026Q2,8.4702813011,15.8515098724,0.5463,-0.3048549703,-0.4294762721,-31.756111929115,-0.2710977485,5.4456,0.6956,-1.28,6.4500647036
603316.SH,诚邦股份,电子,半导体,数字芯片设计,上交所主板A股,,2026-08-31,2026-06-30,2026Q2,3.4162522886,65.1564335356,0.315,0.2239955373,0.13474909599999998,219.225459923946,-0.3351708597,4.5918,0.0691,4.15,9.2210869891
603399.SH,永杉锂业,有色金属,能源金属,锂,上交所主板A股,,2026-08-31,2026-06-30,2026Q2,43.6656705679,82.5820580695,5.3861,1.9779394603,2.9016093173,277.274405191334,-2.7774441554,47.637,0.3637,12.49,12.3348230494
605100.SH,华丰股份,机械设备,通用设备,金属制品,上交所主板A股,,2026-08-31,2026-06-30,2026Q2,4.9510982698,32.5846067785,0.7288,0.1892082937,0.1698217718,47.022712864904,-0.6501477257,1.1632,0.0202,1.05,14.7198846596
603185.SH,弘元绿能,电力设备,光伏设备,光伏电池组件,上交所主板A股,,2026-08-31,2026-06-30,2026Q2,42.8270056291,32.6493777668,2.2297,-6.7933129277,-4.8432292698,-36.193776466771,1.281348069,38.3596,9.2088,-5.74,5.206363032
603126.SH,中材节能,环保,环保设备Ⅱ,环保设备Ⅲ,上交所主板A股,,2026-08-31,2026-06-30,2026Q2,18.000120198199998,49.189929146,2.5623,0.0446431662,0.026360347599999997,110.267048365772,-3.8896355012,11.6124,2.6496,0.2186,14.2347988329
605016.SH,百龙创园,基础化工,化学制品,食品及饲料添加剂,上交所主板A股,,2026-08-31,2026-06-30,2026Q2,7.5946345152,16.9867900171,3.3207,2.1063566621,2.1098126508,26.289006007637,4.4105953069,7.877,2.8486,9.92,43.7242882927
601727.SH,上海电气,电力设备,其他电源设备Ⅱ,综合电力设备商,上交所主板A股,,2026-08-31,2026-06-30,2026Q2,633.31968,16.6,118.1918,9.69994,5.50135,0.816966813701,32.59299,692.367,20.843,1.76,18.2733817743
600155.SH,华创云信,非银金融,证券Ⅱ,证券Ⅲ,上交所主板A股,,2026-08-31,2026-06-30,2026Q2,17.5813085944,33.941238992,,2.3864305516,2.3253372844999998,245.059425448367,26.133744965300004,3.4816,0.6569,1.19,
603186.SH,华正新材,电子,元件,印制电路板,上交所主板A股,,2026-08-31,2026-06-30,2026Q2,29.5990482948,41.2788891917,4.7147,1.7292998194999998,1.6653007831,385.105041421957,3.769709902,23.7012,1.0476,7.86,15.9287171721
603048.SH,浙江黎明,汽车,汽车零部件,其他汽车零部件,上交所主板A股,,2026-08-31,2026-06-30,2026Q2,3.9930953867000003,16.9742689876,1.371,0.2619223199,0.23516597239999998,-12.215487503532,-0.11378284109999999,3.0903,0.1635,2.06,34.3336081894
605168.SH,三人行,传媒,广告营销,营销代理,上交所主板A股,,2026-08-31,2026-06-30,2026Q2,19.8056745541,19.547296022,3.2328,0.7886281026,1.2829454927,1.293649575797,0.31913728350000004,20.4642,0.0063,2.88,16.3228051903
601162.SH,天风证券,非银金融,证券Ⅱ,证券Ⅲ,上交所主板A股,,2026-08-31,2026-06-30,2026Q2,15.8773793375,29.9432079513,,2.0375271766,2.1532380175,801.76843828525,34.7744230033,,,0.75,
603557.SH,*ST起步,纺织服饰,服装家纺,鞋帽及其他,上交所风险警示板A股,,2026-08-31,2026-06-30,2026Q2,6.0395722497,603.6201292904,0.3409,-0.4271055873,-0.4894240671,19.75266825879,-0.4590294085,5.239,0.0306,-66.94,5.6448055277
600516.SH,方大炭素,钢铁,冶钢原料,冶钢辅料,上交所主板A股,,2026-08-31,2026-06-30,2026Q2,19.7054681699,16.5795801532,2.3864,1.7094462883000001,0.1009863268,21.002433270228,0.290431665,20.5957,5.0961,1.0357,12.1104577365
603638.SH,艾迪精密,机械设备,工程机械,工程机械器件,上交所主板A股,,2026-08-31,2026-06-30,2026Q2,22.619587093099998,44.2065334804,6.4823,3.0573721801,2.9000744279000004,56.399880053409,0.570078525,12.3334,0.6356,7.96,28.6578492491
600988.SH,赤峰黄金,有色金属,贵金属,黄金,上交所主板A股,,2026-08-31,2026-06-30,2026Q2,70.17772302520001,33.1130924648,40.3845,17.322924212100002,17.3836167232,56.34033215043,18.8038525336,69.9474,14.047,12.31,57.546091123
601872.SH,招商轮船,交通运输,航运港口,航运,上交所主板A股,,2026-08-31,2026-06-30,2026Q2,196.5121404535,56.1524780529,88.3871,69.5950045903,69.0732573556,262.364152720275,81.3058009103,187.3535,47.5368,15.61,44.9779229906
601555.SH,东吴证券,非银金融,证券Ⅱ,证券Ⅲ,上交所主板A股,,2026-08-31,2026-06-30,2026Q2,57.5096922317,29.8784392402,,24.2049338711,24.1336887392,25.61577039982,55.6521867584,,,5.53,
603172.SH,万丰股份,基础化工,化学制品,纺织化学制品,上交所主板A股,,2026-08-31,2026-06-30,2026Q2,3.4205614663999997,24.2141139843,0.9465,0.3305177593,0.3248478596,33.11585636458,0.0427862779,1.366,0.351,2.98,27.669744248
603175.SH,超颖电子,电子,元件,印制电路板,上交所主板A股,,2026-08-31,2026-06-30,2026Q2,29.120435667,33.2879043202,4.4285,-1.9120567222,-2.044428471,-244.312338360511,0.6585454103,26.3372,13.5602,-6.99,15.2075954551
600310.SH,广西能源,公用事业,电力,电能综合服务,上交所主板A股,,2026-08-31,2026-06-30,2026Q2,19.2116075289,17.3982990757,5.9184,1.2416670754999999,1.1018033881,235.947236681532,7.0837786789,20.8169,3.7334,4.41,30.8064333445
603825.SH,ST华扬,传媒,广告营销,营销代理,上交所风险警示板A股,,2026-08-31,2026-06-30,2026Q2,7.6433941797000005,24.2911225455,1.3098,-1.231194269,-1.0940006292,46.87826383747,-1.8135261437999999,10.4688,0.023,,17.1360406608
601156.SH,东航物流,交通运输,物流,跨境物流,上交所主板A股,,2026-08-31,2026-06-30,2026Q2,142.525635336,26.6168652106,22.3896,14.1830900555,12.5222826307,8.306250678173,40.3854075297,131.9391,5.3849,6.95,15.7092061222
600031.SH,三一重工,机械设备,工程机械,工程机械整机,上交所主板A股,,2026-08-31,2026-06-30,2026Q2,535.06463,19.4868647877,150.1023,56.90229,46.81837,-13.450647959623,97.67583,527.5361,11.1654,6.16,27.7819043049
603188.SH,亚邦股份,基础化工,化学制品,纺织化学制品,上交所主板A股,,2026-08-31,2026-06-30,2026Q2,4.7142106721,17.230396259,0.824,0.09938769609999999,0.08862034349999999,1605.36002662368,-0.5003819391,2.0319,0.1119,1.43,17.4796938664
600061.SH,国投资本,非银金融,多元金融,金融控股,上交所主板A股,,2026-08-31,2026-06-30,2026Q2,79.7370192302,31.42,79.6267,21.9852056134,23.005576663200003,37.085366897577,420.9473226181,,1.1686,4.0,65.7845792659
600150.SH,中国船舶,国防军工,航海装备Ⅱ,航海装备Ⅲ,上交所主板A股,,2026-08-31,2026-06-30,2026Q2,915.298416046,26.005331272,158.9518,99.5356775653,97.423902,237.026146016835,109.1833671741,865.8022,16.5633,6.71,17.3661199239
600186.SH,莲花控股,食品饮料,调味发酵品Ⅱ,调味发酵品Ⅲ,上交所主板A股,,2026-08-29,2026-06-30,2026Q2,19.1413641149,18.1013261159,5.6387,2.4359947017,2.0258724562,25.516919064026,-1.3681756197,18.3423,0.037,12.46,29.4584148154
