# GoalTracker 财报跟踪（全市场 2026 中报：披露日期抓取 + earnings 目录补充 + 分类地图点名补抓缺失代码）
股票代码,公司名称,行业,行业二级,行业三级,板块,林奇类型,披露日期,报告期,季度,营业收入,营收同比,毛利润,净利润,扣非净利润,扣非净利同比,经营现金流,销售收现,资本开支,ROE,毛利率
000001.SZ,平安银行,银行,银行Ⅱ,股份制银行Ⅲ,深交所主板A股,,2026-08-15,2026-06-30,2026Q2,706.17,1.7755999135,,256.96,256.33,2.819895707982,2150.12,,,5.22,
000002.SZ,万科A,房地产,房地产开发,住宅开发,深交所主板A股,,2026-08-28,2026-06-30,2026Q2,701.6910854907001,-33.3774144832,55.6918,-149.512685225,-138.40436168690002,-19.406509075499,4.9476601342,478.9086,5.1124,-13.65,7.9368000104
000006.SZ,深振业A,房地产,房地产开发,住宅开发,深交所主板A股,,2026-08-26,2026-06-30,2026Q2,7.9643238424,-57.6974837981,1.0954,-0.9573137232,-0.9887142934,-30.734441756094,4.4395365702,,0.0466,-1.8,13.7542343415
000007.SZ,全新好,商贸零售,一般零售,商业物业经营,深交所主板A股,,2026-08-26,2026-06-30,2026Q2,2.0916634982,8.1629044228,0.2627,-0.0277409717,-0.0200338437,-180.67047659192,1.4406703868000001,,0.0059,-1.54,12.5606494174
000008.SZ,神州高铁,机械设备,轨交设备Ⅱ,轨交设备Ⅲ,深交所主板A股,,2026-08-29,2026-06-30,2026Q2,5.91113269,3.3073491629,2.0826,-0.5338747845,-0.7452210161,30.853286758096,-0.6263633695,8.2325,0.0541,-2.47,35.2318811947
000009.SZ,中国宝安,综合,综合Ⅱ,综合Ⅲ,深交所主板A股,,2026-08-29,2026-06-30,2026Q2,133.5394955143,23.1992893596,31.8168,-0.297328725,-0.38809874759999996,-130.620011227103,0.8469798457,97.589,13.2801,-0.3,23.8257283719
000010.SZ,*ST美丽,建筑装饰,基础建设,园林工程,深交所风险警示板A股,,2026-08-29,2026-06-30,2026Q2,1.9561989906000001,-15.0065291121,0.1609,-0.1701235134,-0.1684267802,69.191812015721,-0.3537114298,3.9844,0.0001,-6.59,8.2228559044
000011.SZ,深物业A,房地产,房地产开发,住宅开发,,,2026-08-29,2026-06-30,2026Q2,12.0516967591,10.7785436973,1.5743,-0.6817538159000001,-0.7260332209,-185.693861184966,0.1457837391,14.2721,0.6123,-2.03,13.0629474237
000012.SZ,南玻A,建筑材料,玻璃玻纤,玻璃制造,深交所主板A股,,2026-08-28,2026-06-30,2026Q2,61.18978774,-5.6231950778,5.0317,-4.21151211,-4.69705829,-2259.68668149201,2.05008283,63.4714,3.2912,-3.26,8.2230473676
000014.SZ,沙河股份,房地产,房地产开发,住宅开发,深交所主板A股,,2026-08-28,2026-06-30,2026Q2,2.3268782012,3.3646268815,0.5507,-0.1410627307,-0.2059806616,-8.694413744273,-0.2838496255,2.2704,0.0087,-0.92,23.6660888273
000016.SZ,*ST康佳A,家用电器,白色家电,冰洗,深交所风险警示板A股,,2026-08-28,2026-06-30,2026Q2,38.5157137034,-26.6018940615,2.4675,-1.727802956,-2.0924411009,79.635651844803,-5.3615467139,31.138,0.7917,,6.4064097887
000017.SZ,深中华A,纺织服饰,饰品,钟表珠宝,,,2026-08-25,2026-06-30,2026Q2,3.0038386976,-6.1134980832,0.2292,0.10582965529999999,0.0911362859,-49.187350917144,-0.24482676820000002,2.6637,0.0106,2.72,7.6303586835
000019.SZ,深粮控股,农林牧渔,农产品加工,粮油加工,,,2026-08-25,2026-06-30,2026Q2,23.8759234377,0.1411319162,3.8645,1.1186497409,0.8581458918000001,-45.692092247063,-0.5288155328,25.1997,0.4953,2.22,16.1857028034
