# GoalTracker 财报跟踪
股票代码,公司名称,行业,板块,林奇类型,披露日期,报告期,季度,营业收入,营收同比,毛利润,净利润,扣非净利润,扣非净利同比,经营现金流,资本开支,ROE,毛利率,预期营收,预期净利,预期营收同比,预期净利同比
600468.SH,百利电气,电力设备,上交所主板A股,,2026-08-26,2026-06-30,2026Q2,12.2975118486,19.4051402418,2.1873,0.4170484695,0.37973808189999997,-30.895839997306,-1.4744360294999999,0.2738,2.05,17.7861677836,,,,
600833.SH,第一医药,医药生物,上交所主板A股,,2026-08-26,2026-06-30,2026Q2,9.8157084353,-1.5076812281,1.4994,0.2616978029,0.013119012900000001,-85.442760565283,0.2137226123,0.0494,2.29,15.2753263178,,,,
603026.SH,石大胜华,电力设备,上交所主板A股,,2026-08-26,2026-06-30,2026Q2,47.845728557700006,58.9101314344,9.3738,4.4972610925,4.5360099323,893.913261172776,-12.3532540424,1.0368,8.74,19.591803035,,,,
002682.SZ,龙洲股份,交通运输,深交所主板A股,,2026-08-26,2026-06-30,2026Q2,9.0972835272,-18.2397400645,0.0519,-0.9201019554000001,-1.1764273469,-49.173870464037,0.1714298823,0.1442,-17.69,0.5700746299,,,,
002873.SZ,新天药业,医药生物,深交所主板A股,,2026-08-26,2026-06-30,2026Q2,3.3182548606999998,-7.385335446,2.4231,0.0486143622,0.0398439754,11.311732414699,1.1003869593,0.3857,0.39,73.0232374101,,,,
003043.SZ,华亚智能,电子,深交所主板A股,,2026-08-26,2026-06-30,2026Q2,4.6985738813,8.3223648583,1.3517,0.3620185968,0.3270849788,26.166160218511,0.8349886370999999,0.3125,1.97,28.7690279146,,,,
601098.SH,中南传媒,传媒,上交所主板A股,,2026-08-26,2026-06-30,2026Q2,58.428579828400004,-8.242495733,27.9584,9.3250118609,9.2381818457,-7.146530718994,-7.6508858042,0.456,5.65,47.8505976524,,,,
002463.SZ,沪电股份,电子,深交所主板A股,,2026-08-26,2026-06-30,2026Q2,136.89427504,61.1682833526,52.9994,29.23361746,27.94525941,70.002677269413,11.50686191,36.0201,17.38,38.7155693432,,,,
002371.SZ,北方华创,电子,深交所主板A股,,2026-08-26,2026-06-30,2026Q2,201.61416890560002,24.9038763685,80.7833,33.7002067675,33.4071914936,5.022908563986,37.7369881734,8.3047,8.58,40.0682862059,,,,
605389.SH,长龄液压,机械设备,上交所主板A股,,2026-08-26,2026-06-30,2026Q2,5.5051772654999995,18.3400480498,1.6283,0.7194466916,0.6896594804,13.525892558443,-0.0480769575,0.0928,3.38,29.5778184129,,,,
601333.SH,广深铁路,交通运输,上交所主板A股,,2026-08-26,2026-06-30,2026Q2,147.8886848,5.8693425191,17.3318,11.90083105,11.87679451,12.236369127739,14.18187384,5.7222,4.16,11.7194848906,,,,
603979.SH,金诚信,有色金属,上交所主板A股,,2026-08-26,2026-06-30,2026Q2,76.4076715127,20.9742942777,30.2373,16.141425226,16.106213887,48.078504061203,13.7044967492,9.3829,13.67,39.5736206273,,,,
603790.SH,雅运股份,基础化工,上交所主板A股,,2026-08-26,2026-06-30,2026Q2,5.230854694,18.8648360764,1.7786,0.6318217558,0.6137903607,41.35947332259,0.7038691319,0.1857,4.86,34.0029062295,,,,
603886.SH,元祖股份,食品饮料,上交所主板A股,,2026-08-26,2026-06-30,2026Q2,7.4879999931,-9.652899665,4.5905,-0.6319687295,-0.7270352312999999,-94.605088928884,0.40868436399999997,0.2271,-4.29,61.3053752328,,,,
603931.SH,格林达,电子,上交所主板A股,,2026-08-26,2026-06-30,2026Q2,3.0318658635,-3.8085019847,1.0058,0.6093689865999999,0.5224353615999999,-2.052563395337,0.8282978068000001,0.0356,3.13,33.173776347,,,,
002434.SZ,万里扬,汽车,深交所主板A股,,2026-08-26,2026-06-30,2026Q2,19.5840187628,-30.3474317368,2.4845,0.7034020444,0.390618387,-77.721159555235,-2.1854879406,1.3077,1.2,12.6863213582,,,,
600956.SH,新天绿能,公用事业,上交所主板A股,,2026-08-26,2026-06-30,2026Q2,92.167102004,-15.473395581,22.6987,12.8096578386,12.0701979825,-13.578578729907,30.4998406689,38.8354,5.14,24.6278142492,,,,
600360.SH,华微电子,电子,上交所主板A股,,2026-08-26,2026-06-30,2026Q2,13.258790199000002,6.2846527919,2.8242,1.178498916,1.1789230962000001,3.310399938582,0.5651654239,1.4301,3.35,21.3009438728,,,,
