# GoalTracker 财报跟踪
股票代码,公司名称,行业,板块,林奇类型,披露日期,报告期,季度,营业收入,营收同比,毛利润,净利润,扣非净利润,扣非净利同比,经营现金流,资本开支,ROE,毛利率,预期营收,预期净利,预期营收同比,预期净利同比
603007.SH,顺景科技,汽车,上交所主板A股,,2026-08-29,2026-06-30,2026Q2,3.7730098863999997,2411.7201704644,0.6418,0.4455558851,-0.2704720451,29.480862121388,-0.14300782410000001,0.3918,15.89,17.0112712085,,,,
002842.SZ,翔鹭钨业,有色金属,深交所主板A股,,2026-08-29,2026-06-30,2026Q2,26.332722740300003,182.8509858326,8.4277,4.82090971,4.6928117529,4855.41165790767,-5.1220282456,0.3294,33.24,32.0047925804,,,,
001215.SZ,千味央厨,食品饮料,深交所主板A股,,2026-08-29,2026-06-30,2026Q2,10.468101128899999,18.171758013,2.4848,0.3196351342,0.2967019985,-12.972297250487,0.7578497053000001,1.0201,1.73,23.7367963349,22.080434782608698,1.15824782608696,16.27490980072,82.198472984403
003026.SZ,中晶科技,电子,深交所主板A股,,2026-08-29,2026-06-30,2026Q2,2.6780700381,23.3029489351,1.2055,0.41556939299999995,0.3997277481,67.566349886664,0.118189001,0.1136,6.08,45.0124091659,,,,
002490.SZ,山东墨龙,机械设备,深交所主板A股,,2026-08-29,2026-06-30,2026Q2,12.5290127461,57.0996072838,1.2162,0.0421081579,0.0041343059,-47.533505290735,0.20448235539999998,0.5071,0.84,9.7074686174,,,,
603115.SH,海星股份,电子,上交所主板A股,,2026-08-29,2026-06-30,2026Q2,13.560284104800001,24.169597453,2.9863,1.042387942,1.106880597,70.755782517587,-0.374123094,1.8119,4.84,22.02225561,29.928,3.25368,30.387722681517,57.766485508148
603333.SH,福华尚纬,电力设备,上交所主板A股,,2026-08-29,2026-06-30,2026Q2,10.8580986974,97.8054945066,1.6485,0.105824692,0.011269735800000001,103.111339085985,-3.7967979515,5.3917,0.52,15.1818296788,,,,
600246.SH,万通发展,房地产,上交所主板A股,,2026-08-29,2026-06-30,2026Q2,2.2898902689,22.4942909921,0.4359,-2.1429759388,-2.0531354896000003,-191.325603237592,-2.1722002939,0.3342,-4.68,19.0368179568,10.705,-1.935,131.077844830949,70.449692393714
603789.SH,ST星农,机械设备,上交所风险警示板A股,,2026-08-29,2026-06-30,2026Q2,1.9785751153,82.2410282074,0.2862,-0.7868255372,-0.7653288512,28.949338894516,-0.0607225912,0.0387,-80.73,14.4668507901,,,,
600973.SH,宝胜股份,电力设备,上交所主板A股,,2026-08-29,2026-06-30,2026Q2,342.7133521777,36.2554959504,12.503,1.3150383879,1.1572618956999998,100.462962239441,-5.7984555685000005,0.9182,3.63,3.6482264214,,,,
000858.SZ,五粮液,食品饮料,深交所主板A股,,2026-08-29,2026-06-30,2026Q2,284.1667454177,20.87072874,228.1715,87.52942991309999,84.8328970734,83.957360270768,-21.5356879232,4.3098,7.14,80.2949204402,519.718066666667,170.071244444444,28.235178054443,89.933392126341
603170.SH,宝立食品,食品饮料,上交所主板A股,,2026-08-29,2026-06-30,2026Q2,16.0209011116,16.0772397173,5.3875,1.2847423264,1.2587154318,13.19990094318,1.3461269693,0.349,8.42,33.6279059778,33.2162684210526,3.0379526315789502,13.22204371925,15.687150807921
600392.SH,盛和资源,有色金属,上交所主板A股,,2026-08-29,2026-06-30,2026Q2,87.5901892189,41.7648611587,11.0736,8.8661557386,8.7690901333,141.231820534558,-6.3768686414,2.5324,6.8,12.6425008214,218.22,13.54,45.568328782316,61.379885293117
600783.SH,鲁信创投,机械设备,上交所主板A股,,2026-08-29,2026-06-30,2026Q2,0.47240653909999997,15.099023893,0.2177,1.9577051003000001,1.9465849297,-7.198761003345,-0.211997753,0.0032,4.31,46.082078037,,,,
000969.SZ,安泰科技,有色金属,深交所主板A股,,2026-08-29,2026-06-30,2026Q2,51.7589920283,39.3396575858,8.6363,2.4362964288,2.3369436957,39.125676947985,-2.17232646,1.0949,4.27,16.6856152712,88.62,4.0066666666666695,11.731277848741,9.809064604334
002708.SZ,光洋股份,汽车,深交所主板A股,,2026-08-29,2026-06-30,2026Q2,14.8000257955,17.4319835005,2.2122,0.5720194561999999,0.0250486514,-94.825050335778,-0.7451879623000001,1.4281,3.23,14.9471869642,35.51,2.91,30.725791580962,188.181489900068
600191.SH,华资实业,农林牧渔,上交所主板A股,,2026-08-29,2026-06-30,2026Q2,3.4918846417,58.0002171197,0.1609,0.36160753520000005,0.2096985283,393.82688465508,0.3079888569,0.3141,2.12,4.608410283,10.275,1.235,63.240630225565,109.250398513953
601688.SH,华泰证券,非银金融,上交所主板A股,,2026-08-29,2026-06-30,2026Q2,236.579927256,45.8621225486,,116.9153897632,117.0228091706,56.956606066894,788.3225771898,,6.3,,417.718054545455,195.433954545455,16.648697223855,19.287080857447
603755.SH,日辰股份,食品饮料,上交所主板A股,,2026-08-29,2026-06-30,2026Q2,2.3673018127,16.2510384378,0.8459,0.29405767039999997,0.2915291972,-16.785025866577,0.3908618902,0.3206,3.87,35.7336780491,5.42,0.95,15.738541741072,12.812668642953
605566.SH,福莱蒽特,基础化工,上交所主板A股,,2026-08-29,2026-06-30,2026Q2,4.9460769357,28.5505025218,1.1135,0.401091895,0.3925488278,19.374675817569,0.5713133126,0.0392,1.98,22.5128459358,,,,
603876.SH,鼎胜新材,有色金属,上交所主板A股,,2026-08-29,2026-06-30,2026Q2,154.66195962790002,16.1660688599,17.4486,4.7988131078,4.7131038825,171.805780852604,7.4149059178,1.737,6.23,11.2817579127,272.945,11.375,3.767715526754,121.789916985254
