# GoalTracker 财报跟踪
股票代码,公司名称,行业,行业二级,行业三级,板块,林奇类型,披露日期,报告期,季度,营业收入,营收同比,毛利润,净利润,扣非净利润,扣非净利同比,经营现金流,销售收现,资本开支,ROE,毛利率
001246.SZ,力勤资源,有色金属,能源金属,镍,,,2026-09-10,2026-06-30,2026Q2,253.6856318193,37.149141585,64.3629,27.3899344277,26.994942,93.3671798853,19.067123427000002,246.1858,21.3344,20.03,25.3711116499
000011.SZ,深物业A,房地产,房地产开发,住宅开发,,,2026-08-29,2026-06-30,2026Q2,12.0516967591,10.7785436973,1.5743,-0.6817538159000001,-0.7260332209,-185.693861184966,0.1457837391,14.2721,0.6123,-2.03,13.0629474237
000039.SZ,中集集团,机械设备,通用设备,金属制品,,,2026-08-29,2026-06-30,2026Q2,789.1308,3.7096510161,93.8045,7.39512,6.64779,-46.397306234413,-5.60092,774.4699,17.1868,1.48,11.8870699255
000100.SZ,TCL科技,电子,光学光电子,面板,,,2026-08-29,2026-06-30,2026Q2,886.86905,3.5316618902,114.46,38.08272,31.39882317,101.43779504269,176.22152,984.884,108.0994,6.19,12.8680409448
000410.SZ,沈阳机床,机械设备,通用设备,机床工具,,,2026-08-29,2026-06-30,2026Q2,18.6269753385,-1.4066878255,2.0812,-0.1945205045,-0.5137688364999999,-28.156639383537,-1.7929334533,14.5066,0.1508,-0.46,11.1728873732
000517.SZ,荣安地产,房地产,房地产开发,住宅开发,,,2026-08-29,2026-06-30,2026Q2,10.3354621074,-73.4648949931,0.6934,-1.5662596432,-1.3534933188,-1227.01114866581,10.7481490724,11.648,,-3.41,6.7086379089
000507.SZ,珠海港,公用事业,电力,风力发电,,,2026-08-29,2026-06-30,2026Q2,21.591243715300003,-3.9572343555,5.5414,1.6248320009000001,1.7455590081999999,8.24992862526,3.864588178,21.4655,1.2318,2.17,25.6649022505
000538.SZ,云南白药,医药生物,中药Ⅱ,中药Ⅲ,,,2026-08-29,2026-06-30,2026Q2,218.84075971150003,2.9494756562,65.7816,37.0117061867,35.184155423600004,1.661412817486,41.0603936833,250.3234,2.2205,9.04,30.0591228465
000548.SZ,湖南投资,交通运输,铁路公路,高速公路,,,2026-08-29,2026-06-30,2026Q2,1.6759606334000001,-36.182373547,0.8692,0.22644640989999998,0.2271827196,-37.774816541878,0.1706222484,1.746,0.3473,1.1,51.8606339838
000543.SZ,皖能电力,公用事业,电力,火力发电,,,2026-08-29,2026-06-30,2026Q2,119.334666939,-12.9379506342,16.7097,8.2497941553,7.429616444,-28.72711875172,32.7241873404,145.8954,16.8898,4.43,14.0023834931
000589.SZ,贵州轮胎,汽车,汽车零部件,轮胎轮毂,,,2026-08-29,2026-06-30,2026Q2,57.388053810500004,10.5071776947,11.1461,3.5846941941000003,3.6097458716000004,48.873311019751,6.2827033124,57.644,6.0451,3.91,19.4223059531
000596.SZ,古井贡酒,食品饮料,白酒Ⅱ,白酒Ⅲ,,,2026-08-29,2026-06-30,2026Q2,101.3139592711,-27.0064567035,81.3854,21.6437992817,21.5002944257,-40.711560559904,15.425351375999998,104.2056,4.0759,8.42,80.329933367
000625.SZ,长安汽车,汽车,乘用车,综合乘用车,,,2026-08-29,2026-06-30,2026Q2,656.3432974216,-9.7081488934,95.1723,8.1739551185,2.5082667662,-83.014453171252,-114.13452268370001,769.0595,20.9364,1.06,14.5003837434
000623.SZ,吉林敖东,医药生物,中药Ⅱ,中药Ⅲ,,,2026-08-29,2026-06-30,2026Q2,10.3100255625,-8.4673405174,4.86,20.500102174200002,22.2829102226,90.934935891299,1.9368814286000002,11.8028,0.392,6.52,47.1390342084
000725.SZ,京东方A,电子,光学光电子,面板,,,2026-08-29,2026-06-30,2026Q2,1031.32382859,1.8307997684,155.0248,52.47660077,30.08251856,31.811572338731,227.44634093,1039.2812,145.6624,3.82,15.0316321123
000876.SZ,新希望,农林牧渔,饲料,畜禽饲料,,,2026-08-29,2026-06-30,2026Q2,555.890642298,7.6794497614,26.2934,-17.0219399205,-17.2314500948,-345.755829357834,16.4642584839,548.9662,11.3501,-9.12,4.7299671766
000901.SZ,航天科技,汽车,汽车零部件,汽车电子电气系统,,,2026-08-29,2026-06-30,2026Q2,22.5698430241,-23.5095911113,5.0163,0.35060370539999997,0.32443478600000003,226.520683707517,-0.6114101256000001,22.6336,0.2141,0.82,22.2258871395
