# GoalTracker 财务数据
公司,川能动力
股票代码,000155.SZ
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,accountsReceivable,inventory,contractLiab,cash,totalAssetTurnover
2022Q1,176.6713,76.6525,8.358554,-49.076583,5.4763,2.29472,2.0306,12.207015,4.5202,3.159,4.7,65.517049,45.882867,56.612946,24.534,0.7434,0.0046,26.9414,2.128648
2022Q2,183.6724,79.4091,14.595263,-56.120076,8.6123,3.320682,2.6275,-8.786861,9.5688,7.1076,6.66,59.007403,38.067406,56.765931,24.5436,1.3523,0.2577,24.8969,3.025033
2022Q3,192.6856,82.4035,23.620642,-39.089857,12.0896,4.348994,3.56,16.005337,13.5395,10.5088,8.71,51.182252,31.497276,57.234226,27.0149,1.3278,0.472,29.3843,3.953686
2022Q4,193.4817,87.7888,38.014227,-21.875836,20.6475,7.097801,6.6015,183.860599,28.7456,13.5176,14.12,54.315068,33.78398,54.626809,19.9535,0.738,0.0463,32.5132,6.810465
2023Q1,197.2307,91.4294,9.301236,11.278056,6.4234,2.763167,2.7443,35.14383,0.4152,4.8373,5.02,69.059372,51.758622,53.643424,24.2817,1.2906,0.034,25.7031,2.464315
2023Q2,205.4574,94.723,17.868897,22.42943,11.2553,4.565569,4.4488,69.321443,5.9992,9.3458,8.16,62.988044,44.580736,53.896544,24.8476,0.8782,0.1578,31.782,3.993636
2023Q3,213.0774,96.5682,24.488932,3.675982,14.1425,5.638696,5.4451,52.954732,9.791,14.7547,9.99,57.75038,39.945971,54.679286,22.8353,1.1667,0.5808,37.0782,4.81226
2023Q4,217.7059,100.5406,33.129697,-12.849213,19.0198,7.974287,7.6192,15.416873,15.3796,19.6514,13.83,57.410066,38.980983,53.818162,23.5239,1.6802,0.0719,35.8925,6.281456
2024Q1,234.1484,105.5691,10.030933,7.845157,7.0529,4.157186,4.107,49.656027,0.9055,3.7722,5.47,70.311144,49.632753,54.913574,27.2822,2.745,0.1044,49.1891,2.203643
2024Q2,253.3669,128.5902,18.030377,0.90369,10.6599,6.335351,6.2922,41.434817,7.5914,8.7548,8.15,59.121699,39.244019,49.247454,25.9107,2.5168,0.0978,61.8604,3.004141
2024Q3,251.2371,125.0518,22.770747,-7.016172,12.282,6.298012,6.1476,12.900781,12.3874,12.1875,7.35,53.937776,28.357041,50.22557,22.6284,2.7388,0.0991,55.9117,2.7539
2024Q4,252.2506,126.3163,30.54862,-7.790828,15.2973,7.268896,6.9622,-8.623166,15.7704,15.8046,8.13,50.075297,23.750605,49.924305,23.4709,2.7686,0.0251,54.9344,3.087725
2025Q1,282.2752,129.0598,8.363885,-16.619072,4.3656,2.368287,2.3252,-43.384009,2.2255,7.4163,2.28,52.195336,32.330085,54.278741,26.5062,3.1212,0.0324,69.7211,1.011757
2025Q2,277.9633,129.3391,14.860552,-17.580471,7.0295,3.060059,2.965,-52.878965,5.3788,12.5316,2.93,47.303066,21.689947,53.468992,23.8379,3.3139,0.1455,70.8704,1.215828
2025Q3,282.6301,126.9158,20.952821,-7.983603,9.1607,3.474823,3.3451,-45.586162,13.2182,18.2262,3.33,43.720726,20.94868,55.094728,19.4388,4.2966,0.4352,67.1404,1.64124
2025Q4,278.9443,131.2711,35.995905,17.831526,14.9511,5.024944,4.854,-30.280904,23.0271,23.2192,4.81,41.535596,18.374039,52.940044,20.641,1.6222,0.466,72.0025,2.490198
2026Q1,286.9601,138.8128,12.208987,45.972684,7.4637,2.66792,2.8664,23.276349,-3.2094,5.962,2.52,61.132511,37.918689,51.62645,23.5972,5.8285,0.0738,62.1005,1.636138
2026Q2,290.2349,145.28,33.403655,124.780717,17.8911,7.060336,6.958,134.674344,4.6431,9.2987,6.52,53.560289,34.706378,49.943996,22.232,9.8242,0.0594,59.2385,4.073655
