# GoalTracker 财务数据
公司,兴业银锡
股票代码,000426.SZ
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,accountsReceivable,inventory,contractLiab,cash,totalAssetTurnover
2022Q1,90.211,54.3334,5.165861,-11.853043,2.1932,0.607143,0.6059,-50.543087,1.798,0.7452,1.13,42.456135,11.752972,39.770757,0.0277,1.7419,0.9757,2.1875,0.671813
2022Q2,91.1521,55.0171,10.058573,-12.630644,4.6562,1.286622,1.3415,-43.587908,3.8784,1.6977,2.37,46.290541,12.789833,39.642546,0.0356,2.8923,1.2617,2.0084,1.416133
2022Q3,92.6518,55.9111,16.479702,3.022795,7.5024,2.2987,2.4399,-15.414786,6.723,3.483,4.2,45.525011,13.947778,39.654554,0.0366,2.742,1.2293,2.4202,2.5095
2022Q4,96.2742,55.5634,20.858887,3.837324,9.2753,1.739005,2.008,-27.339629,7.7672,4.6901,3.19,44.467115,8.336292,42.286334,0.0215,4.1334,1.4168,2.9384,1.861628
2023Q1,94.8689,55.7496,4.589919,-11.148989,1.7256,0.139902,0.2316,-61.773324,1.2962,1.3369,0.25,37.596414,3.04841,41.235084,0.0238,3.2969,1.5595,2.9906,0.146403
2023Q2,108.5618,57.8648,12.460197,23.876393,5.0145,1.325584,1.5755,17.44393,7.4844,2.2479,2.36,40.243798,10.551173,46.698751,0.0128,3.7157,4.4961,2.2513,1.283658
2023Q3,106.685,61.909,24.246573,47.129926,11.7472,5.429551,5.6485,131.504819,12.0349,4.1201,9.33,48.449052,22.075714,41.970307,0.1969,3.181,2.1099,0.7912,5.274562
2023Q4,110.8344,65.8588,37.06005,77.670311,19.5961,9.693448,10.2429,410.109472,17.4964,6.5779,16.12,52.87648,25.723966,40.579125,0.1181,2.7635,1.8075,3.3949,9.206104
2024Q1,113.4928,68.0391,7.642808,66.512904,4.2731,2.293511,2.2821,885.287204,1.3558,2.4589,3.48,55.910039,29.418625,40.049889,0.1597,2.0097,4.6045,6.0784,2.00458
2024Q2,112.8407,73.1098,21.982688,76.423276,14.2077,8.83413,8.9471,467.873353,8.7475,3.4944,12.79,64.631426,39.569996,35.209722,0.0634,2.4444,0.9186,7.9285,7.777845
2024Q3,113.6535,77.4197,32.964419,35.954959,21.1984,12.99842,13.046,130.961827,12.5397,5.1481,18.35,64.306912,38.833502,31.880926,0.0502,3.3157,1.2399,5.2145,11.404835
2024Q4,121.6525,79.8218,42.703872,15.228858,26.8828,15.298586,15.3884,50.233877,18.152,6.632,21.28,62.951727,35.170197,34.385423,0.0446,5.0608,0.3475,11.3878,12.920328
2025Q1,152.1371,87.7183,11.492845,50.374633,6.3861,3.743577,3.7445,64.078088,11.9819,0.8321,4.63,55.56587,31.856939,42.342599,0.1373,3.646,7.1114,2.8106,2.674512
2025Q2,153.4155,90.7002,24.730992,12.502132,14.0711,7.956751,8.0145,-10.423958,16.4549,1.5711,9.58,56.896454,31.665313,40.879353,0.0438,4.0089,4.2802,4.942,5.693971
2025Q3,175.1339,98.1881,40.994259,24.359113,23.6328,13.640751,13.6997,5.011082,27.4199,3.0559,15.88,57.64901,33.021933,43.93539,0.0018,4.5161,8.4414,19.1871,9.122451
2025Q4,171.5223,101.6116,55.552536,30.087819,31.993,17.042393,17.2514,12.106977,24.8826,5.2803,19.6,57.590442,30.683504,40.758933,0.0254,5.7471,3.3244,12.9347,11.628191
2026Q1,196.8883,115.3674,21.298691,85.321322,14.7102,13.376722,8.9078,137.893987,12.1689,2.2915,13.17,69.066333,64.632674,41.404642,0.4935,3.4889,3.1072,38.8935,7.473137
2026Q2,197.9756,122.6992,42.81697,73.130821,29.4378,22.630562,18.1609,126.600772,21.1277,4.0346,21.32,68.752761,54.259687,38.023072,0.0151,4.5958,2.7003,36.0605,12.575094
