# GoalTracker 财务数据
公司,柳工
股票代码,000528.SZ
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,accountsReceivable,inventory,contractLiab,cash,totalAssetTurnover
2022Q1,430.6828,163.7481,67.356518,-22.062673,11.3434,2.546464,2.1442,-43.570384,-5.8775,1.3943,1.64,16.840772,3.94539,61.979426,76.3457,91.5104,4.4268,73.4788,0.63635
2022Q2,436.4861,169.2688,137.666823,-17.967623,21.9279,4.794437,4.1245,-40.6384,-3.9002,2.6936,3.08,15.928216,3.623591,61.220105,82.7196,80.7048,5.0219,77.3687,1.186281
2022Q3,430.5367,170.7495,200.336322,-11.379348,32.5885,5.860471,4.8878,-39.045906,2.8039,3.8554,3.77,16.266873,3.042394,60.34031,86.4015,75.2037,6.5972,75.2425,1.459746
2022Q4,422.5799,171.748,264.79737,-7.738453,44.4916,5.99326,4.7371,-39.178195,9.5877,7.1479,3.85,16.802147,2.44286,59.35727,75.7128,79.8797,7.3446,72.347,1.564128
2023Q1,473.6884,175.9338,77.922175,15.686169,14.6491,3.150623,2.7335,27.484438,6.5754,1.7422,1.98,18.79966,4.156393,62.858746,87.7584,86.7566,7.6154,106.8552,0.722719
2023Q2,457.2727,177.0784,150.358544,9.219157,30.2747,6.139503,5.2171,26.491228,-2.8941,3.4451,3.83,20.135021,4.116678,61.275102,89.7987,82.5239,4.9364,90.384,1.407003
2023Q3,457.8367,178.3668,211.140999,5.393269,43.5962,8.263023,6.2378,27.620357,-0.6306,6.8083,5.16,20.647914,3.937342,61.041387,87.8684,78.5688,5.6781,98.2051,1.888502
2023Q4,465.7804,179.9661,275.191223,3.92521,54.0851,8.678115,5.6862,20.03502,16.2896,7.9384,5.4,19.653641,3.421728,61.362454,81.7613,84.8238,5.7509,103.5263,2.119927
2024Q1,468.4208,184.9836,79.388223,1.881426,17.3968,4.978938,4.5671,67.076757,-0.4134,2.2629,2.99,21.913559,6.492849,60.509097,100.3375,83.3717,6.1657,88.0033,1.103522
2024Q2,474.2868,188.0846,160.600051,6.81139,35.4962,9.835309,9.0261,73.007996,11.2173,4.1511,5.87,22.102209,6.330397,60.343694,103.6396,81.07,5.2826,88.9047,2.162956
2024Q3,470.0599,190.4225,228.559317,8.249614,50.7259,13.206248,12.0943,93.88686,10.7758,5.1444,7.84,22.193753,5.940094,59.48973,102.9552,85.4059,6.6368,79.5751,2.901486
2024Q4,479.0716,191.155,300.627092,9.24298,67.6417,13.270395,11.3781,100.099288,13.2201,6.6418,7.93,22.500197,4.613118,60.098866,102.4609,94.1645,5.4446,83.5971,2.935546
2025Q1,497.1491,195.0559,91.489977,15.243764,20.1343,6.57197,6.1238,34.085886,-1.3774,1.0852,3.72,22.007144,7.032105,60.765107,122.2736,91.6724,6.3451,85.138,1.318077
2025Q2,508.968,195.1335,181.810396,13.206936,40.5847,12.299401,11.4639,27.008303,4.5734,1.8626,6.86,22.322531,6.337608,61.660956,128.7679,85.1731,5.8918,90.5841,2.332382
2025Q3,506.5128,197.1686,257.597827,12.705022,57.3199,14.575922,13.1788,8.967574,6.4517,2.8666,8.15,22.251718,4.927146,61.07333,125.6758,87.7069,6.7413,86.6191,2.575573
2025Q4,494.5302,196.3112,331.438782,10.24914,74.2757,16.092257,14.1748,24.579666,10.0533,7.1506,9.03,22.41008,4.251399,60.303489,112.9996,96.8625,5.1794,66.7121,2.894569
2026Q1,537.179,201.6512,100.607978,9.96612,21.4389,6.060584,5.5919,-8.685523,-5.483,0.8395,3.23,21.309351,6.247277,62.46107,136.6279,99.8842,7.4491,78.4019,1.218417
2026Q2,558.7002,204.0558,206.740178,13.711967,42.7845,10.632984,9.3503,-18.436415,0.9794,1.4482,5.61,20.694827,5.367302,63.476693,147.6915,104.7423,7.7783,77.5101,2.107111
