# GoalTracker 财务数据
公司,甘肃能源
股票代码,000791.SZ
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,accountsReceivable,inventory,contractLiab,cash,totalAssetTurnover
2022Q1,178.3959,79.3589,3.450107,-5.297488,0.718,-0.275319,-0.2813,-86.448749,1.4966,2.4009,-0.4,20.810456,-6.58265,55.515277,15.1754,0.0944,,4.877,-0.127505
2022Q2,183.8235,80.2239,9.205882,-0.869858,3.5622,1.46112,1.4478,0.553356,4.4936,5.0388,2.12,38.694432,18.721543,56.358173,17.3667,0.089,0.0001,6.8844,0.953092
2022Q3,194.2516,82.4766,15.594856,3.002646,6.7549,3.659463,3.5544,17.183894,8.9413,13.5175,5.22,43.315189,26.359368,57.54137,17.8293,0.0858,,5.0825,2.209525
2022Q4,218.4303,93.7614,20.464224,1.668745,7.2906,3.018553,2.9583,16.329942,12.8662,22.7242,8.53,35.625923,16.963244,57.074905,15.953,0.1173,,17.3342,1.752043
2023Q1,214.8995,93.4066,3.559868,3.181383,0.4446,-0.425582,-0.4307,-53.097765,1.6837,5.3544,-0.52,12.488443,-12.510973,56.534743,16.9117,0.1011,,13.1554,-0.205559
2023Q2,215.5913,95.1563,10.82378,17.574616,4.3884,2.428102,2.4254,67.529011,5.2264,7.1618,2.91,40.544011,24.35574,55.862635,19.8663,0.0896,,12.1598,1.214784
2023Q3,216.1764,98.7325,19.121647,22.615094,9.0168,5.587494,5.5856,57.148189,13.0309,8.3249,6.58,47.154738,32.298472,54.327817,19.8963,0.0884,,15.5951,2.842109
2023Q4,339.2496,137.1356,69.681132,240.5022,23.7589,11.719016,5.2025,75.859735,33.4048,38.43,11.88,34.096651,22.569614,59.576795,26.8668,2.1005,0.0091,20.7072,5.640068
2024Q1,203.4846,98.9884,22.182628,523.130558,7.7082,3.644848,0.494,214.680242,6.7377,10.9007,2.85,34.748985,24.025799,51.353345,19.7393,0.069,,5.8198,1.963965
2024Q2,206.9747,98.9994,39.230162,262.444183,13.6711,7.056822,2.833,16.805359,12.9923,18.1984,5.46,34.848341,24.28199,52.16835,21.8203,0.0669,,9.506,3.487895
2024Q3,205.2747,102.8038,64.830645,239.0432,25.0196,13.856264,6.0964,9.143743,29.1197,24.974,10.63,38.592298,28.49869,49.918926,21.6115,0.0703,,9.6642,6.786065
2024Q4,358.9204,165.6643,86.953717,24.788037,31.0681,16.442085,7.1984,38.364454,39.1359,35.2059,13.15,35.729472,26.374283,53.843705,29.3944,1.5753,0.0026,23.9564,6.569581
2025Q1,366.2835,172.887,22.383962,0.907618,9.1012,4.796098,4.7899,869.690287,12.1256,7.2326,3.48,40.659325,31.406703,52.799665,27.6543,1.5943,0.0028,27.3861,1.938783
2025Q2,366.5615,171.387,39.306529,0.194663,15.6947,8.247543,8.2275,190.410504,22.2494,16.7614,5.9,39.928982,30.061464,53.244666,26.6389,1.486,0.0116,22.5551,3.257454
2025Q3,385.153,178.8587,65.248257,0.644158,28.7634,15.817707,15.7223,157.895198,42.1449,26.8215,11.03,44.082984,34.135625,53.561655,26.9056,2.6546,0.0102,34.8632,5.986748
2025Q4,392.8638,187.1953,90.653956,4.255412,37.7597,20.514551,20.3949,183.324114,51.517,37.501,14.4,41.652565,32.915115,52.351091,29.3302,3.3672,0.0038,32.8011,7.938144
2026Q1,395.6775,195.0817,23.938091,6.943051,10.3022,4.871624,4.8477,1.208116,14.277,5.4168,3.19,43.03674,32.081801,50.696783,27.4677,1.3627,0.0036,37.8321,1.947842
2026Q2,395.2281,184.5145,41.695346,6.077404,17.2589,8.395962,8.3531,1.526883,20.846,15.6191,5.47,41.392782,30.732161,53.314432,28.9336,3.0828,0.0141,27.8002,3.251875
