# GoalTracker 财务数据
公司,承德露露
股票代码,000848.SZ
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,accountsReceivable,inventory,contractLiab,cash,totalAssetTurnover
2022Q1,33.734,26.2728,11.178069,14.94776,5.2328,2.352864,2.3497,11.282437,0.8031,0.0387,9.51,46.813402,21.043187,22.117739,0.0118,1.4854,2.1338,26.832,6.836127
2022Q2,32.3898,26.8529,14.624502,7.518939,6.5824,2.977367,2.9809,5.095156,0.0552,-0.0333,11.6,45.00908,20.350522,17.094396,0.0042,1.0298,1.1423,26.1122,8.821773
2022Q3,31.3184,26.1246,19.711124,6.316337,8.6505,4.206025,4.2091,5.115603,0.764,0.1285,16.54,43.886274,21.33013,16.584058,0.0067,1.2377,1.2205,24.7024,12.663542
2022Q4,38.1379,27.9372,26.920212,6.660855,12.0748,6.018647,6.0289,6.161391,6.1562,0.3144,23.7,44.853885,22.349794,26.74695,0.1523,2.5186,3.5397,29.8986,16.434065
2023Q1,36.8423,30.3269,11.410794,2.081978,5.4367,2.390529,2.3895,1.696088,0.759,0.1905,8.31,47.645556,20.943447,17.684563,0.1022,0.7568,0.4263,30.4703,6.374524
2023Q2,33.2323,28.0229,14.940203,2.158709,6.7542,3.14925,3.1464,5.551442,0.4027,0.4569,10.8,45.208399,21.072371,15.675834,0.0044,0.6211,0.5995,26.8059,8.822319
2023Q3,34.8401,29.3104,20.351688,3.24976,8.7811,4.434407,4.4046,4.645308,1.0082,1.1502,14.88,43.147032,21.795642,15.871663,0.0422,1.7134,0.7859,26.7091,12.156486
2023Q4,41.8124,31.2391,29.546387,9.7554,12.2485,6.381261,6.3457,5.255187,6.2742,1.9102,22.02,41.455159,21.598629,25.287425,0.0967,3.1121,2.4774,31.1961,15.963959
2024Q1,40.949,33.7024,12.270003,7.529795,5.3631,2.463305,2.462,3.031474,0.6111,0.2677,7.67,43.708895,20.075722,17.696565,0.2111,1.7089,1.3059,31.5204,5.952758
2024Q2,36.0367,30.5243,16.342633,9.38696,6.8305,2.935183,2.9262,-7.000469,-0.4635,0.8174,9.18,41.795737,17.955729,15.296769,0.0167,1.0359,0.4398,26.9279,7.538785
2024Q3,38.1214,31.8421,21.592233,6.095539,8.966,4.190826,4.1788,-5.126743,1.0052,1.406,13.24,41.524399,19.405507,16.471673,0.0205,1.5459,0.4285,27.8145,10.483888
2024Q4,45.9134,34.3886,32.872922,11.258689,13.459,6.662394,6.5772,3.64822,6.304,2.1507,20.55,40.942457,20.264856,25.101336,0.1895,1.925,1.5678,33.9002,15.187432
2025Q1,45.8205,36.3299,10.017226,-18.360035,4.8175,2.154532,2.153,-12.550486,0.0762,0.566,6.1,48.091977,21.508265,20.712656,0.2171,1.9342,0.5888,33.6374,4.697348
2025Q2,44.1673,33.8779,13.84154,-15.304103,6.3654,2.583942,2.5838,-11.700637,-0.2973,0.7337,7.37,45.987965,18.668026,23.296492,0.0335,1.654,0.4254,32.3853,5.736947
2025Q3,47.1767,35.175,19.559127,-9.415916,8.9229,3.83602,3.8214,-8.553017,2.3717,1.176,11,45.619962,19.612431,25.43983,0.0285,1.6951,0.4884,35.0524,8.241516
2025Q4,53.1097,34.905,31.735545,-3.459921,14.1985,6.271043,6.2435,-5.074346,10.1228,1.8491,17.78,44.740151,19.760313,34.277597,0.1417,1.7226,2.0549,40.3214,12.665811
2026Q1,54.2955,37.1109,11.392375,13.727838,5.6192,2.484373,2.4653,14.50585,0.5283,0.3724,6.88,49.324498,21.807336,31.650158,0.3795,1.3064,1.0488,38.9398,4.626169
2026Q2,45.338,32.2492,15.404691,11.293189,7.3727,2.978848,2.9587,14.511896,-1.8559,0.587,8.43,47.85978,19.337278,28.869411,0.0436,1.073,0.4071,30.7528,6.051633
