# GoalTracker 财务数据
公司,华特达因
股票代码,000915.SZ
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,totalAssetTurnover
2022Q1,43.1746,36.9364,6.055166,23.744893,4.8315,1.560211,1.5571,45.795058,2.763,0.1078,6.7,79.790639,48.593166,14.448862,7.130586
2022Q2,42.3289,36.3409,12.251991,21.146107,9.8085,3.04643,2.9614,33.75925,6.0474,0.3384,13.05,80.056754,46.565248,14.146202,13.969028
2022Q3,45.9505,39.2862,18.187327,15.665312,14.5459,4.624125,4.516,49.128891,9.4551,0.665,19.5,79.978117,47.562705,14.503331,20.281127
2022Q4,46.9049,40.6147,23.410756,15.486514,18.3937,5.26864,5.2909,48.511554,11.964,0.8968,22.11,78.569497,42.625216,13.41069,23.136977
2023Q1,48.1866,38.7145,5.614393,-7.27929,4.8205,1.637256,1.5412,-1.022331,3.3547,0.0782,7.31,85.859929,55.998787,19.657101,6.612558
2023Q2,46.2338,39.9182,11.532171,-5.875129,9.9419,3.218417,3.0263,2.191628,5.9211,0.1955,11.86,86.209922,53.95655,13.66008,13.361489
2023Q3,49.9558,42.6095,17.187543,-5.49715,14.7846,4.607931,4.3655,-3.333366,9.5801,0.2802,16.87,86.019527,51.8609,14.705589,18.405015
2023Q4,51.9829,44.9664,24.841657,6.112152,21.466,5.852621,5.7068,7.860357,11.7468,0.5061,0.21,86.4112,45.370827,13.497738,22.795243
2024Q1,52.7876,43.1083,5.718004,1.845459,4.854,1.686352,1.6181,4.989711,2.2972,0.0692,5.5,84.889324,55.719203,18.336194,6.081915
2024Q2,47.7777,41.5438,11.544135,0.103742,9.9191,3.318713,3.186,5.278487,4.1787,0.1953,10.81,85.922858,54.64395,13.047653,12.646612
2024Q3,45.7134,40.9899,13.779873,-19.826391,11.5802,3.654225,3.4517,-20.933302,5.6009,0.2114,12.36,84.036897,50.26111,10.332697,14.178464
2024Q4,49.3094,44.1244,21.344912,-14.076135,17.8939,5.15595,4.9093,-13.974572,9.2961,0.4364,17.56,83.8322,47.132343,10.515239,19.864009
2025Q1,51.5685,42.5387,6.162914,7.78086,5.3195,1.82346,1.7927,10.79005,0.5416,0.1004,6.07,86.314082,56.117361,17.510268,6.856737
2025Q2,45.9643,40.7854,11.704783,1.391598,10.0408,3.374674,3.3234,4.312713,6.7461,0.3533,10.96,85.783518,54.608739,11.26718,13.417836
2025Q3,47.7998,42.0678,16.025945,16.299654,13.533,4.080655,3.9969,15.795467,9.5499,0.392,13.79,84.44452,47.886002,11.991775,15.805265
2025Q4,49.982,43.5074,22.28386,4.398933,18.966,5.350822,5.0558,2.984134,12.7152,0.4832,18.29,85.110814,46.156604,12.953718,20.71777
2026Q1,49.5398,45.6017,4.12269,-33.104865,3.3753,1.105763,1.0706,-40.276886,0.1906,0.1982,3.79,81.87221,50.797611,7.949501,4.208582
2026Q2,41.4471,37.8075,8.48352,-27.520911,6.9931,2.234132,2.1683,-34.757129,-0.8117,0.0393,7.52,82.431474,47.513374,8.781463,8.817339
