# GoalTracker 财务数据
公司,紫光股份
股票代码,000938.SZ
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,totalAssetTurnover
2022Q1,664.0954,363.5216,153.416464,13.581275,33.6181,3.722395,3.6317,162.543224,-23.2699,1.1844,1.23,21.91298,4.235364,45.260642,0.978139
2022Q2,714.7553,371.2623,344.021575,11.877284,74.4754,9.594813,8.7472,26.381341,-16.3607,1.9583,3.15,21.648455,4.891509,48.057421,2.440139
2022Q3,714.4679,381.1988,538.899511,13.15661,114.6881,16.397533,14.9067,11.353334,7.7039,3.7486,5.34,21.281913,5.375853,46.645778,4.201764
2022Q4,740.6301,378.278,740.576494,9.491934,152.8566,21.579218,17.5927,6.341632,40.1852,4.828,6.98,20.640213,5.0523,48.924832,5.325657
2023Q1,726.3727,385.9626,165.285326,7.736368,34.7256,4.389595,3.3706,-7.188653,-9.5293,2.1941,1.37,21.009491,4.690612,46.864381,1.056971
2023Q2,784.2831,396.2044,360.45364,4.776463,73.2567,10.22131,8.4474,-3.427781,-22.0717,3.1272,3.16,20.323479,5.001872,49.48197,2.36465
2023Q3,823.4422,390.6578,552.148443,2.458516,109.894,15.408292,12.9871,-12.877541,-43.9108,7.4649,4.72,19.902983,4.908972,52.55796,3.465929
2023Q4,872.6449,400.4266,773.078108,4.388691,151.4989,21.030173,16.7487,-4.797726,-18.5723,9.4057,6.39,19.596839,4.766041,54.11345,4.567755
2024Q1,846.0541,407.4228,170.062361,2.890175,33.9551,4.136811,3.4298,1.754115,-19.3791,0.7546,1.21,19.966259,4.110022,51.844359,0.813359
2024Q2,888.0413,410.7711,379.508661,5.2864,72.2335,10.003622,8.9359,5.783224,-32.1918,1.5539,2.91,19.033431,4.546594,53.744147,1.959999
2024Q3,850.791,165.5121,588.394231,6.564501,103.5031,15.816204,13.8843,6.908782,-24.0012,2.7716,4.92,17.590777,3.438937,80.546095,2.348159
2024Q4,888.1402,161.1453,790.240785,2.220044,137.4196,15.724345,14.5614,-13.059662,24.4076,5.3351,5.8,17.38959,2.508447,81.855875,2.251583
2025Q1,959.9684,165.1016,207.897714,22.247929,32.5719,3.48546,4.0918,19.303014,-8.4051,1.3991,2.58,15.667249,1.889885,82.801353,0.425194
2025Q2,973.7941,171.7866,474.247791,24.963628,72.2531,10.408902,11.1792,25.103766,-28.1587,3.2998,7.54,15.235295,2.709259,82.359039,1.380135
2025Q3,936.3775,172.197,773.215054,31.411053,106.0827,14.038531,14.5996,5.151291,2.7234,4.6219,10.09,13.719693,2.228053,81.610301,1.88846
2025Q4,963.2342,174.8348,967.483393,22.428937,141.1649,16.855218,16.3466,12.260184,34.8675,6.1313,12.03,14.590941,2.244054,81.84919,2.345376
2026Q1,1031.2718,181.7972,279.84856,34.608772,36.0527,7.879086,6.2049,51.640773,-30.9274,2.0786,5.21,12.882941,3.432915,82.37155,0.963343
2026Q2,1091.2681,198.7194,635.158241,33.929615,85.1474,21.669476,18.7357,67.594565,-42.0861,3.7531,13.32,13.405697,3.946986,81.790049,2.440455
