# GoalTracker 财务数据
公司,浪潮信息
股票代码,000977.SZ
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,totalAssetTurnover
2022Q1,528.4489,158.8864,172.768833,48.113931,19.3171,3.339812,2.6084,32.903502,-152.8194,0.6382,2.18,11.180916,1.874815,69.933447,0.654013
2022Q2,488.6994,163.7397,348.501851,22.04542,42.9486,9.542652,8.3614,18.355127,-106.7291,1.8235,6.1,12.323784,2.686498,66.494796,1.969432
2022Q3,435.4153,171.2205,527.666833,14.097314,63.4161,15.46181,13.9908,15.847011,-66.9823,10.962,9.7,12.018214,2.887911,60.676501,3.395789
2022Q4,411.5729,176.629,696.353171,3.859597,77.7467,20.861978,17.4393,-3.103549,18.1335,11.3366,13.38,11.164836,2.960445,57.084381,4.719292
2023Q1,463.3736,177.9102,95.006366,-45.009546,12.05,1.864218,1.472,-43.56665,-0.5713,0.6858,1.14,12.68333,1.792641,61.605453,0.389309
2023Q2,482.4554,178.7644,249.3189,-28.459806,28.2902,3.132937,-0.0117,-100.140297,-51.7481,1.583,1.9,11.346996,1.203361,62.946965,0.671166
2023Q3,517.8895,173.0656,482.560157,-8.548325,46.6153,7.747731,4.1763,-70.149719,-56.0173,2.2243,4.21,9.659988,1.591146,66.582531,1.652188
2023Q4,481.1962,182.8458,658.665876,-5.412095,66.1387,17.827843,10.9296,-37.327552,5.2038,3.0698,9.74,10.041306,2.726462,62.00182,4.023051
2024Q1,499.6086,186.1321,176.616249,85.899383,14.3532,3.028369,2.3624,60.488332,-35.0688,0.8031,1.66,8.126796,1.656251,62.744417,0.596491
2024Q2,631.2338,187.2271,421.953506,69.242487,32.6603,5.921706,4.1696,35644.455437,-45.3337,1.1744,3.24,7.740259,1.357357,70.339499,1.029713
2024Q3,842.7143,192.2336,833.080694,72.637687,56.1343,12.848645,11.4587,174.375892,-94.1974,1.43,6.96,6.738162,1.523218,77.188755,1.916993
2024Q4,712.2682,203.0419,1150.285164,74.638646,79.3886,22.935632,18.7298,71.367207,0.7487,2.4787,12.09,6.901642,1.992231,71.493623,3.840305
2025Q1,914.8095,206.0889,468.583735,165.311792,16.1558,4.626638,4.2704,80.764436,58.0306,0.5714,2.3,3.447801,0.98472,77.471934,0.567181
2025Q2,1070.0732,207.6104,801.924332,90.050401,36.4591,7.986449,6.7174,61.102703,-55.7557,0.9018,3.96,4.546449,0.995229,80.598484,0.895562
2025Q3,1093.3319,214.0868,1206.690189,44.846735,59.1939,14.820468,13.3412,16.428032,-125.7393,1.6456,7.24,4.905474,1.233842,80.418865,1.649163
2025Q4,837.9385,220.9154,1647.819977,43.253171,80.4699,24.128663,20.8093,11.102813,54.5305,2.251,11.55,4.883418,1.461965,73.635847,3.108044
2026Q1,844.8915,226.3405,354.703258,-24.303122,23.5493,6.048732,5.9026,38.221332,-77.7161,0.2767,2.75,6.639155,1.705326,73.2107,0.71889
2026Q2,1090.9117,248.6979,843.787272,5.22031,73.8226,29.517169,24.188,260.080231,-74.9277,0.3998,12.74,8.748961,3.502765,77.202748,3.064612
