# GoalTracker 财务数据
公司,嘉立创
股票代码,001232.SZ
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,totalAssetTurnover
2020Q4,28.6589,14.3247,32.768607,,10.6077,5.751177,5.1983,,7.4226,2.12,48.9,32.371605,18.985968,50.016747,43.417124
2021Q4,53.0599,27.8677,59.549699,81.727894,15.4102,6.593921,5.4412,4.673013,8.2709,5.7895,36.64,25.877816,12.824988,47.478841,18.691516
2022Q4,60.4548,39.2223,63.87191,7.258158,14.4723,5.7262,4.7318,-13.036156,6.8666,5.9065,17.69,22.658269,8.965131,35.121253,10.088915
2023Q2,63.9605,43.2004,32.034326,,8.4043,3.471435,2.8763,,5.7274,4.2414,8.48,26.235407,10.836611,32.457728,5.580398
2023Q4,71.2998,47.4451,67.261158,5.30632,18.2516,7.335228,6.5807,39.073508,15.6686,8.3289,16.93,27.13537,10.905592,33.456956,11.134678
2024Q2,77.4518,52.706,37.150593,15.971203,11.0368,4.777828,4.3316,50.592905,6.859,4.3051,9.53,29.708235,12.860705,31.94986,6.4239
2024Q4,86.1837,58.0984,79.688881,18.47682,22.9835,10.540915,9.2468,40.513136,14.9936,10.4795,19.97,28.841553,13.227586,32.587702,13.386684
2025Q1,,,20.848272,,5.9743,2.481577,2.2796,,3.2783,3.7268,,28.656019,11.903035,,
2025Q2,95.9783,64.5456,46.539104,25.271497,13.1683,5.937154,5.4702,26.28702,7.6283,6.2107,9.7,28.295143,12.757344,32.749747,6.518541
2025Q4,110.0142,71.7912,102.317077,28.395676,28.7837,13.06314,12.2863,32.871019,19.0429,13.9514,20.11,28.131857,12.767311,34.743694,13.316283
2026Q1,117.7331,75.6872,30.289988,45.287762,8.2792,3.76491,3.5373,55.173005,4.8047,4.2083,5.11,27.333208,12.429553,35.712917,3.306216
2026Q2,129.7642,82.3537,71.728511,54.125252,20.3762,10.303489,9.9158,81.268504,12.651,8.3635,13.37,28.407336,14.364566,36.535929,8.594173
