# GoalTracker 财务数据
公司,华纬科技
股票代码,001380.SZ
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,totalAssetTurnover
2021Q4,8.7687,4.7936,7.177764,35.75966,1.559,0.618965,0.5799,-15.769333,0.3223,0.1844,13.51,21.719905,8.821853,45.332722,7.595228
2022Q1,,,1.793381,,0.3873,0.141951,0.136,,-0.1564,0.0397,2.92,21.597369,7.69578,,
2022Q2,8.8302,5.0185,3.760518,,0.8399,0.426278,0.377,,0.341,0.0571,8.74,22.335491,11.121375,43.166918,4.752808
2022Q3,,,6.005272,,1.3311,0.647198,,,0.0067,0.1305,,22.165506,10.435403,,
2022Q4,11.0841,5.7279,8.902273,24.025711,2.1284,1.126947,1.012,74.526164,0.5431,0.1555,22.02,23.908319,12.618626,48.323424,11.316744
2023Q1,10.7373,5.9999,2.151086,19.94589,0.6173,0.271363,0.262,92.638238,-0.346,0.044,4.7,28.697267,12.644409,44.121368,2.492887
2023Q2,18.8387,14.5344,5.022386,33.555704,1.4393,0.641154,0.6034,60.044729,-0.5533,0.1624,8.77,28.657803,12.839579,22.848052,4.31011
2023Q3,20.7563,15.0229,8.461289,40.897682,2.3166,1.096966,0.9914,,-0.64,0.976,11.18,27.379266,13.102633,27.622608,6.963794
2023Q4,23.1845,15.2475,12.430451,39.632317,3.382,1.640718,1.5528,53.434995,0.435,2.2727,14.73,27.207567,13.472588,34.234232,9.773976
2024Q1,23.5165,15.6507,3.053636,41.957832,0.7897,0.405569,0.3646,39.172453,-0.6163,0.3172,2.65,25.86246,12.882578,33.448065,1.684703
2024Q2,22.3524,15.5133,7.067123,40.712447,1.6686,0.81296,0.755,25.123614,-0.4988,0.6396,5.27,23.611089,11.528063,30.596675,3.578209
2024Q3,24.1918,16.3324,12.341438,45.857656,3.0864,1.534914,1.4382,45.077415,-0.9238,1.3597,9.87,25.008353,12.810638,32.487991,6.674297
2024Q4,27.1179,17.1002,18.604077,49.665347,4.785,2.26417,2.1307,37.21115,-1.9837,1.8081,14.19,25.720369,12.580608,36.941409,9.305737
2025Q1,26.3976,17.7716,4.49994,47.36337,1.1268,0.638475,0.6114,67.682208,-0.7444,0.2213,3.71,25.040612,14.631735,32.677321,2.460666
2025Q2,26.6615,18.1673,9.372723,32.624312,2.4123,1.269686,1.1903,57.664311,1.7441,0.56,7.27,25.737364,13.902121,31.859415,4.845748
2025Q3,28.0744,18.9918,14.118283,14.397391,3.9768,2.045562,1.936,34.606209,1.7883,1.2407,11.53,28.167524,14.826843,32.351924,7.585465
2025Q4,29.9883,19.7201,19.921741,7.082663,5.304,2.750831,2.5026,17.45789,3.4963,1.8157,15.31,26.624386,14.000838,34.240694,9.768505
2026Q1,28.8829,20.1426,4.230338,-5.99124,1.1886,0.417041,0.4046,-33.829178,1.2934,1.3166,2.14,28.09648,10.750083,30.261268,1.544948
