# GoalTracker 财务数据
公司,广合科技
股票代码,001389.SZ
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,accountsReceivable,inventory,contractLiab,cash,totalAssetTurnover
2022Q1,,,6.092009,,,0.630913,0.6182,,1.6994,,,,,,,,,,
2022Q2,33.4334,12.5637,12.280812,,3.1023,1.30643,1.337,,2.4612,1.6765,10.99,25.26126,10.637974,62.421677,7.0463,5.0332,0.1065,2.4931,4.066862
2022Q3,,,19.064631,,,2.277437,2.3847,,3.2984,,,,,,,,,,
2022Q4,32.4486,14.0907,24.123868,16.229176,6.2867,2.796513,2.8013,266.216768,4.3087,4.5628,22.1,26.059989,11.592306,56.575162,6.0283,3.5558,0.0908,2.8111,8.840945
2023Q1,31.2475,,5.245339,-13.898044,1.568,0.618857,0.6265,1.328177,0.4028,1.1805,4.3,29.893301,11.798237,,,,,,1.943158
2023Q2,33.0553,15.7004,11.722124,-4.549277,3.6698,1.577847,1.8705,39.905559,1.4176,1.9036,10.59,31.306631,13.460416,52.502462,7.744,3.4183,0.0434,2.0566,4.817569
2023Q3,36.1927,,19.611469,2.86834,6.5306,2.898339,3.1686,32.873452,3.2894,3.1195,,33.300102,14.778798,,,,,,8.444891
2023Q4,38.1243,18.3031,26.782703,11.021591,8.9184,4.146857,4.3532,55.400101,5.2751,4.0407,25.6,33.299187,15.483342,51.99091,8.3968,3.9691,0.063,4.3127,11.751983
2024Q1,44.935,26.3008,7.843575,49.534193,2.7022,1.450861,1.5019,139.752047,1.9629,1.3174,7.76,34.45095,18.497448,41.469252,8.3577,3.6429,0.0487,12.1502,3.493556
2024Q2,47.19,26.9995,17.055835,45.501235,5.8566,3.193871,3.2315,72.764515,2.7083,3.0455,13.79,34.337797,18.725973,42.785425,10.1022,4.0442,0.0504,10.2309,7.487307
2024Q3,51.2134,28.7306,26.806598,36.688373,8.9268,4.924953,4.7954,51.342419,6.1972,5.4997,19.86,33.300645,18.372166,43.900249,10.8428,4.2508,0.1166,8.7185,11.025467
2024Q4,56.8576,30.7385,37.342846,39.428969,12.4646,6.761004,6.7834,55.826062,7.9628,8.2751,25.87,33.378801,18.105219,45.937785,11.6467,4.5855,0.0738,7.2128,14.236407
2025Q1,57.0392,33.2969,11.169847,42.407595,3.9309,2.40372,2.3276,54.972867,2.1079,2.9006,7.51,35.191621,21.51972,41.624556,9.6532,4.9309,0.1643,7.4674,4.220875
2025Q2,62.7408,33.9341,24.247534,42.165622,8.8296,4.915834,4.7755,47.779826,4.531,5.1258,14.81,36.414393,20.27354,45.913806,15.1187,5.3492,0.0616,6.4652,8.220573
2025Q3,67.7171,36.3395,38.35129,43.066605,13.3654,7.238196,7.0354,46.710081,7.5955,7.2961,21.81,34.849884,18.873408,46.336325,16.2085,6.2124,0.1269,7.9548,11.62065
2025Q4,75.4207,39.7808,54.853714,46.892161,18.887,10.15789,9.8805,45.657376,10.3157,13.0943,29.24,34.431508,18.518145,47.254755,19.3663,7.6445,0.0605,5.1979,15.358363
2026Q1,114.767,72.087,19.139728,71.351748,7.0688,3.925535,3.9076,67.882344,3.2002,7.9909,9.28,36.93277,20.509877,37.188367,21.748,9.5789,0.0711,33.3117,4.128063
2026Q2,129.1431,79.2882,43.882602,80.977586,17.234,9.555882,9.394,96.711491,9.3689,17.8552,16.05,39.272885,21.776016,38.604384,28.3373,13.8363,0.1546,26.4233,9.342689
