# GoalTracker 财务数据
公司,大族激光
股票代码,002008.SZ
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,totalAssetTurnover
2022Q1,303.6903,155.2395,33.938789,8.273501,12.5919,3.32392,3.2355,6.725483,-6.8621,3.7285,2.67,37.101899,10.550858,48.882313,1.244434
2022Q2,312.2075,153.4729,69.368164,-7.331707,25.1666,6.314411,6.067,-21.052667,-5.0556,5.4146,5.1,36.279808,9.998365,50.84265,2.37518
2022Q3,321.8056,158.3563,105.62141,-11.466023,38.5591,10.135243,8.1797,-35.45086,-6.6868,7.1849,8.08,36.506896,10.316015,50.791327,3.671063
2022Q4,319.1203,154.1595,149.61185,-8.395312,52.7392,12.145121,9.7846,-43.175498,6.5032,9.6951,8.9,35.250662,8.599439,51.69235,4.354448
2023Q1,321.0161,158.6604,24.250724,-28.5457,7.9591,1.424404,-0.4293,-113.267747,-2.3558,5.726,1,32.819905,6.385695,50.575552,0.483827
2023Q2,330.2066,159.9815,60.867957,-12.253758,21.0629,4.30078,1.9129,-68.470493,1.8921,8.2401,2.97,34.604311,7.802415,51.551084,1.462798
2023Q3,336.7339,162.2228,93.873714,-11.122457,32.964,6.360413,3.6685,-55.150947,2.0653,10.8984,3.9,35.11524,7.599764,51.824623,2.175539
2023Q4,342.0036,163.8035,140.911018,-5.815604,46.1684,8.202188,4.6505,-52.471345,13.6263,14.7366,5.61,32.76424,6.465943,52.104759,2.756284
2024Q1,328.4054,171.9322,26.556357,9.507482,8.2515,9.889805,-0.0558,86.999436,-3.1034,2.9696,6.4,31.071531,37.593699,47.646338,2.978336
2024Q2,337.5896,170.8362,63.5521,4.409779,20.0345,12.24912,2.2041,15.226038,-1.9795,7.6698,7.95,31.524587,19.759643,49.395299,3.695642
2024Q3,334.0938,172.3863,101.289538,7.899788,32.7472,14.260901,3.7527,2.29364,0.8526,11.6628,9.25,32.330283,14.515743,48.401815,4.349352
2024Q4,342.2706,174.9753,147.712154,4.826546,47.0365,16.939003,4.4463,-4.389723,11.2605,13.9442,10.95,31.843331,11.863354,48.878075,5.121811
2025Q1,365.5546,176.2374,29.435805,10.842784,9.4066,1.634704,0.719,1388.374712,-6.5699,1.9875,0.97,31.956301,6.523097,51.789049,0.542542
2025Q2,361.9491,177.0185,76.128474,19.789078,23.561,4.881567,2.6106,18.442408,-7.2247,3.2783,2.92,30.948948,7.069522,51.092996,1.528477
2025Q3,375.0432,184.8687,127.128229,25.509733,41.4032,8.633771,5.684,51.464733,-8.6237,4.7055,5.02,32.56807,7.413655,50.707352,2.627817
2025Q4,382.4846,189.26,187.588661,26.996091,62.4298,11.896843,8.1048,82.280056,14.6922,6.3948,7.19,33.280155,7.025032,50.518252,3.636584
2026Q1,431.2333,242.8136,51.348915,74.443724,17.4665,3.540675,4.0827,467.809084,-7.1595,2.3805,1.87,34.015411,8.50105,43.693223,1.072902
2026Q2,473.8341,253.4821,134.128024,76.186408,46.8705,12.879697,14.0876,439.622743,-6.8288,4.2277,6.28,34.94459,11.787497,46.504041,3.692629
