# GoalTracker 财务数据
公司,威海广泰
股票代码,002111.SZ
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,totalAssetTurnover
2022Q1,51.0847,32.857,5.473035,-9.219473,1.8273,0.628868,0.5828,-16.814953,0.9807,0.3857,1.93,33.387998,11.325553,35.681391,1.172482
2022Q2,51.7076,31.5538,11.320379,-20.809454,3.6098,0.969276,0.7033,-63.892039,-1.9709,0.8789,2.97,31.887701,8.386019,38.976546,1.78519
2022Q3,51.8185,29.6203,15.717647,-33.381705,4.6579,0.844866,0.3842,-86.721042,-2.7135,1.3688,2.64,29.634844,4.934469,42.838398,1.456944
2022Q4,54.1478,30.6713,23.458963,-27.616529,7.7715,2.400509,1.9443,499.580896,1.6523,1.8925,7.76,33.128108,10.018222,43.356348,4.320314
2023Q1,56.4653,30.9722,4.734461,-13.494786,1.4295,0.305981,0.2409,-58.658772,-1.8638,0.3009,1,30.194153,6.411503,45.148263,0.54885
2023Q2,58.9847,30.3217,10.687578,-5.589928,2.9806,0.579957,0.4548,-35.337512,-4.002,1.0022,1.91,27.888246,5.34088,48.593946,1.009101
2023Q3,56.6052,30.3761,16.083365,2.326802,4.4045,0.681385,0.5493,42.995291,-4.6841,1.2089,2.26,27.385345,4.114101,46.336942,1.194885
2023Q4,59.8859,32.2357,24.044255,2.494965,6.1964,1.256787,1.024,-47.335117,0.3219,1.6363,4.12,25.770641,5.129919,46.171369,2.16331
2024Q1,60.8134,31.9817,5.678578,19.941387,1.5813,0.494204,0.462,91.748341,-1.5686,0.2704,1.56,27.846561,8.612469,47.410132,0.810387
2024Q2,59.9721,32.0274,12.84433,20.179993,3.4489,1.073856,1.0395,128.563507,-3.3397,0.4498,3.4,26.851255,8.278349,46.596137,1.774264
2024Q3,64.018,31.8538,20.737507,28.937611,5.1345,1.288763,1.2501,127.553574,-6.707,0.7364,4.1,24.759253,6.169045,50.242358,2.064998
2024Q4,64.438,31.4113,28.875402,20.092728,6.7499,0.746246,0.7002,-31.614014,0.7724,1.2163,2.4,23.375827,2.560241,51.253446,1.18928
2025Q1,65.2577,31.8571,6.396148,12.636445,1.5104,0.419195,0.3876,-16.110175,-1.4529,0.4698,1.34,23.614503,6.545595,51.182615,0.645613
2025Q2,67.0865,31.6747,14.245015,10.905081,3.4391,0.833236,0.7865,-24.337272,-2.0504,0.8469,2.64,24.142763,5.717058,52.785332,1.238393
2025Q3,65.4328,31.1298,22.96679,10.750004,5.4485,1.267213,1.1467,-8.270895,1.3064,1.3902,4,23.723487,5.430351,52.424814,1.920643
2025Q4,60.439,31.0623,33.232944,15.090842,8.1194,1.2903,1.0807,54.32654,4.1374,1.8353,4.25,24.431842,3.895154,48.60551,2.073197
2026Q1,60.9374,31.8885,8.458842,32.248993,2.3661,0.772506,0.7657,97.571155,2.5805,0.4029,2.5,27.972246,9.099763,47.670108,1.268342
2026Q2,62.746,31.5701,16.970168,19.130577,4.7908,1.588274,1.4629,85.995218,2.4715,0.5933,4.98,28.231006,9.352661,49.68593,2.576874
