# GoalTracker 财务数据
公司,华天科技
股票代码,002185.SZ
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,accountsReceivable,inventory,contractLiab,cash,totalAssetTurnover
2022Q1,294.197,181.7245,30.076178,15.797167,5.3917,2.068437,1.481,-31.347097,3.861,15.6488,1.37,17.926971,8.325,38.230338,16.4542,22.6817,1.8348,56.7319,0.843129
2022Q2,298.3108,184.8511,62.207783,10.721077,12.0225,5.140467,3.1251,-34.715824,13.255,30.5904,3.36,19.326363,11.487785,38.034042,18.2455,24.0702,1.8824,53.1924,2.389849
2022Q3,299.2818,187.1022,91.267692,2.928674,16.7358,7.043435,3.6824,-55.060557,22.9546,41.0989,4.6,18.337012,10.457946,37.482943,15.7474,22.8381,2.0441,56.8027,3.186752
2022Q4,309.7147,191.9846,119.059605,-1.577549,20.0511,7.539517,2.6407,-76.007347,28.7716,53.7842,4.89,16.841264,8.589184,38.012449,17.0052,22.5377,1.6359,52.4888,3.355849
2023Q1,304.6806,189.6315,22.389999,-25.555704,0.8939,-1.063705,-1.8167,-222.670762,1.683,8.2698,-0.68,3.992379,-5.658688,37.760552,14.714,21.6316,1.2937,51.3291,-0.412432
2023Q2,319.6106,189.8643,50.889135,-18.194907,4.0319,0.628786,-1.8994,-160.779432,7.5843,15.2137,0.4,7.922935,1.477609,40.595118,19.4078,21.0143,1.2828,61.4887,0.238968
2023Q3,322.0104,189.2478,80.684233,-11.596063,6.8743,0.828721,-2.8854,-178.356264,14.6933,25.2355,0.52,8.519991,1.196682,41.229297,19.4463,20.9975,1.1175,52.5358,0.305682
2023Q4,337.5182,191.2403,112.982453,-5.104294,10.0665,2.263233,-3.0815,-216.690759,24.1121,37.1395,1.43,8.9098,2.461419,43.339271,20.5807,21.2649,1.1209,54.6899,0.859342
2024Q1,359.1794,191.1809,31.060298,38.723982,2.6463,0.57034,-0.7681,57.71879,5.5386,11.1374,0.36,8.519918,1.854747,46.772855,19.668,21.6488,0.7309,66.5378,0.165377
2024Q2,366.7519,193.678,67.181972,32.016338,7.3293,2.227339,-0.3591,81.092248,12.2543,22.9469,1.39,10.909653,3.44628,47.190999,23.7617,22.0581,0.9524,65.0783,0.657497
2024Q3,381.5219,198.4365,105.312273,30.523981,12.9403,3.570414,0.478,116.566628,19.7726,38.3041,2.21,12.287576,3.531847,47.988181,23.9212,23.0286,1.0037,60.318,1.034565
2024Q4,382.3595,203.1437,144.616171,27.998789,17.4594,6.16251,0.3342,110.8453,30.9797,50.013,3.79,12.072926,4.557572,46.871012,23.3644,21.5276,1.2591,51.528,1.831141
2025Q1,395.9749,202.7887,35.68772,14.898191,3.2124,-0.185286,-0.8286,-7.876807,6.607,11.0939,-0.11,9.001373,-1.031105,48.787487,21.8665,22.478,1.0627,57.8272,-0.094555
2025Q2,405.062,206.8408,77.802545,15.808665,8.4219,2.264785,-0.0813,77.35826,15.8314,24.8969,1.35,10.824725,3.024551,48.936013,24.7776,23.4387,0.8761,50.9953,0.597692
2025Q3,429.5971,211.783,123.797895,17.553151,15.2732,5.42637,1.1065,131.472403,26.1518,40.6515,3.19,12.33721,4.598934,50.701938,25.7923,26.6224,1.014,58.6184,1.402386
2025Q4,431.2114,214.8415,172.139153,19.031746,22.8234,7.105086,2.0044,499.769081,34.7208,61.464,4.14,13.258721,4.68441,50.177209,27.738,28.4277,1.2591,53.6784,1.982299
2026Q1,451.5095,215.7812,47.995348,34.487009,5.4351,0.867864,0.1141,113.76855,4.8532,19.2906,0.48,11.324119,1.5689,52.208929,28.6898,32.616,0.9532,54.7873,0.170609
2026Q2,469.9095,227.8731,105.106276,35.093622,15.0741,8.134027,2.5027,3177.782044,10.1218,38.5789,4.44,14.341803,8.069254,51.507018,34.0379,36.9533,0.5981,52.447,1.882387
