# GoalTracker 财务数据
公司,博云新材
股票代码,002297.SZ
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,accountsReceivable,inventory,contractLiab,cash,totalAssetTurnover
2022Q1,26.6417,20.8767,1.444715,28.174598,0.3803,0.098955,0.0665,45386.381691,-0.2657,0.502,0.48,26.323137,6.908219,21.638997,1.8508,4.174,0.1003,6.1064,0.378192
2022Q2,26.705,20.949,2.93281,24.906706,0.7411,0.168849,0.0833,430.985151,-0.2492,1.0188,0.82,25.26956,5.8701,21.553802,2.2708,4.3149,0.0942,6.0615,0.651588
2022Q3,26.8087,20.9784,4.27394,17.787123,1.0871,0.182389,0.0497,308.785099,-0.3789,1.4051,0.88,25.435977,4.352139,21.747881,2.6326,4.5579,0.0841,5.6559,0.702624
2022Q4,26.8596,21.122,5.574166,16.483567,1.5734,0.239491,0.01,109.084507,0.4335,1.6236,1.16,28.226589,4.362187,21.361534,2.3366,4.7623,0.0875,6.0234,0.917611
2023Q1,27.765,21.1955,1.33361,-7.690465,0.3569,0.073145,0.0185,-72.207074,-0.1772,0.4762,0.35,26.758249,5.512124,23.661132,2.953,5.0774,0.1707,5.5402,0.269147
2023Q2,28.3317,21.2227,2.925933,-0.234497,0.7156,0.10128,0.0182,-78.219805,-0.6778,0.918,0.48,24.456853,3.443266,25.091945,3.3175,5.2423,0.1571,5.5966,0.365085
2023Q3,28.3634,21.325,4.575943,7.06615,1.131,0.203205,0.0469,-5.689583,-0.5933,1.3002,0.97,24.716142,4.436184,24.815242,3.7834,5.4364,0.2266,4.6181,0.735191
2023Q4,28.5877,21.4473,5.91058,6.03523,1.5066,0.292754,0.0122,21.454466,0.1432,1.9363,1.39,25.490674,4.956713,24.977075,2.9842,5.4493,0.1272,5.1213,1.056754
2024Q1,29.0234,21.6221,1.115481,-16.356305,0.1995,0.175786,-0.0485,-362.225022,0.3493,0.2332,0.83,17.8828,15.669612,25.501285,2.7569,5.9599,0.1335,5.3362,0.606798
2024Q2,28.3208,21.4676,3.020347,3.226794,0.5116,0.023096,-0.0767,-522.464876,0.282,0.3575,0.11,16.940095,0.673642,24.198371,3.045,5.9247,0.1291,4.7134,0.071505
2024Q3,29.3294,21.2731,4.475154,-2.202586,0.6999,-0.168441,-0.3214,-785.457452,0.1554,0.7108,-0.8,15.640576,-3.891735,27.468306,3.3893,5.9655,0.1026,5.3515,-0.601415
2024Q4,29.5909,20.7336,7.125694,20.558292,1.5182,-0.672298,-0.9477,-7879.905776,0.5899,1.205,-3.23,21.305332,-9.636869,29.932505,4.07,5.3673,0.1269,5.6077,-2.360641
2025Q1,29.8771,20.7404,1.682573,50.838364,0.3335,0.009828,-0.0296,38.988116,-0.1387,0.6086,0.05,19.818715,0.403914,30.580784,4.2555,5.5222,0.118,5.455,0.022856
2025Q2,30.0712,20.8139,3.955926,30.975901,0.8366,0.084617,0.0083,110.845942,-0.3695,0.7248,0.41,21.147257,2.028364,30.784661,4.7546,5.5179,0.1309,5.1636,0.268983
2025Q3,31.1879,21.4853,6.493738,45.106491,1.4638,0.30037,0.1399,143.530636,0.435,0.8427,1.45,22.541614,4.559988,31.110167,4.8172,5.5272,0.3189,5.877,0.974397
2025Q4,31.2884,21.8088,9.10442,27.768886,2.5757,0.618536,0.3877,140.906788,1.0057,1.3319,2.97,28.290304,6.642982,30.297584,4.0081,5.6575,0.2397,6.1742,1.986897
2026Q1,34.226,23.1655,3.801608,125.940199,1.8529,1.323071,1.2752,4411.655758,0.0627,0.1117,6.03,48.740023,35.688841,32.316059,4.919,6.3609,0.4636,6.4412,4.141835
2026Q2,35.7479,23.5409,7.450251,88.33141,3.308,1.702164,1.6193,19369.879504,-0.4354,0.1669,7.69,44.401271,23.249509,34.147477,5.2785,8.0238,0.1976,6.0526,5.167784
