# GoalTracker 财务数据
公司,北方华创
股票代码,002371.SZ
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,totalAssetTurnover
2022Q1,317.9226,175.9962,21.357349,50.041932,9.5348,2.064604,1.5536,382.225515,-12.943,3.2454,1.21,44.644092,11.560002,44.641808,0.785692
2022Q2,353.2007,181.3368,54.438139,50.866759,25.2482,7.546249,6.4529,186.842743,-15.3646,6.1681,4.35,46.379648,16.064136,48.658992,2.635051
2022Q3,408.9571,190.931,100.123015,62.185224,44.0321,16.861038,14.764,181.076228,-1.9092,8.2543,9.46,43.977976,18.647441,53.312714,5.189808
2022Q4,425.514,199.8391,146.88112,51.682193,64.3849,23.527267,21.0607,161.065432,-7.2794,14.0859,12.96,43.834704,17.299652,53.035844,6.904319
2023Q1,448.5426,206.4668,38.71133,81.255315,15.9432,5.916839,5.3382,243.589962,-6.6153,4.2978,2.95,41.184739,15.894834,53.969406,1.407941
2023Q2,484.8982,218.3526,84.265901,54.792032,35.7022,17.992365,16.091,149.361029,-3.6131,8.6028,8.71,42.368467,22.050809,54.969382,4.081956
2023Q3,525.3027,229.625,145.883623,45.704385,58.1114,28.842167,26.4007,78.817632,11.3598,14.2893,13.62,39.834099,20.389944,56.287106,6.25685
2023Q4,536.2455,248.2478,220.794581,50.321962,90.0343,38.9907,35.8095,70.030211,23.6501,19.7998,17.88,40.777411,18.2646,53.706316,8.38614
2024Q1,562.5654,260.3873,59.505684,53.716456,26.1667,11.388178,10.8476,103.208586,2.3551,2.6226,4.56,43.973459,19.662553,53.714311,2.129636
2024Q2,600.2119,278.8527,124.635849,47.907811,56.9978,27.902949,26.4709,64.507619,-3.137,6.6734,10.81,45.731485,22.646368,53.540956,4.967277
2024Q3,634.3046,298.8222,205.32066,40.742775,91.0779,44.677852,42.7046,61.755737,4.1866,9.0744,16.74,44.358839,21.840268,52.889788,7.661796
2024Q4,663.6592,325.3993,300.748602,36.211949,129.129,56.217563,55.7129,55.581338,15.5181,20.8217,20.63,42.935852,18.99961,50.968923,9.524266
2025Q1,682.4222,341.2399,82.060292,37.903283,35.2988,15.807073,15.7017,44.74863,-17.2869,1.9154,4.95,43.01565,19.103109,49.995774,2.329141
2025Q2,843.4469,400.7299,161.415462,29.509658,68.0663,32.079785,31.8094,20.16752,-31.9138,3.3757,9.81,42.168374,19.83204,52.489016,4.248139
2025Q3,858.9423,421.7133,273.013797,32.969472,113.0466,51.303426,51.0208,19.473788,-25.6643,5.4671,15.31,41.406925,18.2417,50.903184,6.541745
2025Q4,898.0058,439.2755,393.531124,30.850525,157.8207,55.21993,53.3595,-4.224088,21.3344,22.6153,16.41,40.103743,13.744548,51.083222,6.927103
2026Q1,910.5679,455.1971,103.228639,25.79609,42.0892,16.34739,16.2668,3.598596,7.4806,4.6863,4.25,40.77279,15.18916,50.009533,1.733915
2026Q2,939.2183,467.1779,201.614169,24.903876,80.7833,33.700207,33.4072,5.022909,37.737,8.3047,8.58,40.068286,16.013497,50.25886,3.514593
