# GoalTracker 财务数据
公司,东山精密
股票代码,002384.SZ
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,totalAssetTurnover
2022Q1,368.2254,149.873,73.123416,-2.609595,10.3275,3.642471,3.0401,44.983216,6.8576,7.1033,2.47,14.123403,4.961774,59.298572,0.97045
2022Q2,374.884,148.5886,145.461865,3.86296,21.0233,7.963361,6.7791,27.747836,13.1812,11.4837,5.36,14.45278,5.466339,60.364121,2.108022
2022Q3,397.9963,155.6937,228.186555,4.638278,37.9614,15.806851,14.5718,40.133758,20.3996,17.9734,10.46,16.636104,6.923219,60.880616,4.063703
2022Q4,408.0261,164.2556,315.801467,-0.669959,55.5947,23.68348,21.2658,34.879774,46.2988,33.7503,15.33,17.604311,7.49858,59.74385,6.01382
2023Q1,429.0528,168.2905,65.116026,-10.950514,9.639,4.716501,2.801,-7.866179,17.9938,10.5785,2.85,14.802795,7.240882,60.776267,1.126531
2023Q2,428.5361,168.0658,136.670878,-6.043499,18.3572,8.245487,5.7762,-14.794455,26.139,22.2946,4.95,13.431668,6.033789,60.781424,1.971505
2023Q3,456.9129,173.5702,225.006543,-1.393602,31.4418,13.326882,10.3664,-28.859798,37.0293,33.3801,7.9,13.973709,5.922357,62.012404,3.081302
2023Q4,443.7172,181.9036,336.512055,6.558104,51.0956,19.645253,16.1453,-24.078471,51.7242,34.6686,11.38,15.183897,5.839464,59.004616,4.614184
2024Q1,455.6251,184.2102,77.448046,18.938533,10.5359,2.893485,2.6131,-6.708171,15.5784,8.851,1.57,13.603798,3.734991,59.569784,0.643287
2024Q2,456.1902,182.176,166.285862,21.668833,21.7289,5.606009,5.1602,-10.66449,20.8897,16.4403,3.05,13.067203,3.361224,60.065772,1.242181
2024Q3,456.7435,188.6105,264.662963,17.624563,36.1388,10.673542,10.0843,-2.720934,28.5825,24.7751,5.77,13.654644,4.030982,58.705381,2.369568
2024Q4,460.1417,188.861,367.703743,9.269115,51.5537,10.856418,8.9863,-44.341392,49.8602,37.9214,5.89,14.020433,2.950911,58.9559,2.400952
2025Q1,464.697,193.9703,86.0224,11.071105,12.1573,4.558624,3.9675,51.83263,13.6541,10.9672,2.39,14.132716,5.307066,58.258763,0.987257
2025Q2,478.8671,209.2999,169.551639,1.963954,23.0466,7.58006,6.568,27.281755,25.0012,21.4825,3.95,13.592701,4.473906,56.29269,1.615657
2025Q3,518.9466,213.6886,270.706274,2.283399,37.3239,12.232776,10.7111,6.215266,29.4584,33.7832,6.17,13.787586,4.519935,58.822613,2.499416
2025Q4,602.5054,217.0184,401.248588,9.122791,56.5219,13.860667,9.66,7.496744,53.0714,43.8325,6.89,14.086502,3.471582,63.980673,2.621694
2026Q1,630.4562,228.9265,131.376363,52.723433,25.3918,11.098929,10.5928,166.989391,11.2667,21.5997,5.05,19.327536,8.556737,63.688751,1.823501
2026Q2,691.6741,245.4907,277.97684,63.948188,56.0161,29.568988,24.7958,277.524625,23.8389,52.5336,12.88,20.151351,10.736975,64.507746,4.61239
