# GoalTracker 财务数据
公司,海康威视
股票代码,002415.SZ
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,accountsReceivable,inventory,contractLiab,cash,totalAssetTurnover
2022Q1,1044.3315,680.295,165.215494,18.109051,72.2358,22.837553,22.0966,9.277769,-39.0493,9.1093,3.53,43.722157,14.620328,34.858331,257.8967,185.0014,23.5112,342.1479,2.319281
2022Q2,1048.9433,643.9019,372.575166,9.897376,160.7456,57.58668,56.4527,-9.261537,-21.5849,18.2765,8.81,43.144478,16.473471,38.614238,291.1316,206.7523,23.8531,280.2675,5.880091
2022Q3,1102.644,678.8216,597.215369,7.356324,252.9311,88.406043,85.2586,-20.273566,1.6012,27.9292,13.64,42.351747,15.695927,38.436918,317.7169,195.1374,24.9237,303.4182,8.755331
2022Q4,1192.3483,729.7173,831.663217,2.144764,351.7007,128.377045,123.3106,-25.015108,101.6414,37.5568,19.62,42.288833,16.302428,38.799992,299.0629,189.9822,26.445,400.1186,12.154342
2023Q1,1171.7772,753.6061,162.011894,-1.939043,73.1732,18.112554,15.5409,-29.668107,-32.8552,6.573,2.61,45.165312,12.02519,35.686917,293.1211,188.7522,26.8619,379.602,1.648156
2023Q2,1189.1725,727.794,375.713524,0.842342,169.7683,53.379379,50.362,-10.789096,10.2579,20.1057,7.6,45.185568,15.321698,38.798278,316.267,195.9754,27.7017,346.7026,4.834364
2023Q3,1274.5739,767.9085,612.760133,2.602874,274.8365,88.51262,84.6209,-0.747961,59.1303,33.2145,12.59,44.852213,15.501056,39.751752,350.401,193.6349,30.9481,399.7786,7.700631
2023Q4,1388.5812,821.6361,893.411776,7.424707,396.0841,141.077263,136.6596,10.825543,166.2221,40.4782,19.64,44.333878,16.964072,40.829092,358.1657,192.1144,29.7799,496.3816,11.74453
2024Q1,1322.5965,846.5444,178.175504,9.976805,81.1851,19.157957,17.6028,13.267042,-39.6591,10.0757,2.47,45.564679,12.470004,35.993748,333.963,197.3069,31.3612,441.0966,1.639029
2024Q2,1277.8605,799.4751,412.090962,9.682227,184.7675,50.641189,52.4301,4.10642,-1.8964,19.1812,6.51,44.836592,13.687912,37.436435,367.8311,190.3678,30.7148,341.265,4.230855
2024Q3,1240.943,831.94,649.914678,6.063473,289.4565,81.077485,81.5114,-3.674715,26.0373,33.8756,10.52,44.537615,13.706144,32.959047,391.6492,200.3588,32.3594,282.6091,6.775237
2024Q4,1320.162,875.0029,924.955251,3.530676,405.4167,119.77327,118.1486,-13.545337,132.6409,46.6574,15.34,43.83095,14.207198,33.720032,379.1013,191.1071,33.5394,362.7149,9.702671
2025Q1,1257.3553,888.7727,185.318637,4.009043,83.2516,20.386834,19.2644,9.43933,-17.3737,9.3793,2.51,44.923498,12.038243,29.314118,350.6411,192.5553,32.6652,328.2467,1.731054
2025Q2,1244.1477,858.0888,418.180401,1.477693,188.9854,56.573498,54.89,4.691859,53.4302,19.7776,6.85,45.192316,15.020973,31.029988,348.3849,191.2492,33.8094,312.8608,4.899156
2025Q3,1298.6337,859.715,657.577825,1.1791,298.3183,93.191247,89.7097,10.057933,136.9703,30.8495,11.43,45.366227,15.593238,33.798499,331.7399,201.0505,35.969,366.5097,7.830903
2025Q4,1380.4966,912.1686,925.077961,0.013267,424.4036,141.953719,137.0316,15.982383,253.3941,36.2205,17.3,45.877603,16.683627,33.924599,298.1238,204.7219,42.0049,465.0833,11.429549
2026Q1,1353.1159,943.7009,207.154445,11.782845,101.6827,27.811712,26.4765,37.437662,-22.2044,7.5783,3.28,49.085471,15.744505,30.257196,273.951,243.8236,46.7089,418.0616,2.386252
2026Q2,1376.904,931.3337,468.225378,11.967318,233.9594,78.957055,77.1195,40.498237,32.3141,14.9474,9.17,49.967261,19.484208,32.360305,277.8413,294.8815,49.1995,378.5137,6.617102
