# GoalTracker 财务数据
公司,通鼎互联
股票代码,002491.SZ
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,accountsReceivable,inventory,contractLiab,cash,totalAssetTurnover
2022Q1,62.0185,22.1461,6.938717,-9.777478,1.0331,0.612886,-0.3626,33.420199,2.4729,0.2322,2.83,14.888291,9.005104,64.291096,10.5831,8.6626,0.2773,9.1247,1.006951
2022Q2,64.1955,21.8684,15.187123,5.316725,2.4677,0.339418,-0.1476,91.584338,-0.2321,0.2532,1.58,16.248465,2.319011,65.934682,11.5596,9.9966,0.3151,11.4978,0.557785
2022Q3,62.5676,21.9763,24.380183,10.962012,4.1678,0.755411,0.0874,103.050396,0.2298,0.296,3.48,17.095011,3.161558,64.875905,11.1962,10.0509,0.1889,12.8714,1.236691
2022Q4,59.8414,22.4705,33.158815,11.373475,6.4063,1.254531,0.1912,102.119586,1.5008,0.3152,5.77,19.320095,3.835173,62.449873,10.8988,8.7822,0.183,12.7819,2.085983
2023Q1,61.2685,23.6699,7.436588,7.175263,1.7982,1.192064,0.2487,168.598256,0.0525,0.0638,5.21,24.17981,16.120611,61.366865,11.3951,8.5895,0.1598,12.9147,1.979729
2023Q2,60.7291,24.8129,16.765487,10.392781,3.8077,2.32354,0.6228,521.985269,0.7237,0.1086,9.92,22.711667,13.904764,59.141634,13.1177,8.498,0.2223,11.8536,3.866953
2023Q3,60.3209,24.5464,25.639854,5.166783,5.7653,2.061642,0.8674,892.936875,1.7192,0.1124,8.85,22.485546,8.052545,59.307032,12.6926,8.8366,0.1316,12.9621,3.436454
2023Q4,58.8789,24.7944,33.489268,0.996579,7.4997,2.367592,0.4588,139.886283,2.7404,0.3196,10.09,22.39439,7.082077,57.889196,11.0236,8.2241,0.2438,12.195,3.995503
2024Q1,57.0368,24.5185,7.790108,4.753789,1.589,-0.272572,0.2567,3.219308,-0.8365,0.016,-1.11,20.397452,-3.541634,57.012888,12.2241,7.306,0.1919,10.2483,-0.476031
2024Q2,60.2633,24.4091,14.442341,-13.856721,2.8609,-0.389321,0.2701,-56.622381,0.8116,0.0668,-1.59,19.809256,-2.727543,59.495919,11.7841,7.4241,0.1151,14.9056,-0.661262
2024Q3,57.9974,24.8839,21.7034,-15.352871,4.2865,0.081159,0.3289,-62.085221,0.6473,0.1351,0.33,19.750279,0.329629,57.094727,12.4495,7.6601,0.137,11.684,0.122421
2024Q4,54.7459,25.5911,29.150917,-12.954451,5.9674,0.773268,0.3384,-26.233403,1.1626,0.3235,3.09,20.470637,2.606404,53.254766,11.1542,8.1833,0.1074,8.6091,1.337368
2025Q1,61.2123,26.8992,6.600853,-15.266223,1.243,1.316455,-0.1546,-160.217533,-0.4668,0.0316,5.04,18.830904,19.816529,56.055956,11.5236,7.8262,0.1546,12.8056,2.256089
2025Q2,62.9567,26.4253,15.221087,5.392105,3.0745,-0.896016,0.0678,-74.903476,1.6245,0.1452,-3.58,20.199004,-5.603864,58.026127,13.8332,9.3099,0.2387,13.0227,-1.449364
2025Q3,60.9702,26.9518,24.462446,12.712506,5.0277,-0.654676,0.2126,-35.344953,1.569,0.4766,-2.6,20.552571,-1.732136,55.79517,14.4926,10.0894,0.5728,9.2874,-0.732349
2025Q4,57.1539,26.6696,34.12995,17.080194,6.6384,-0.763921,-0.4127,-221.947267,0.686,0.692,-3.05,19.45033,-1.938278,53.337155,13.1242,10.5166,0.2587,6.8975,-1.182367
2026Q1,62.3084,27.3489,10.636151,61.132993,2.8672,0.51274,1.0283,765.140357,-0.1758,0.4075,2.06,26.956913,6.052334,56.107107,14.5093,11.7881,0.508,9.5126,1.077722
2026Q2,65.789,29.0433,24.575362,61.456029,6.8377,2.025379,2.6821,3856.179124,1.4307,1.2211,7.88,27.823461,9.40728,55.853862,15.0982,12.4948,0.5065,11.3288,3.76089
