# GoalTracker 财务数据
公司,巨人网络
股票代码,002558.SZ
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,accountsReceivable,inventory,contractLiab,cash,totalAssetTurnover
2022Q1,121.4718,108.7489,5.804013,2.389885,5.1956,2.709887,3.5045,24.356585,1.0815,0.6166,2.53,89.516619,45.813652,10.473958,1.7317,,2.2864,22.0585,2.209203
2022Q2,126.1659,112.9529,10.63889,2.706007,9.3118,4.991414,5.9135,23.005612,3.6101,0.667,4.5,87.525867,46.10752,10.472728,1.7747,,2.1954,17.3276,3.997544
2022Q3,135.3605,121.8541,15.725027,1.966409,13.5405,7.756115,8.5618,25.772024,5.5913,0.8275,6.79,86.108202,48.625506,9.978089,1.5534,,2.2416,18.9263,6.006301
2022Q4,132.0907,119.0154,20.377074,-4.074871,17.1241,8.509529,10.1787,-3.493646,7.3685,1.134,7.58,84.036338,40.921063,9.898757,1.2737,,2.3476,17.3762,6.635197
2023Q1,133.4785,119.6756,5.075407,-12.553478,4.3928,2.447739,2.6203,-25.23007,1.4593,0.2117,2.06,86.551546,48.493621,10.340884,1.3291,,2.7414,17.5204,1.853565
2023Q2,142.8687,126.4804,14.434881,35.680332,12.9184,6.635903,6.9138,16.915803,5.3701,0.3958,5.36,89.494177,46.133554,11.470933,2.404,,4.2418,18.793,4.843859
2023Q3,142.5753,127.2216,22.672548,44.181294,20.299,10.848216,11.1615,30.363247,8.0047,0.6423,8.74,89.531064,48.034811,10.768885,1.9379,,3.1266,18.671,7.930151
2023Q4,133.7052,117.3193,29.241737,43.503117,26.0023,10.864403,13.7252,34.841753,11.2507,0.8863,8.93,88.921857,37.337561,12.255183,1.6032,,4.3487,18.8852,8.215442
2024Q1,138.1551,121.0927,6.964022,37.2111,6.048,3.52409,4.0462,54.415648,2.6631,0.3588,2.97,86.845796,50.868529,12.350187,1.7838,,4.7089,20.5784,2.606115
2024Q2,139.9066,123.3237,14.271374,-1.132719,12.6187,7.177109,8.8439,27.916819,4.6499,0.7468,5.95,88.419532,50.480932,11.852819,1.6899,,4.977,21.5088,5.266091
2024Q3,138.8767,122.3888,22.184116,-2.154288,19.7254,10.708045,12.7419,14.15903,7.3492,1.2543,8.85,88.916551,48.535501,11.872388,1.7082,,4.8984,18.413,7.900137
2024Q4,147.4258,128.6108,29.228464,-0.04539,25.5281,14.249017,16.2275,18.231191,10.3421,1.8738,11.56,87.339853,48.957331,12.762339,1.4743,,6.3354,20.58,10.179938
2025Q1,149.911,130.471,7.238144,3.936258,6.6064,3.478677,3.6234,-10.449724,2.1757,0.3517,2.69,91.271383,47.763722,12.967729,1.8515,,7.6107,22.5248,2.325449
2025Q2,162.5332,140.7276,16.622,16.470913,15.0891,7.770481,8.0662,-8.793739,7.4276,0.6264,5.87,90.777979,47.262478,13.416124,1.8731,,8.8947,31.2547,5.069037
2025Q3,181.8952,152.0567,33.684217,51.839346,30.5231,14.16821,14.8438,16.496571,18.5125,0.9874,10.23,90.615411,42.479603,16.404244,2.8406,,13.3328,48.1431,8.689954
2025Q4,189.6295,154.2258,50.473871,72.687389,45.948,17.545142,21.2747,31.10318,29.8511,1.1074,12.45,91.0333,35.034853,18.669908,2.0333,,17.096,62.6043,10.492907
2026Q1,204.9302,164.2303,23.285141,221.700441,22.2088,10.804,10.1352,179.717782,13.2158,0.2828,6.81,95.377689,50.071764,19.860349,2.7086,,21.1276,61.5395,5.910022
2026Q2,203.7863,169.0345,46.887292,182.079729,44.9133,21.443046,22.362,177.230795,20.7181,0.5773,13.22,95.789993,48.828477,17.053056,1.8859,,16.0094,57.9889,11.638755
