# GoalTracker 财务数据
公司,世纪华通
股票代码,002602.SZ
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,accountsReceivable,inventory,contractLiab,cash,totalAssetTurnover
2022Q1,407.058,322.4965,35.202998,-11.921706,18.0114,2.088488,2.0562,-61.063471,2.2095,0.2957,0.67,51.164404,6.421093,20.773834,32.8793,5.9979,7.8642,24.6665,0.555738
2022Q2,404.8267,328.3402,64.505608,-11.751345,34.1493,4.855491,4.3164,-43.779982,12.0407,0.6773,1.54,52.940119,7.957991,18.893635,23.6835,6.1549,7.8087,23.2119,1.265537
2022Q3,413.5196,334.704,91.417571,-15.244113,48.7483,6.898674,5.9747,-40.416959,14.5959,1.8948,2.18,53.324844,7.849865,19.059718,26.3488,6.1834,8.1761,24.7553,1.750399
2022Q4,333.1173,253.4864,114.75126,-18.826567,59.1144,-67.472056,-63.3572,-2726.243604,14.9084,3.1919,-25.18,51.515211,-58.730019,23.904767,23.7286,6.2673,8.1791,22.0061,-18.225701
2023Q1,341.2998,256.78,30.226373,-14.136933,17.2615,4.334229,3.3781,64.290252,5.7023,2.6055,1.79,57.107387,14.626535,24.764103,24.4052,6.2901,8.1795,24.783,1.311079
2023Q2,348.3382,266.0595,60.49582,-6.216185,35.3468,8.682317,7.3711,70.768305,16.7518,3.1673,3.51,58.428548,14.812848,23.620329,19.5751,6.4041,8.3672,32.3749,2.630004
2023Q3,355.2201,266.8653,97.87383,7.062383,59.5358,14.292428,12.0407,101.527978,24.9581,3.7908,5.77,60.829093,15.248065,24.873254,24.878,6.4406,8.9836,29.4501,4.336206
2023Q4,367.3948,253.8118,132.845529,15.768253,80.3344,5.240454,4.2112,106.646797,31.0235,9.8769,2.19,60.472041,4.424942,30.915786,26.0543,6.6952,10.5801,35.2014,1.678297
2024Q1,378.0568,263.3947,42.616096,40.989774,26.8751,6.515117,6.4746,91.664606,8.7241,1.036,2.66,63.063294,16.597229,30.329341,27.8765,7.8957,11.5891,37.3824,1.897666
2024Q2,385.8084,267.9963,92.760244,53.333312,59.2241,11.583123,11.5233,56.330575,18.8925,1.9359,4.68,63.84638,13.01363,30.536407,30.8828,7.4871,10.6509,44.794,3.20537
2024Q3,386.9309,263.6519,155.28891,58.662341,101.1646,18.032077,17.8176,47.978312,34.621,5.151,7.26,65.146039,12.230576,31.860733,33.6636,7.9322,12.74,52.9148,5.035684
2024Q4,389.245,254.5042,226.196943,70.270648,148.8338,12.131982,16.432,290.195964,50.465,5.7793,4.94,65.798325,4.619557,34.615932,33.9515,7.6118,13.3769,65.2772,2.762026
2025Q1,393.2421,266.1878,81.44701,91.117952,56.4934,13.499187,13.4642,107.954641,12.9114,3.1553,5.31,69.362114,17.018759,32.309426,36.6462,8.0474,14.7178,67.9529,3.542875
2025Q2,414.1951,282.1775,172.070857,85.500651,119.5853,26.563828,25.8618,124.431108,39.1832,3.594,10.15,69.497704,15.764033,31.873292,37.6204,8.0121,14.5668,89.8474,6.752291
2025Q3,432.2659,299.2916,272.233679,75.307868,190.166,43.57458,42.9367,140.978965,62.7771,6.7126,16.1,69.853965,16.317238,30.762155,39.7524,8.0936,15.4483,101.9535,10.814468
2025Q4,444.2867,312.1975,378.983165,67.545661,265.0826,56.05171,56.3808,243.115485,85.6437,8.4745,20.27,69.945743,15.088333,29.730613,39.6309,7.66,12.9584,118.077,13.720473
2026Q1,456.3658,328.4176,110.104582,35.185542,79.328,20.273041,19.7838,46.936647,19.4078,4.5264,6.46,72.047883,18.608284,28.036334,40.7288,7.8252,13.8643,126.8506,4.549718
2026Q2,472.2364,348.1886,221.170396,28.534489,160.7627,45.027243,43.034,66.400251,44.9732,5.1082,13.87,72.68725,20.714275,26.268152,37.1074,7.8074,13.7378,130.3815,9.997314
