# GoalTracker 财务数据
公司,卫星化学
股票代码,002648.SZ
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,accountsReceivable,inventory,contractLiab,cash,totalAssetTurnover
2022Q1,512.0881,207.7461,81.375908,124.543946,23.6477,15.316255,15.5006,120.623023,13.1636,5.8124,7.63,29.059821,18.950042,59.431568,6.3377,39.1176,6.7083,101.7094,3.087202
2022Q2,558.8959,217.666,188.138451,74.692239,46.0611,27.978174,27.2242,34.116965,36.4494,11.9339,13.6,24.482542,14.928615,61.054296,8.9704,44.0375,4.2711,98.0137,5.371184
2022Q3,584.1486,211.4,277.698426,38.721655,52.7409,30.458278,28.2082,-31.087271,30.3483,19.4056,14.74,18.992153,11.035747,63.810573,8.0978,42.889,7.5895,80.4086,5.722504
2022Q4,597.6351,221.937,370.426739,29.714687,61.2095,30.957809,30.7797,-47.486998,58.8842,39.175,15.08,16.52404,8.397333,62.864124,6.7592,38.7658,5.1727,55.5366,5.736148
2023Q1,624.1451,218.8615,94.618823,16.273754,15.3279,6.977893,7.6867,-50.410147,8.7499,10.4293,3.1,16.199671,7.351364,64.934187,7.793,42.3695,6.5815,87.4052,1.138629
2023Q2,611.4233,230.9743,203.330701,8.075037,35.1263,18.27447,19.5212,-28.294575,28.7736,14.9525,7.91,17.275444,8.975787,62.223503,6.332,34.5496,7.3731,70.5221,3.018966
2023Q3,601.521,246.8435,320.488624,15.408873,58.8643,34.30674,33.9338,20.29753,45.6561,19.1631,14.33,18.367062,10.69426,58.963444,7.0304,36.6174,7.8362,53.1382,5.716334
2023Q4,645.8196,254.9336,414.869221,11.997644,82.2953,47.894914,46.7225,51.796354,79.964,24.0637,19.69,19.836449,11.530751,60.525577,6.3944,42.3344,8.167,63.9884,7.694295
2024Q1,658.208,265.5143,88.047152,-6.945416,19.0706,10.226155,10.6305,38.296768,6.6078,10.1013,3.93,21.65957,11.592326,59.661031,8.9732,47.2784,5.1781,56.8155,1.565414
2024Q2,656.3547,262.8883,194.003964,-4.586979,40.9027,20.561066,22.3446,14.463018,21.1501,17.16,7.81,21.083459,10.579989,59.947219,9.2515,51.6035,6.2574,44.7391,3.152511
2024Q3,676.5194,278.4861,322.752944,0.706521,71.3144,36.927431,40.8844,20.482839,56.9427,21.2061,13.9,22.095654,11.425259,58.835463,10.4129,48.5135,9.6503,68.9898,5.577293
2024Q4,683.0521,303.0472,456.483501,10.030698,107.5738,60.718357,60.4811,29.447464,105.9039,31.3995,21.87,23.565767,13.27969,55.633363,8.2716,43.9758,9.7161,85.0713,9.123468
2025Q1,686.5953,318.4104,123.289658,40.026854,26.73,15.684693,16.9209,59.173426,15.985,4.0753,5.05,21.680636,12.71453,53.624732,14.1052,44.727,6.6184,77.1246,2.289013
2025Q2,692.9618,311.3283,234.600638,20.925693,48.2411,27.437214,28.96,29.606494,50.5234,5.9546,8.61,20.563091,11.689901,55.072804,7.2953,39.7321,8.3708,88.9896,3.986091
2025Q3,697.1888,320.5975,347.706188,7.731376,71.998,37.55034,42.378,3.653464,66.2119,8.7384,11.46,20.706558,10.798151,54.015682,13.3682,45.6067,11.2366,70.8069,5.440476
2025Q4,695.6464,335.7374,460.678861,0.919061,102.7996,53.106871,62.9154,4.024956,96.0689,26.5965,16.8,22.314801,11.516354,51.737353,6.6288,51.9946,7.1085,74.605,7.696158
2026Q1,746.4614,354.7278,126.768899,2.822006,30.8529,21.170042,19.5389,15.472004,22.1096,2.6424,6.14,24.337943,16.699592,52.478751,12.1532,56.0623,13.6623,92.5741,2.935965
2026Q2,777.4283,380.6785,307.131546,30.916756,86.2845,62.266346,60.5292,109.009446,96.2928,7.2677,17.28,28.093649,20.276258,51.033621,12.2194,47.7857,10.6769,126.305,8.455075
