# GoalTracker 财务数据
公司,美亚光电
股票代码,002690.SZ
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,totalAssetTurnover
2022Q1,31.8489,25.7993,4.018927,14.857784,2.005,1.136153,1.0606,7.254559,-1.4734,0.3743,4.47,49.888603,28.270065,18.994729,3.529774
2022Q2,29.4756,22.6753,9.042612,10.188141,4.65,3.242728,2.997,27.490993,-0.2976,0.379,12.62,51.423407,35.860528,23.071054,10.460061
2022Q3,30.696,24.5305,14.996382,9.205694,7.8822,5.56933,5.3393,30.69449,1.3552,0.6092,22.02,52.560452,37.137821,20.085635,17.618205
2022Q4,33.1492,26.4922,21.172557,16.789708,11.2155,7.301127,7.027,45.626053,3.1595,0.7585,29.37,52.971992,34.483919,20.081889,22.233894
2023Q1,33.5065,27.8783,4.069646,1.262025,2.189,1.250321,1.2316,16.125567,0.0085,0.1803,4.6,53.788472,30.72308,16.797099,3.751582
2023Q2,29.8464,23.785,9.673017,6.971498,5.0785,3.462923,3.4024,13.526848,1.9337,0.0805,14.39,52.501645,35.799817,20.308696,10.994169
2023Q3,32.5618,25.8738,16.571503,10.503343,8.6574,5.631655,5.504,3.083304,4.0929,0.3652,23.4,52.242902,33.983969,20.539443,17.140665
2023Q4,34.2473,27.5908,24.253944,14.553683,12.3068,7.448344,6.9472,-1.135446,6.7535,0.3366,28.77,50.741461,30.709826,19.436632,22.103058
2024Q1,33.6615,28.0708,3.314,-18.567864,1.6932,1.009005,0.9611,-21.968529,-0.5656,0.1107,3.6,51.0927,30.446733,16.608666,2.971646
2024Q2,29.67,23.6784,9.302542,-3.829988,4.7332,2.719228,2.6452,-22.254018,1.7467,0.0721,10.14,50.880361,29.231018,20.194187,8.508583
2024Q3,31.5784,25.6519,15.779781,-4.777613,7.9604,4.500276,4.3957,-20.135105,4.8089,0.2159,17.03,50.446525,28.519255,18.767754,13.673307
2024Q4,33.3778,27.88,23.107704,-4.725994,11.6528,6.491735,6.2824,-9.56983,8.7768,0.1926,24.31,50.428347,28.093381,16.471383,19.199176
2025Q1,34.1558,29.3438,3.923402,18.3887,2.0245,1.084551,1.0409,8.303112,0.5718,0.0306,3.81,51.600267,27.643137,14.08838,3.211886
2025Q2,31.7035,25.0907,10.225451,9.921044,5.3312,3.027633,2.9526,11.622862,3.935,0.237,11.07,52.136509,29.608796,20.85815,9.304157
2025Q3,34.1134,27.251,16.940345,7.354756,8.9691,5.188607,5.0916,15.830914,6.4878,0.3134,19.17,52.945364,30.628695,20.116639,15.375638
2025Q4,36.0819,29.2698,24.068633,4.158481,12.9779,7.191177,7.071,12.551578,9.6211,0.4613,26.05,53.920542,29.877793,18.879499,20.706024
2026Q1,35.531,30.2598,4.021387,2.497453,2.2004,1.159695,0.9564,-8.116245,-0.3999,0.1102,3.9,54.716331,28.838174,14.83554,3.238785
2026Q2,32.2432,25.7366,10.655137,4.202117,5.8063,3.149526,2.9326,-0.677953,2.6731,0.31,11.04,54.493008,29.558756,20.179717,9.219235
