# GoalTracker 财务数据
公司,视源股份
股票代码,002841.SZ
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,accountsReceivable,inventory,contractLiab,cash,totalAssetTurnover
2022Q1,166.5285,88.9829,41.866399,17.239384,11.0388,3.080578,2.6007,58.239784,-2.8548,1.6475,3.61,26.36682,7.500103,46.565942,1.9479,28.0623,12.7693,57.7119,1.952713
2022Q2,166.342,87.197,89.798975,12.776891,24.4652,6.767145,5.5937,76.018719,0.4049,3.1891,7.84,27.244436,7.749241,47.579694,1.8032,27.3286,12.3745,50.405,4.330002
2022Q3,207.1701,116.5597,160.471675,5.005133,44.6731,15.92557,14.1504,34.705011,25.7714,5.8833,16.78,27.838626,10.152698,43.737202,1.4862,19.3525,12.2146,96.4121,8.995062
2022Q4,201.4849,121.7074,209.902651,-1.109252,58.0726,20.724187,18.0922,23.245084,23.6601,9.6608,20.86,27.666445,10.103741,39.594771,2.0575,18.5711,10.2601,47.4172,11.895819
2023Q1,203.759,124.8543,37.568703,-10.265264,10.9193,2.84015,2.12,-18.481909,-2.5538,3.2858,2.35,29.064751,7.621107,38.72455,1.3232,19.0997,11.4582,50.7498,1.413051
2023Q2,211.5899,121.1492,83.374161,-7.154664,23.6069,6.023462,4.6348,-17.142717,1.6002,6.5766,4.9,28.314382,7.217982,42.743366,2.6819,26.1403,11.9364,56.2126,2.913725
2023Q3,223.3737,127.5729,153.833811,-4.136471,40.4661,10.613272,9.055,-36.009047,16.6714,9.5414,8.64,26.305045,7.055424,42.888101,3.5594,19.4512,12.1428,59.0451,5.109289
2023Q4,218.056,128.6674,201.726363,-3.895276,50.4699,13.70001,11.6105,-35.825605,11.159,17.315,11.19,25.018989,6.938772,40.993409,2.9584,22.3832,9.5685,47.1768,6.672689
2024Q1,217.5983,129.2101,44.945715,19.636059,9.6956,1.784179,1.4207,-32.98565,-5.0181,3.466,1.42,21.571911,4.230706,40.619913,2.9096,29.0216,10.2166,36.6263,0.872949
2024Q2,231.1144,126.9115,101.19891,21.379225,22.1544,4.950043,4.7033,1.478011,-2.5104,5.5533,3.93,21.891964,4.983744,45.087132,4.3706,37.3171,10.2226,32.7433,2.245693
2024Q3,231.1368,130.1582,171.523589,11.499279,36.8882,9.305145,8.6426,-4.554382,7.2109,7.3665,7.34,21.506183,5.732402,43.687819,4.1182,27.4606,11.2624,36.9191,4.377818
2024Q4,226.7028,131.2504,224.01182,11.04737,47.7768,9.709561,8.3665,-27.940735,12.5473,10.0999,7.7,21.32781,4.625419,42.104658,4.2011,23.148,12.1194,49.0408,4.659373
2025Q1,227.6196,133.2863,50.045993,11.347638,10.3375,1.619508,1.0424,-26.63195,-4.5481,2.2824,1.27,20.655903,3.720704,41.443393,5.7567,26.367,11.6279,30.6247,0.81971
2025Q2,246.9447,131.1757,105.646075,4.394479,21.6741,3.976763,2.835,-39.724069,0.2027,3.4894,3.08,20.515781,4.217875,46.88052,5.7643,38.4816,12.9727,28.7838,1.881576
2025Q3,259.9218,136.7207,180.866615,5.447079,36.7449,8.671326,6.8317,-20.952591,10.2414,4.9936,6.7,20.316008,5.426839,47.399291,6.0183,37.1928,14.6789,36.0801,4.034049
2025Q4,261.39,138.8475,243.538844,8.716961,48.7995,10.134455,7.5239,-10.070605,6.6155,6.9263,7.65,20.037677,4.707857,46.881092,5.4737,45.8732,15.0842,25.2864,4.698065
2026Q1,285.3353,141.7086,62.031655,23.949296,12.8745,2.468999,1.9025,82.517941,-9.967,3.2039,1.83,20.754786,4.074835,50.336106,6.1451,64.9678,19.9649,29.2405,0.924664
2026Q2,308.9035,149.9588,143.88712,36.197318,34.1118,15.208761,9.8186,246.340561,-10.8886,5.7058,10.93,23.707356,11.037149,51.454474,9.9385,77.8871,24.0472,31.6629,5.569425
