# GoalTracker 财务数据
公司,周大生
股票代码,002867.SZ
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,totalAssetTurnover
2021Q4,70.1611,57.9723,91.552,80.074129,25.0045,12.246117,11.9325,26.1629,1.9652,1.54,21.33,27.311781,13.347443,17.372624,17.875922
2022Q1,72.372,60.1318,27.5443,138.147414,5.5554,2.898578,2.8153,26.286026,6.6423,0.2327,4.89,20.169015,10.488252,16.912927,4.053677
2022Q2,69.6212,57.7481,50.979838,82.79087,11.2955,5.851149,5.6109,-3.438395,7.3512,0.5439,9.83,22.156889,11.444842,17.053873,8.34807
2022Q3,75.4351,61.0704,89.365155,38.052916,18.1695,9.305657,8.6954,-9.776606,2.1106,0.8202,15.6,20.331733,10.385612,19.042431,12.749121
2022Q4,76.0725,60.4889,111.18081,21.440066,23.1033,10.905982,10.2547,-14.061111,10.1772,1.2251,18.28,20.779938,9.778427,20.48519,14.868991
2023Q1,84.617,64.1344,41.219051,49.646388,7.3843,3.653982,3.561,26.486771,6.911,0.3699,5.87,17.914766,8.844195,24.206233,4.537312
2023Q2,80.6304,61.3577,80.738707,58.3738,14.9074,7.398533,7.0731,26.059994,7.162,0.8943,11.74,18.463726,9.142841,23.902595,9.421407
2023Q3,80.5846,61.6459,124.939903,39.808299,22.7659,10.951819,10.5384,21.195046,-1.0866,1.5076,17.38,18.221449,8.745514,23.501679,13.949746
2023Q4,80.1244,63.8467,162.900624,46.518653,29.557,13.160491,12.679,23.641752,1.3861,2.1469,21.09,18.144199,8.058712,20.315494,16.809158
2024Q1,91.0931,67.2523,50.703589,23.010084,7.8952,3.412592,3.3581,-5.700279,4.017,0.7149,5.21,15.571342,6.717147,26.171859,3.978373
2024Q2,90.8129,62.7954,81.968581,1.523276,15.0655,6.014542,5.8507,-17.282787,12.9361,1.0266,9,18.379641,7.325614,30.851877,7.025622
2024Q3,82.6529,62.0637,108.086491,-13.489215,22.242,8.548091,8.3723,-20.554553,13.15,1.5683,13.08,20.577963,7.891538,24.910407,10.480196
2024Q4,78.3573,63.511,138.913016,-14.725302,28.8931,10.10106,9.8758,-22.109102,18.559,1.9534,15.72,20.799408,7.212092,18.947023,12.643142
2025Q1,83.1078,66.0266,26.73038,-47.281088,7.0068,2.521198,2.4187,-27.973759,3.7412,0.4076,3.89,26.212825,9.411321,20.553016,3.116068
2025Q2,78.539,62.3823,45.967092,-43.921083,13.9453,5.938147,5.8119,-0.663162,4.0323,0.6225,9.09,30.337627,12.893808,20.571627,7.555188
2025Q3,81.9164,62.5416,67.720013,-37.34646,20.1372,8.815412,8.5275,1.853129,5.8045,0.9013,13.6,29.735986,12.994596,23.651919,10.981136
2025Q4,83.1152,64.7625,88.150685,-36.54253,27.6384,11.03225,10.6186,7.52105,4.6401,1.0986,17.16,31.353548,12.501934,22.080994,13.650049
2026Q1,85.1907,67.6894,19.539616,-26.901093,7.7042,2.934138,2.809,16.13648,-1.7653,0.3044,4.43,39.428858,15.015162,20.543641,3.486397
