# GoalTracker 财务数据
公司,凌霄泵业
股票代码,002884.SZ
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,totalAssetTurnover
2022Q1,24.424,22.6009,4.553673,5.465847,1.5394,1.156358,1.1085,29.230767,0.7472,0.2689,5.26,33.806301,25.393973,7.464387,4.808266
2022Q2,21.5355,20.2359,8.631833,-6.413362,2.9982,2.351622,2.2796,12.752909,2.9094,0.3619,10.68,34.73446,27.2436,6.034591,10.403046
2022Q3,22.4017,21.2269,11.93739,-19.206212,4.1902,3.348715,3.2458,-4.32483,4.5652,0.3772,15.56,35.101469,28.052319,5.244525,14.535462
2022Q4,23.4733,22.1029,14.834642,-28.087718,5.312,4.219383,4.0842,-13.391501,6.2937,0.6396,19.65,35.808411,28.442769,5.837917,17.898448
2023Q1,24.2176,22.8807,2.698195,-40.746839,1.0235,0.772391,0.7409,-33.161502,0.5532,0.1431,3.43,37.934344,28.626199,5.520319,3.239157
2023Q2,21.6612,20.3343,6.079851,-29.564773,2.3203,1.800902,1.7512,-23.178126,1.7243,0.1937,8.04,38.163447,29.620825,6.125734,7.980162
2023Q3,22.6077,21.3382,9.448362,-20.85069,3.5988,2.798881,2.7316,-15.842672,2.7976,0.2425,12.77,38.089404,29.622922,5.615594,12.14766
2023Q4,23.8555,22.3786,13.155703,-11.317693,4.987,3.836988,3.7449,-8.305654,4.1748,0.3021,17.49,37.907733,29.165969,6.190986,16.21418
2024Q1,24.8812,23.3144,3.247874,20.372096,1.1843,0.945549,0.9386,26.683358,0.5202,0.1001,4.14,36.463501,29.112872,6.297047,3.880237
2024Q2,22.6437,20.9564,7.532147,23.887043,2.7541,2.173162,2.1529,22.936658,1.598,0.1095,9.51,36.565201,28.851828,7.451697,9.347086
2024Q3,23.6841,22.0817,11.675455,23.571216,4.2654,3.300334,3.2396,18.599671,2.5675,0.1443,14.71,36.533181,28.267285,6.765819,13.884564
2024Q4,24.9655,23.1873,15.920827,21.018446,5.8162,4.424105,4.2982,14.773769,4.434,0.2403,19.68,36.531738,27.788162,7.122841,18.123763
2025Q1,26.2031,24.23,3.663807,12.806327,1.3486,1.042836,0.9834,4.774305,0.5956,0.0484,4.4,36.809606,28.463169,7.529938,4.076076
2025Q2,23.6877,21.9523,8.403965,11.574627,3.0666,2.342274,2.2319,3.66917,1.3823,0.1209,9.86,36.489335,27.871056,7.326317,9.628439
2025Q3,24.8244,23.1239,12.704395,8.81284,4.6086,3.513832,3.3502,3.414273,2.9913,0.1496,15.05,36.275299,27.658398,6.850347,14.114622
2025Q4,26.1393,24.1589,17.221828,8.171695,6.1422,4.549124,4.3765,1.820422,4.5903,0.2303,19.46,35.665266,26.414871,7.576567,17.803101
2026Q1,27.0686,25.1371,4.321316,17.946061,1.3967,0.978913,0.9733,-1.030247,-0.0139,0.0576,3.97,32.322167,22.653126,7.135508,3.679575
2026Q2,24.6542,22.7073,9.236049,9.901082,2.9858,2.125783,2.1101,-5.4545,0.9855,0.1031,8.63,32.327661,23.016155,7.896709,8.370294
