# GoalTracker 财务数据
公司,深南电路
股票代码,002916.SZ
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,accountsReceivable,inventory,contractLiab,cash,totalAssetTurnover
2022Q1,193.732,114.3687,33.155385,21.683843,8.8829,3.48039,3.2447,58.827477,6.1005,8.8929,3.64,26.791591,10.498261,40.965505,27.4378,27.3396,0.6479,15.2207,1.924895
2022Q2,192.8178,113.5872,69.716168,18.548018,18.4653,7.524707,7.005,45.56331,16.3227,19.0702,7.19,26.486438,10.796737,41.090927,30.0125,26.2641,0.6434,6.6087,4.17312
2022Q3,201.723,117.9243,104.854051,7.483613,27.3731,11.821799,10.9851,18.296106,24.3105,25.6603,10.9,26.105859,11.280966,41.541463,29.4995,25.2305,1.552,15.3075,6.399936
2022Q4,207.3242,122.5513,139.92454,0.358128,35.7071,16.412392,14.9987,17.878668,31.7983,33.7774,14.71,25.518795,11.731211,40.889058,27.7015,23.4089,0.9349,19.1347,8.748819
2023Q1,196.988,124.9698,27.847161,-16.010141,6.4187,2.064189,1.7901,-44.830232,6.8957,7.8021,1.67,23.049757,7.395367,36.559706,24.3203,24.7302,0.8008,8.6442,1.018717
2023Q2,203.5758,122.533,60.337785,-13.452235,13.8362,4.73932,4.2567,-39.232731,12.1984,17.1208,3.84,22.9313,7.849237,39.809649,29.3528,25.5312,1.0826,5.1631,2.305211
2023Q3,214.8889,126.8739,94.614932,-9.765116,21.8687,9.081391,7.3718,-32.892753,15.4993,25.8357,7.3,23.113327,9.597917,40.958373,31.8436,27.4989,3.084,4.3145,4.301649
2023Q4,226.0687,131.8691,135.26426,-3.330567,31.6972,13.981147,9.9795,-33.464019,25.8928,32.4969,11.07,23.433548,10.332556,41.668569,30.9066,26.8635,2.1249,8.5268,6.449693
2024Q1,233.3915,135.6558,39.610139,42.24121,9.978,3.795718,3.3552,87.428335,5.6284,6.5375,2.84,25.190495,9.575125,41.876309,33.6704,27.4796,2.6476,8.5316,1.650946
2024Q2,237.8185,137.125,83.210162,37.90722,21.7994,9.873002,9.0406,112.382979,13.9877,12.704,7.3,26.197992,11.863555,42.340498,37.8903,31.3445,5.67,7.6569,4.25607
2024Q3,247.75,142.5412,130.494977,37.922181,33.8074,14.880551,13.7608,86.668817,16.6402,18.1485,10.88,25.907048,11.402558,42.465713,41.0042,35.0311,2.9651,5.6742,6.280785
2024Q4,253.0225,146.459,179.074453,32.388595,44.4714,18.775655,17.3987,74.343986,29.8222,25.2646,13.58,24.834023,10.491291,42.116204,38.0572,33.95,2.0805,15.5332,7.842859
2025Q1,261.6239,151.379,47.828965,20.749301,11.833,4.914482,4.853,44.642523,6.1276,6.6357,3.31,24.740281,10.287832,42.138684,41.033,36.7093,2.5875,17.0839,1.912212
2025Q2,265.1215,152.4711,104.534547,25.627141,27.4763,13.600178,12.6548,39.977469,14.9553,15.4593,9.04,26.284383,13.02077,42.4901,48.9209,40.5457,2.7774,7.333,5.253831
2025Q3,287.742,162.1501,167.540153,28.3882,47.2539,23.258256,21.8196,58.563507,23.1416,23.494,15.14,28.20454,13.897198,43.647401,54.508,46.8829,2.817,8.3942,8.611286
2025Q4,305.8293,171.8053,236.469771,32.051092,66.9596,32.757382,31.1363,78.957208,38.3834,37.6543,20.79,28.316343,13.864415,43.823148,52.4986,51.397,1.729,9.9845,11.73304
2026Q1,343.5061,181.2253,65.955879,37.899447,19.2387,8.502308,8.4945,75.035537,2.4741,19.8888,4.83,29.169011,12.90699,47.242471,58.4908,65.0133,3.5351,11.4948,2.622041
2026Q2,407.4176,180.6281,152.963614,46.328289,47.4415,22.514588,22.3917,76.94301,15.0186,46.7864,12.43,31.014911,14.738293,55.665116,72.9236,78.173,2.7018,22.0224,6.321577
