# GoalTracker 财务数据
公司,科瑞技术
股票代码,002957.SZ
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,totalAssetTurnover
2022Q1,52.0486,27.577,4.468514,-2.527468,1.8966,0.270138,0.2376,-5.867173,0.8772,0.9335,1.09,42.444592,9.497601,47.016762,0.850132
2022Q2,58.5168,28.2145,12.90101,19.03729,4.5604,1.01117,0.9428,36.271609,0.9907,1.9577,4.01,35.348961,10.903221,51.783841,2.646224
2022Q3,60.3817,29.5586,21.77225,26.847192,7.9657,2.095309,1.9885,59.422509,1.6599,2.6052,8.14,36.586433,12.340837,51.047072,4.967565
2022Q4,61.7741,30.7507,32.462441,50.204029,11.6563,3.130524,2.8622,6364.850269,1.0936,3.5269,11.96,35.907031,11.822044,50.22067,7.005113
2023Q1,63.6681,31.0451,5.330773,19.296333,1.839,0.296617,0.3016,26.929841,3.014,0.6965,1.06,34.497065,7.641512,51.239092,0.649465
2023Q2,62.2422,30.5301,12.26902,-4.898763,4.319,0.92469,0.8289,-12.085694,2.5543,1.2048,3.26,35.202177,10.209373,50.949575,2.020041
2023Q3,61.3057,31.4447,19.783277,-9.13536,6.7179,1.731115,1.1888,-40.212547,2.5219,1.3872,6.01,33.957576,10.953875,48.70832,3.521352
2023Q4,59.0335,31.5237,28.573589,-11.979542,9.2497,1.735892,1.0982,-61.63104,3.1156,1.8856,6.15,32.371492,7.896372,46.600375,3.735325
2024Q1,58.5786,31.9788,5.443228,2.109538,1.9977,0.335746,0.3485,15.56768,0.5253,0.3352,1.16,36.699945,7.796265,45.4088,0.721641
2024Q2,56.6164,31.2112,10.407554,-15.172085,3.992,0.895573,0.8438,1.801213,0.4028,0.4302,3.07,38.356635,11.267918,44.872551,2.028043
2024Q3,54.9157,31.9333,17.57398,-11.167496,6.8357,1.648163,1.4878,25.146813,1.5622,0.498,5.67,38.896826,11.450663,41.850308,3.531992
2024Q4,54.7366,31.763,24.477013,-14.336933,8.8653,1.393757,1.2417,13.070687,2.8863,1.7543,4.84,36.218687,7.470329,41.97123,3.2144
2025Q1,57.8625,32.9098,5.357882,-1.567928,1.7756,0.442543,0.4503,29.200899,2.8995,0.0569,1.49,33.139513,9.116108,43.1242,0.867556
2025Q2,58.191,33.1442,11.064257,6.309872,3.8864,1.229427,1.191,41.146099,3.7115,0.2027,4.04,35.125689,12.814986,43.042482,2.511135
2025Q3,63.7352,34.5831,17.611908,0.215819,6.142,2.468746,1.5652,5.201686,4.5651,0.5475,7.9,34.874189,15.54403,45.739319,4.621522
2025Q4,63.4789,34.9729,26.32474,7.548826,8.8049,2.730842,1.7172,38.289824,4.8202,1.1729,8.87,33.447268,11.675812,44.906302,5.200041
2026Q1,65.7654,35.7987,6.18414,15.421347,2.2449,0.69421,0.5291,17.502614,1.5681,0.5945,2.12,36.301243,12.273596,45.566061,1.174546
2026Q2,72.3385,35.5665,14.683854,32.714321,4.7402,1.61227,1.207,1.345427,1.0233,1.2865,4.88,32.282025,12.026225,50.833201,2.600424
