# GoalTracker 财务数据
公司,博杰股份
股票代码,002975.SZ
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,accountsReceivable,inventory,contractLiab,cash,totalAssetTurnover
2022Q1,24.0433,16.6184,2.62538,-19.5723,1.1858,0.460319,0.3365,-55.566678,-0.2924,0.1729,2.84,45.168332,17.748382,30.881339,3.996,2.6236,0.0796,6.9787,1.921629
2022Q2,25.0795,16.2956,5.253373,-3.757574,2.4133,0.825812,0.6898,-25.670469,0.4407,0.6155,5.09,45.9375,15.560339,35.024388,4.2103,3.202,0.5236,8.3755,3.300611
2022Q3,25.4973,16.9051,8.672032,-4.838897,4.1978,1.622424,1.4822,-29.72687,0.2467,0.8717,9.89,48.406128,18.427382,33.698738,4.7197,3.5381,0.3798,7.1093,6.39843
2022Q4,26.0097,17.4562,12.167992,0.227593,5.9273,2.02121,1.8202,-14.797651,0.7419,1.298,12.29,48.712103,16.434563,32.885847,5.2111,2.9931,0.3622,4.1113,7.925636
2023Q1,25.0839,17.3136,1.943574,-25.96981,0.9224,-0.105526,-0.1206,-135.855886,0.1512,0.5404,-0.62,47.460443,-7.239017,30.977364,4.3783,2.9715,0.5205,3.0936,-0.550737
2023Q2,26.6538,17.4738,4.521218,-13.936867,2.1192,0.086361,0.045,-93.480551,-0.0082,0.742,0.51,46.873006,-0.221566,34.441503,4.6836,2.9525,0.4547,3.5269,-0.038043
2023Q3,26.7818,17.2851,6.693241,-22.818073,3.1587,-0.054213,-0.1463,-109.871915,0.3657,1.0759,-0.32,47.193091,-2.423134,35.459692,4,3.1906,0.4688,3.8442,-0.61444
2023Q4,27.2905,16.8998,9.053568,-25.595219,4.1663,-0.572299,-0.5287,-129.045642,1.1771,1.3317,-3.41,46.017774,-9.131035,38.074499,3.4135,3.2467,0.3655,7.9771,-3.101995
2024Q1,28.3072,17.1378,2.75035,41.509926,1.2539,0.106301,0.0565,146.829741,-1.002,0.4455,0.65,45.591953,2.570831,39.457963,4.607,3.4083,0.4474,9.3122,0.254352
2024Q2,26.4261,17.291,5.722511,26.570139,2.5386,0.181016,0.091,102.246368,-2.1267,1.0397,1.09,44.361784,2.582536,34.568437,5.6497,3.6597,0.5544,3.6765,0.550243
2024Q3,27.3529,17.0984,8.234619,23.028877,3.5607,0.015411,-0.1027,29.827781,-2.0965,1.1523,0.09,43.240177,-0.377938,37.489758,5.495,3.942,0.7074,4.4949,-0.113909
2024Q4,27.8935,18.4344,12.327888,36.166078,5.2444,0.222542,0.0894,116.916313,-2.0431,1.5075,1.32,42.541182,1.530835,33.911752,6.4806,3.3586,0.4584,3.5438,0.683964
2025Q1,33.0381,22.6429,2.057921,-25.176018,0.9087,-0.206512,-0.227,-501.752337,0.4433,0.2622,-1.15,44.158493,-15.476876,31.464145,6.3468,5.3108,1.8353,4.5015,-1.04544
2025Q2,33.6549,23.95,6.722977,17.482991,2.9643,0.201921,0.1428,57.007988,0.6871,0.8087,1.01,44.092489,3.857835,28.836495,6.5425,5.5315,1.475,4.2863,0.842788
2025Q3,33.5214,24.6536,11.167068,35.611224,4.9579,1.057281,0.5958,680.257863,0.8931,0.9906,5.06,44.397271,10.325744,26.454091,6.3458,6.6629,1.5421,4.2183,3.755059
2025Q4,34.9061,24.8584,18.358828,48.921114,8.1023,1.463237,0.9906,1007.577098,0.8481,0.9586,6.82,44.133147,9.382882,28.785108,7.8544,6.5104,1.1816,4.444,5.485975
2026Q1,34.7566,25.2457,4.675826,127.211133,2.3309,0.659028,0.6437,383.57541,0.3836,0.6969,2.84,49.850103,13.835574,27.364473,7.1376,7.1612,1.5258,4.4037,1.857311
2026Q2,37.4006,26.4956,11.216628,66.840181,5.5349,1.710141,1.6773,1074.509113,0.9901,0.8989,7.19,49.345917,15.852223,29.157222,7.6514,8.1817,1.2842,5.425,4.91817
