# GoalTracker 财务数据
公司,联泓新科
股票代码,003022.SZ
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,accountsReceivable,inventory,contractLiab,cash,totalAssetTurnover
2022Q1,118.4838,67.2712,15.556817,-13.725735,2.5876,1.074317,0.433,-83.214394,1.9579,1.9981,1.68,16.633103,6.973764,43.223301,1.3629,6.4732,1.8381,19.14,0.906344
2022Q2,126.0809,68.7976,39.379511,2.927499,9.1182,4.567849,3.6871,-24.739019,5.9347,4.7204,7.05,23.15456,11.677952,45.433766,1.6014,6.3815,1.8395,21.3802,3.723699
2022Q3,130.8095,72.3346,64.168796,13.253452,14.7278,7.777902,6.5,-6.544777,11.3914,9.095,11.83,22.951711,12.203586,44.702345,1.6686,6.1201,1.0021,25.3702,6.221759
2022Q4,140.5427,73.7334,81.569907,7.601186,16.4948,8.662484,7.0673,-19.768927,13.1554,17.8236,13.14,20.221684,10.713452,47.536621,1.7389,6.6169,0.5962,24.1338,6.684754
2023Q1,148.139,75.2877,15.760095,1.306682,2.546,1.471596,0.2933,-32.275728,0.9851,4.0371,2.1,16.154928,9.511532,49.177624,1.5144,7.8009,0.6255,27.7602,1.038532
2023Q2,149.2615,74.589,32.07259,-18.555134,5.2563,3.259998,0.6941,-81.173782,4.8171,11.7616,4.65,16.388657,10.319648,50.027996,1.804,7.2298,1.0386,23.2975,2.284148
2023Q3,161.6555,77.2369,49.359549,-23.07858,8.6349,4.043711,1.2562,-80.674566,3.5654,21.3412,5.78,17.493915,8.354124,52.221284,2.0691,7.0683,0.9421,26.0161,2.729042
2023Q4,170.2435,78.2971,67.775854,-16.910712,10.9523,4.461233,1.8091,-74.402423,8.7542,31.1522,6.39,16.15961,6.731505,54.008773,1.9607,6.5156,0.4582,25.0027,2.935997
2024Q1,184.5183,78.6563,14.871397,-5.63891,2.4224,0.514363,0.0566,-80.698614,0.2666,5.3276,0.72,16.289233,3.520383,57.37206,1.8126,6.6401,0.6777,36.0488,0.295145
2024Q2,184.4207,77.4028,33.132864,3.305857,5.5956,1.40756,1.1157,60.733249,2.4876,16.189,1.97,16.888411,4.180374,58.02926,0.7477,6.2526,0.429,29.135,0.781064
2024Q3,187.0285,77.7347,49.667194,0.623273,7.6164,1.783351,1.4986,19.301846,4.1554,23.2389,2.49,15.334942,3.512724,58.436999,1.0265,6.7956,1.0613,24.0257,0.976663
2024Q4,195.2477,78.6095,62.679136,-7.519962,10.3426,2.344425,1.8452,1.996193,5.9369,33.561,3.27,16.500846,4.239839,59.73856,1.2729,6.5565,0.8477,22.8266,1.454204
2025Q1,213.5058,79.3282,15.388922,3.480002,2.8886,0.714072,0.7023,1140.669405,0.3128,7.7715,0.98,18.770561,4.829356,62.844926,1.299,6.9845,0.5878,33.5858,0.363635
2025Q2,221.0011,79.4316,29.11279,-12.133193,5.7181,1.606678,1.5978,43.207824,2.5993,18.2571,2.2,19.641164,5.662408,64.058266,1.4082,7.3527,1.4051,29.9026,0.792067
2025Q3,227.7854,80.0994,45.681893,-8.02401,8.8964,2.324066,2.325,55.143407,2.6134,28.8532,3.16,19.474609,5.239249,64.83556,1.5776,6.8489,1.1369,26.3971,1.131537
2025Q4,245.7139,81.1535,63.375315,1.110703,11.8622,3.057108,3.0343,64.445042,5.8703,42.6603,4.17,18.71738,5.009367,66.972379,2.577,9.731,1.0458,16.0345,1.4399
2026Q1,261.6818,83.1377,22.457313,45.931682,5.2333,1.447211,1.4686,109.124186,2.2173,10.2286,1.93,23.303429,8.186617,68.229474,3.1581,12.308,2.2648,24.0577,0.724679
2026Q2,269.2334,85.9731,53.656947,84.307129,12.8061,4.268655,4.2493,165.949169,6.3611,12.5668,5.59,23.866669,9.420686,68.067436,3.2739,11.3138,0.9989,25.8973,1.96325
