# GoalTracker 财务数据
公司,佐力药业
股票代码,300181.SZ
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,totalAssetTurnover
2022Q1,25.4643,18.4257,4.394168,29.180579,3.1641,0.687467,0.6742,55.768355,0.8573,0.8447,3.66,72.007925,16.557263,27.641047,2.7481
2022Q2,25.2668,17.7499,8.949481,28.276257,6.3473,1.348872,1.3054,58.789624,1.3222,0.9923,7.14,70.924209,15.915297,29.749979,5.400112
2022Q3,25.2823,17.2008,13.444026,24.658589,9.5916,2.0396,1.9767,56.070877,1.939,1.1616,10.45,71.344889,15.962254,31.965094,8.133655
2022Q4,36.4299,27.5993,18.051554,23.861688,12.7389,2.730067,2.6471,52.940387,3.1859,1.7803,14.32,70.569621,15.816989,24.240149,8.93437
2023Q1,35.9682,28.1118,4.956978,12.808129,3.464,0.974546,0.9575,42.012767,0.1201,0.601,3.54,69.882236,20.063303,21.842659,2.747401
2023Q2,35.487,26.4976,10.114586,13.018685,7.0108,1.976616,1.9373,48.405306,1.2319,0.9397,7.14,69.314206,19.948933,25.33156,5.611341
2023Q3,35.4347,27.1329,14.649471,8.966401,10.0563,2.868652,2.8084,42.076472,2.2395,1.2518,10.42,68.646504,19.972304,23.428506,8.142635
2023Q4,36.2704,27.7395,19.424404,7.605167,13.291,3.829361,3.7361,41.137479,2.8846,1.3171,13.81,68.424173,20.117112,23.520352,10.749966
2024Q1,38.6465,29.0923,6.728991,35.74784,4.4867,1.424153,1.4363,50.006837,0.1707,0.7649,5.09,66.677386,21.415766,24.721997,3.847104
2024Q2,38.9408,27.1899,14.282547,41.207434,8.9439,2.960541,2.921,50.775737,2.1535,0.9774,10.48,62.621453,20.994039,30.176222,7.973506
2024Q3,38.7244,26.4126,20.448793,39.587245,12.5977,4.214801,4.1507,47.797171,2.1413,1.5573,15.13,61.606192,20.900122,31.793499,11.397654
2024Q4,39.9196,28.1944,25.778782,32.71337,15.7128,5.077719,5.0768,35.886058,2.9705,2.6289,18.55,60.952342,20.014836,29.371946,13.543994
2025Q1,45.6927,31.813,8.244252,22.518405,5.0205,1.811514,1.812,26.157388,-0.7744,1.2998,6.34,60.896835,22.244125,30.376264,4.28411
2025Q2,45.994,31.0686,15.994534,11.986571,10.0782,3.735002,3.7169,27.244587,2.8958,1.4992,12.85,63.010297,23.707667,32.450638,8.827321
2025Q3,46.4331,31.827,22.797134,11.484004,14.1408,5.099745,5.0852,22.514474,2.66,2.1347,18.05,62.028792,22.727053,31.45619,11.999907
2025Q4,47.1167,32.4133,30.407635,17.956059,18.7312,6.319337,6.1736,21.603429,4.118,2.8714,21.36,61.600372,21.127478,31.206352,14.762505
2026Q1,53.307,34.9336,8.977973,8.899783,5.7311,1.995927,1.987,9.654378,0.8001,0.5633,6.09,63.834574,22.500805,34.467152,4.023184
2026Q2,51.9819,33.8457,17.641384,10.29633,11.0479,3.749289,3.7364,0.526428,2.3014,0.7495,11.25,62.624668,21.498471,34.889418,7.654252
