# GoalTracker 财务数据
公司,麦捷科技
股票代码,300319.SZ
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,accountsReceivable,inventory,contractLiab,cash,totalAssetTurnover
2022Q1,56.0881,39.0114,7.990877,19.165757,1.3182,0.437889,0.3412,-33.633188,1.6637,1.0918,1.16,16.496781,6.001663,30.446174,9.3851,5.4784,0.0707,8.239,0.848903
2022Q2,56.3725,39.1477,15.916954,-3.449051,2.7674,0.898414,0.7679,-32.906602,2.5103,1.7175,2.37,17.386286,6.277012,30.555246,9.6782,5.2685,0.1007,4.8501,1.76406
2022Q3,56.425,40.1217,24.051092,-2.775433,4.3559,1.642395,1.3419,-31.683129,4.0587,2.2588,4.31,18.11115,7.469975,28.893751,9.2973,4.8749,0.0967,6.0792,3.170684
2022Q4,56.3498,40.7913,31.516314,-5.024344,5.6972,1.998849,1.5764,-40.191872,6.9488,2.5728,5.37,18.077004,6.955432,27.610567,8.7839,4.662,0.0485,6.0438,3.871211
2023Q1,56.6132,41.869,6.719241,-15.9136,1.1906,0.468335,0.3472,1.756598,0.2823,0.3894,1.17,17.719843,7.670837,26.043718,7.9397,4.4043,0.1993,3.7745,0.91255
2023Q2,56.8359,41.3921,14.089836,-11.479068,2.6793,1.013805,0.818,6.522657,3.1775,0.6891,2.52,19.015843,7.614929,27.172582,8.7972,4.5543,0.3313,5.2333,1.895877
2023Q3,58.1397,42.3082,22.475541,-6.55085,4.5388,1.840483,1.555,15.874703,3.0133,1.1768,4.56,20.194197,8.563443,27.230079,9.8677,4.2935,0.0911,4.5543,3.362196
2023Q4,59.7679,42.9997,30.167223,-4.28061,5.8539,2.699888,2.3029,46.086391,4.3973,1.5053,6.6,19.404974,9.31231,28.055559,9.1653,4.0874,0.0371,5.045,4.83865
2024Q1,61.5532,43.6677,6.763016,0.651493,1.2705,0.620453,0.5363,54.455249,0.1513,0.6183,1.47,18.786384,9.40917,29.057104,9.1515,4.2391,0.0892,5.2032,1.049023
2024Q2,61.6497,43.7154,14.527732,3.107886,2.897,1.445189,1.2815,56.660768,1.1546,1.3242,3.41,19.941146,10.097941,29.09074,9.7622,4.4083,0.0492,3.8723,2.416456
2024Q3,65.4908,44.7312,23.848755,6.109817,4.9664,2.413676,2.1653,39.250175,2.1535,2.4665,5.66,20.824493,10.286861,31.698414,11.6755,4.7059,0.053,3.9203,3.917155
2024Q4,67.9433,46.0075,31.499844,4.417446,6.4689,3.334009,2.9192,26.765204,4.35,3.6863,7.75,20.536233,10.818133,32.285428,10.6078,4.7325,0.0689,3.2725,5.336562
2025Q1,70.2538,46.985,7.807024,15.437013,1.2876,0.623476,0.4135,-22.891,1.5,0.8769,1.36,16.493134,8.113033,33.121087,10.7657,6.0789,0.0999,4.2141,0.916642
2025Q2,70.2489,46.7318,17.957342,23.607332,2.8344,1.492904,0.9496,-25.898471,0.3969,1.894,3.19,15.783924,8.405327,33.476728,14.2331,6.0591,0.0825,3.1416,2.184455
2025Q3,72.9743,47.6866,29.025722,21.70749,4.8156,2.450677,1.8041,-16.679922,3.1464,4.0487,5.29,16.590746,8.504141,34.652852,14.6648,6.3426,0.0901,3.2709,3.503307
2025Q4,74.5761,49.3486,37.938926,20.441629,6.2641,3.163294,2.3324,-20.103421,6.031,5.1391,6.76,16.511015,8.362792,33.827895,12.4408,6.139,0.0912,5.435,4.452379
2026Q1,73.4279,49.8101,8.642829,10.705809,1.3306,0.471466,0.3906,-5.533119,1.4521,1.3283,0.96,15.395682,5.513007,32.164624,11.9914,6.0623,0.0878,2.9352,0.643874
2026Q2,75.7909,49.928,19.84879,10.53301,3.3864,1.509618,1.2913,35.987385,2.4067,2.2902,3.05,17.061063,7.65009,34.124037,14.9409,6.7168,0.0844,2.9265,2.019659
