# GoalTracker 财务数据
公司,南大光电
股票代码,300346.SZ
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,totalAssetTurnover
2022Q1,42.9749,24.795,4.110425,94.667565,1.976,0.806696,0.6519,102.291598,-0.1166,1.2468,4.12,48.072545,25.976447,42.3035,2.526586
2022Q2,46.503,25.4818,8.471041,91.311386,4.0493,1.444016,1.1605,76.167993,0.9581,3.2741,7.27,47.802111,22.676258,45.20394,4.363301
2022Q3,45.7381,26.4035,12.59133,77.636327,5.9177,2.111929,1.7032,80.564588,2.5603,4.2991,10.49,46.998593,22.106926,42.272561,6.378173
2022Q4,53.1508,26.3485,15.812307,60.621318,7.1701,1.867106,1.256,78.3628,2.2924,5.335,9.3,45.344916,16.109347,50.426946,5.379842
2023Q1,52.7136,27.3539,3.982316,-3.116672,1.5665,0.749704,0.5379,-17.488735,0.0845,0.6521,3.48,39.336186,23.769395,48.108484,1.788274
2023Q2,53.5452,27.8811,8.262405,-2.462931,3.5313,1.522375,1.1245,-3.097935,1.0771,1.1372,6.98,42.739655,23.190264,47.929894,3.59165
2023Q3,55.3307,25.8671,12.80546,1.700619,5.5322,2.153706,1.6132,-5.281724,2.6243,1.3952,9.75,43.201924,21.017563,53.25,4.961945
2023Q4,57.3667,27.1445,17.032577,7.717219,7.3512,2.114607,1.2589,0.225448,5.286,1.6997,9.59,43.15991,16.089055,52.682521,4.959181
2024Q1,57.2247,28.3555,5.092601,27.880358,2.3512,0.821105,0.6153,14.396645,-0.2145,0.664,3.63,46.16948,20.476943,50.448851,1.820048
2024Q2,63.5183,29.5788,11.22495,35.855717,5.1164,1.786905,1.369,21.737461,3.4746,1.0653,7.75,45.580531,21.181607,53.432635,3.933697
2024Q3,65.3894,30.5953,17.638184,37.739555,7.5207,2.656083,1.9346,19.92083,5.8437,1.5988,11.3,42.638607,20.504868,53.210691,5.892475
2024Q4,64.8999,39.9711,23.518869,38.081682,9.6815,2.709773,1.9284,53.185409,6.2739,2.0189,13.42,41.164607,15.813705,38.411145,6.083762
2025Q1,64.6384,39.0934,6.273608,23.190665,2.563,0.955612,0.7556,22.800187,1.6495,0.4779,2.8,40.854463,20.642018,39.51979,1.999408
2025Q2,62.7774,39.3835,12.288726,9.476894,4.7623,2.078141,1.6207,18.391642,4.0028,0.7299,5.95,38.753813,20.947587,37.264752,4.032341
2025Q3,62.7419,39.3385,18.842808,6.829637,7.4737,3.007862,2.2854,18.133264,6.256,1.0891,8.47,39.663259,19.926159,37.301179,5.883098
2025Q4,61.5726,39.8192,25.854626,9.931418,10.2437,3.197554,2.5356,31.485881,7.3252,1.7004,9.19,39.620544,15.612626,35.329722,6.383343
2026Q1,61.2666,40.5157,6.615799,5.454442,2.7695,1.242018,1.0473,38.606648,1.0022,0.2894,3.5,41.861219,22.969632,33.869746,2.47417
2026Q2,61.8457,39.907,13.684054,11.354534,5.5483,2.558166,2.21,36.355768,2.9913,0.9455,7.15,40.546021,22.213528,35.473336,4.92587
