# GoalTracker 财务数据
公司,飞凯材料
股票代码,300398.SZ
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,accountsReceivable,inventory,contractLiab,cash,totalAssetTurnover
2022Q1,61.4447,35.3646,8.623614,53.194662,3.5552,1.355522,1.4471,134.405286,-0.2893,1.033,4.05,41.226289,15.860702,42.44474,9.6084,6.8413,0.0634,9.7834,2.278883
2022Q2,63.688,35.8471,16.356587,36.015871,6.5351,2.514307,2.7084,80.30262,1.9741,1.7586,7.46,39.953634,15.731625,43.714455,8.9713,7.5729,0.0616,12.6405,4.208578
2022Q3,63.3516,36.7941,22.255453,18.024959,8.6712,3.209648,3.4389,48.870953,3.1209,2.1719,9.4,38.961957,14.750823,41.920756,7.3813,7.5614,0.0534,12.0036,5.384163
2022Q4,63.0706,38.1885,28.88247,10.058883,11.2396,4.346413,4.3586,36.147465,4.0086,1.9855,12.65,38.915049,15.359038,39.451161,7.8122,7.4078,0.0573,12.9121,7.29232
2023Q1,62.3216,38.7523,5.941579,-31.101054,2.2656,0.722126,0.6654,-54.016701,-1.2477,0.3979,1.93,38.131069,12.784802,37.818922,8.1943,7.5228,0.0142,10.9204,1.211589
2023Q2,64.4572,39.5998,13.011227,-20.452679,4.4783,1.741714,1.2685,-53.163793,0.0541,0.9591,4.6,34.418781,14.151653,38.56417,8.7507,6.8068,0.0423,9.225,2.887691
2023Q3,66.2702,40.325,19.990288,-10.178022,7.0177,2.101535,1.7715,-48.48556,1.6057,2.5435,5.52,35.105666,11.666935,39.150668,8.7393,6.8457,0.0431,10.357,3.606371
2023Q4,64.8552,39.4968,27.286835,-5.52458,9.4029,1.123533,0.5002,-88.522756,2.903,2.7124,2.99,34.459375,4.977157,39.100093,9.503,6.4656,0.0315,10.727,2.123275
2024Q1,65.0198,40.1477,6.684753,12.508021,2.3738,0.598413,0.6625,-0.446359,0.9155,0.3045,1.55,35.510838,9.950066,38.253165,9.7431,6.5319,0.03,10.7542,1.024273
2024Q2,64.3201,40.7777,14.088043,8.276054,5.1029,1.201542,1.2564,-0.954287,2.6429,0.8216,3.09,36.221706,9.636771,36.601921,9.6684,6.682,0.0364,8.3743,2.101999
2024Q3,64.0212,41.0386,21.708456,8.595012,7.7633,2.058052,2.0491,15.669199,4.442,1.2517,5.26,35.761683,10.451979,35.8984,9.6072,6.4809,0.0279,8.0611,3.521147
2024Q4,65.8354,41.5344,29.175392,6.921132,10.2287,2.465268,2.3995,379.654861,6.51,2.3712,6.28,35.059307,9.335575,36.911847,9.1502,6.643,0.0289,9.1878,4.168149
2025Q1,65.926,42.7501,7.006301,4.810172,2.4602,1.197394,0.7752,17.012576,0.1406,0.4344,2.93,35.113518,17.702938,35.154502,9.0839,6.5745,0.0288,11.09,1.882677
2025Q2,69.9214,50.797,14.623487,3.800701,5.279,2.168206,1.7649,40.473582,2.3695,2.9923,4.82,36.099213,15.406961,27.351316,9.6828,6.9074,0.0213,11.7144,3.319221
2025Q3,70.735,51.3432,23.41884,7.878888,8.4676,2.90885,2.6452,29.088873,3.9188,3.5704,6.43,36.157236,13.206085,27.414834,10.3512,6.8361,0.0371,10.7876,4.529108
2025Q4,70.0717,50.4722,32.256527,10.560729,11.7447,3.903965,3.6747,53.146147,6.6918,4.939,8.64,36.410271,12.631581,27.970629,10.2554,6.825,0.0451,9.0057,5.99602
2026Q1,71.4636,51.8826,8.727261,24.563033,3.4595,1.312017,1.3515,74.342121,2.3061,0.8513,2.64,39.640316,15.988582,27.399968,10.471,6.9957,0.0684,12.6831,1.971756
2026Q2,71.7158,53.8416,17.224344,17.785474,7.0163,2.671331,2.5978,47.190668,4.7819,1.2075,5.27,40.735073,16.342553,24.923715,10.3042,7.3012,0.09,10.4647,3.970586
