# GoalTracker 财务数据
公司,润泽科技
股票代码,300442.SZ
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,accountsReceivable,inventory,contractLiab,cash,totalAssetTurnover
2022Q1,13.5685,4.5767,6.146749,312.399707,3.2993,2.159113,2.1249,5538.203919,3.3565,14.655,8.1,53.675107,35.093991,66.270085,2.0313,5.8982,3.0279,0.2951,3.558204
2022Q2,12.6608,4.4994,12.719345,227.055504,6.7977,4.750194,4.7156,8774.79607,9.9445,23.484,16.99,53.443533,37.315273,64.462006,1.6032,5.0303,2.905,0.3042,7.888011
2022Q3,147.9677,34.0675,19.894485,33.688524,10.6069,8.206055,7.6118,11779.782801,13.2033,35.2106,27.65,53.31587,41.20623,76.976419,3.8554,0.011,,18.4098,6.413325
2022Q4,160.0845,29.6357,27.147407,32.608314,14.4185,11.982544,11.3793,59.966851,17.8815,48.3323,38.8,53.111952,44.093404,81.487461,3.751,0.0153,,13.9578,8.940845
2023Q1,209.4343,77.7921,8.084993,31.532819,4.3601,3.297563,3.2344,52.21251,2.5768,13.8596,10.64,53.928572,40.818296,62.8561,6.5912,0.013,,40.4168,1.786191
2023Q2,242.4037,81.5121,16.827337,32.297199,8.6877,7.02207,6.992,48.272193,9.3973,23.5234,10,51.628763,41.719195,66.373388,6.5907,0.0379,,59.9818,3.488415
2023Q3,224.2888,78.9839,26.809146,34.756672,13.4349,11.20176,11.1807,46.886494,18.2547,31.9346,14.97,50.112973,41.732585,64.784724,5.8408,0.03,,30.0764,5.821502
2023Q4,233.1085,85.4566,43.507883,60.265338,21.1328,17.618205,17.0891,50.176816,12.4393,47.9378,22.54,48.572247,40.399898,63.340412,10.6415,7.6965,0.1788,18.0967,8.940719
2024Q1,262.5384,90.3199,9.868223,22.056051,5.8805,4.742345,4.7054,45.479946,-15.7368,10.951,5.41,59.590401,48.157272,65.597461,13.7023,24.0894,,23.181,1.917602
2024Q2,276.9536,98.5231,21.648102,28.648417,12.3604,9.665289,9.5002,35.873181,1.4122,33.8227,10.76,57.096841,44.933767,64.426143,13.3546,16.7822,,23.533,3.814166
2024Q3,286.4904,97.3489,34.570037,28.948667,19.6995,15.137435,14.9432,33.650761,11.5143,42.1303,16.59,56.984287,44.014327,66.02021,15.204,14.5919,,29.5971,5.856736
2024Q4,313.0889,115.5011,43.648295,0.322726,21.357,17.903362,17.7848,4.070803,20.9443,48.8833,19.5,48.929668,41.667135,63.109174,10.9808,17.7011,5.2072,48.2576,6.659495
2025Q1,348.6743,127.0646,11.98007,21.40048,5.9571,4.301713,4.2832,-8.973088,8.6881,31.8123,4.23,49.725022,35.58845,63.557797,11.5879,17.5508,4.5007,55.8928,1.288534
2025Q2,366.7703,131.776,24.962231,15.309096,12.3303,8.821221,8.7829,-7.550624,22.6178,54.9689,8.47,49.395757,35.272867,64.071253,15.2196,2.929,1.1886,54.8732,2.590211
2025Q3,420.3669,157.498,39.771762,15.046917,19.1358,47.037676,13.5287,-9.465239,27.6399,79.9397,38.72,48.113943,118.182883,62.533211,19.802,3.3935,1.1336,53.6678,12.816974
2025Q4,426.9374,158.6353,56.736797,29.986285,26.1244,50.499387,19.0062,6.867562,32.9191,121.4987,41.8,46.044841,88.989645,62.843419,17.3096,0.4359,0.0452,33.5296,13.645428
2026Q1,470.9551,164.9725,18.395779,53.55318,8.609,5.822298,5.8215,35.915797,13.1585,29.1977,4.17,46.798814,31.840117,64.97065,17.6283,0.3872,0.0689,59.6832,1.304663
2026Q2,478.5478,167.904,37.45694,50.054459,17.4477,12.034467,12.0624,37.339458,29.5803,46.7022,8.47,46.580711,32.690005,64.91386,19.2213,0.4108,0.1038,52.8945,2.704556
