# GoalTracker 财务数据
公司,香农芯创
股票代码,300475.SZ
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,accountsReceivable,inventory,contractLiab,cash,totalAssetTurnover
2022Q1,42.2785,16.2881,37.631718,5104.089036,1.3515,0.549175,0.6224,1457.285741,0.1083,0.0117,3.47,3.591333,1.453119,61.474325,6.2543,10.7364,0.0883,6.0508,1.274281
2022Q2,47.2543,17.9482,86.452019,5817.817867,2.9537,1.64873,1.4922,1269.065082,-2.0953,0.0163,9.9,3.416628,1.906625,62.017854,6.7636,12.3804,1.2884,8.1585,3.630568
2022Q3,59.2361,18.0592,107.67763,132.203006,3.6174,1.553911,1.5701,79.638298,-6.5325,0.0261,9.62,3.359487,1.444373,69.513131,7.3519,30.9002,7.6505,2.7025,3.026287
2022Q4,42.6477,19.4087,137.723039,49.606373,6.0918,3.139692,2.5602,57.422485,-6.8057,0.0453,18.03,4.423225,2.281127,54.49074,2.7203,12.4831,2.7967,1.4416,7.289565
2023Q1,47.3409,23.8461,15.679167,-58.335234,0.9604,0.854174,0.1857,-70.172557,-1.6112,0.0009,4.12,6.125128,5.530585,49.629041,4.578,19.841,3.1404,3.227,1.927242
2023Q2,57.6935,25.5488,43.325019,-49.885475,1.9662,1.765425,0.706,-52.69056,-3.5462,0.006,7.75,4.538158,4.082721,55.716313,6.0153,27.6487,0.6615,4.4866,3.525649
2023Q3,54.0885,25.256,76.345103,-29.098455,3.52,2.167757,1.3437,-14.417443,-0.8908,0.0089,9.34,4.610677,2.825674,53.30622,6.4722,19.1737,3.7247,3.1245,4.460096
2023Q4,45.4546,26.7075,112.676907,-18.18587,6.5408,3.776639,3.0453,18.94806,7.1165,0.0829,0.16,5.804952,3.331408,41.243434,6.2119,14.3597,0.788,4.5344,8.521295
2024Q1,53.6911,26.8409,23.026675,46.861596,1.2188,0.140982,0.5448,193.452375,-5.6649,0.0159,0.53,5.293184,0.458855,50.008605,9.5069,16.8283,0.0167,3.6601,0.213139
2024Q2,64.6148,27.8699,78.062047,80.177757,4.6323,1.563407,2.1898,210.189877,-10.5369,0.0311,5.77,5.934072,1.901714,56.867601,20.1295,16.4493,0.0124,5.0759,2.69742
2024Q3,97.2755,30.3786,165.101745,116.257152,8.5744,3.643077,4.2068,213.075102,-4.1859,0.0788,12.88,5.193389,2.130409,68.770546,41.7169,16.7889,0.0912,9.8858,4.928664
2024Q4,75.8493,30.0242,242.711105,115.40448,10.4251,2.64072,3.0462,0.030067,-0.4765,0.2026,9.65,4.295261,1.062729,60.41601,10.7402,28.5775,0.0507,8.9761,4.252728
2025Q1,87.1028,30.2971,79.058056,243.332483,1.5687,0.167285,0.1486,-72.728313,-0.4835,0.019,0.57,1.984266,0.174075,65.216821,37.265,10.2024,0.0494,10.0408,0.168909
2025Q2,89.783,32.5246,171.231708,119.35334,4.5389,1.578323,1.5599,-28.764129,-4.9826,0.0381,5.24,2.65076,0.878257,63.774264,23.0331,19.1493,0.8829,8.8757,1.815896
2025Q3,93.5362,34.3534,263.995396,59.89861,8.2747,3.593378,3.5638,-15.285191,-0.4685,0.0422,11.56,3.134406,1.310088,63.272673,37.617,18.1332,1.1474,12.2374,4.08367
2025Q4,110.8358,38.1451,352.508924,45.23807,14.0116,5.445941,5.1896,70.366256,14.3845,0.1018,16.92,3.974826,1.971962,65.584159,35.2334,25.984,6.9792,23.9181,7.447133
2026Q1,207.9346,51.1506,237.645657,200.596381,21.6774,13.274156,13.0378,8675.258445,26.4293,0.0123,31.53,9.121746,5.652897,75.400641,38.5083,69.7081,2.7877,63.7459,8.428553
2026Q2,314.041,81.468,602.044162,251.59619,69.8849,36.415096,35.3097,2163.513903,57.3132,0.0948,68.13,11.607941,7.339645,74.058149,63.3486,61.3843,16.9949,96.6222,20.80034
