# GoalTracker 财务数据
公司,新易盛
股票代码,300502.SZ
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,totalAssetTurnover
2022Q1,50.0658,40.9115,7.385133,18.289472,2.4457,1.324228,1.369,27.010327,0.1717,0.5358,3.29,33.116576,17.931002,18.284481,2.683119
2022Q2,55.465,43.6308,14.78848,2.612081,4.9894,4.610869,3.5785,18.628948,2.0077,1.1268,11.01,33.738706,31.17879,21.336319,8.85791
2022Q3,56.4834,46.6552,24.145071,19.572028,8.5069,7.624343,6.5252,50.954202,4.0931,2.4079,15.11,35.23225,31.577221,17.400228,14.505184
2022Q4,58.7606,48.2917,33.105738,13.828945,12.1372,9.035811,7.838,31.149658,8.3135,3.6472,20.73,36.661779,27.293791,17.816251,16.825999
2023Q1,58.2094,49.3818,6.002229,-18.725514,2.0434,1.078348,1.0588,-22.654401,2.5489,0.8932,2.21,34.044297,17.965795,15.165346,1.843803
2023Q2,58.8925,50.6241,13.046838,-11.777014,3.8374,2.883649,2.8397,-20.646751,4.8263,2.3089,5.8,29.41254,22.102281,14.039863,4.901951
2023Q3,60.8189,52.0376,20.870476,-13.56217,5.8839,4.295635,4.2403,-35.016507,8.7708,3.3291,8.51,28.192253,20.582353,14.438401,7.184568
2023Q4,64.3998,54.6598,30.976058,-6.432965,9.5995,6.883611,6.7764,-13.544451,12.4598,5.5431,5.25,30.990044,22.22236,15.124341,11.178282
2024Q1,73.5405,57.9732,11.128539,85.406773,4.6745,3.245405,3.2473,206.68651,1.6524,1.5356,6.37,42.004909,29.162906,21.168332,4.705519
2024Q2,83.0274,62.4319,27.276748,109.067877,11.7411,8.651421,8.6473,204.519099,-2.9074,3.8491,8.37,43.044311,31.717201,24.80561,11.736533
2024Q3,98.218,70.8372,51.304358,145.82266,21.7199,16.460729,16.4409,287.728752,2.8457,7.7527,14.36,42.335319,32.084465,27.877632,20.244674
2024Q4,122.6655,83.2813,86.468311,179.145632,38.6664,28.378136,28.2977,317.593036,6.4093,14.7634,21.66,44.717413,32.819117,32.106991,30.340348
2025Q1,148.5033,99.2827,40.522565,264.131946,19.7182,15.725258,15.6877,383.096594,1.9903,1.8949,17.2,48.659734,38.806176,33.144438,11.598133
2025Q2,180.7134,120.9411,104.371703,282.639836,49.4997,39.422943,39.339,354.928759,9.5269,5.4477,38.12,47.42632,37.771677,33.075748,25.989245
2025Q3,213.5633,145.2401,165.047912,221.703493,77.9801,63.270925,63.0136,283.273549,46.3742,9.0324,55.2,47.246975,38.334884,31.992038,37.635634
2025Q4,258.8107,180.6426,248.418548,187.294322,118.758,95.319227,95.0731,235.974112,77.0123,13.197,72.75,47.805629,38.456372,30.202828,50.08583
2026Q1,297.3612,205.0752,83.37902,105.759481,40.9899,27.80223,27.6798,76.44241,6.8407,6.3094,14.52,49.160955,33.272114,31.03498,9.976038
2026Q2,366.4698,244.6634,209.09747,100.339234,101.2863,75.29168,75.1074,90.923515,16.1641,12.6384,34.86,48.439733,36.185587,33.237773,24.201345
