# GoalTracker 财务数据
公司,亿联网络
股票代码,300628.SZ
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,accountsReceivable,inventory,contractLiab,cash,totalAssetTurnover
2022Q1,73.8063,68.1841,10.414474,40.098322,6.4373,4.867741,4.4657,37.721015,2.3113,0.4629,7.4,61.811217,46.740147,7.617481,7.3014,6.8321,0.2678,4.1199,6.720622
2022Q2,73.7277,67.2273,23.37704,41.641889,14.4625,11.367977,10.6147,49.312305,7.399,2.5527,16.78,61.866294,48.628812,8.816791,9.852,6.2235,0.2559,3.4874,15.703658
2022Q3,80.2103,74.0638,35.603396,40.804004,22.1292,17.809746,16.6618,53.278655,16.016,3.8929,25.84,62.154693,50.022603,7.663033,7.723,5.9885,0.288,5.2835,23.54792
2022Q4,86.0449,78.9087,48.105541,30.571097,30.3119,21.7766,20.5557,43.936465,21.2283,6.5789,30.9,63.011256,45.268382,8.293637,8.3403,5.637,0.1108,4.3119,27.723506
2023Q1,87.8131,82.7122,8.886262,-14.673928,5.728,4.22909,3.4804,-22.064305,2.7623,0.6465,5.23,64.459257,47.591326,5.80881,7.4262,5.7439,0.1702,3.7055,4.864993
2023Q2,84.4064,77.051,20.436644,-12.578137,13.3258,10.294944,9.0364,-14.868368,6.6394,1.1561,12.59,65.205287,50.374927,8.714306,9.3373,6.4392,0.1536,3.8757,12.079629
2023Q3,83.4542,76.8675,32.236686,-9.456148,21.2122,16.141751,14.3868,-13.654374,11.9999,1.3925,19.81,65.801471,50.072612,7.89264,9.3084,6.5892,0.0892,3.1166,19.046412
2023Q4,88.8523,81.2573,43.480372,-9.614629,28.5754,20.102245,17.8837,-12.999064,18.019,1.8823,25.64,65.720283,46.23292,8.547835,8.2423,7.2666,0.2465,4.0327,22.9875
2024Q1,92.3509,86.9418,11.636169,30.945602,7.5202,5.686072,5.1971,49.325067,3.3145,0.4893,6.76,64.627802,48.865498,5.857053,8.9567,6.8569,0.2566,5.1267,6.27591
2024Q2,90.8607,83.4966,26.670039,30.501071,17.4034,13.602655,12.5262,38.61941,11.1328,0.6693,15.79,65.254618,51.003508,8.104904,10.4305,6.9682,0.4538,7.1647,15.138199
2024Q3,91.1651,82.9641,41.097442,27.486559,27.0462,20.646339,19.1716,33.258713,19.7069,0.7503,24.1,65.809826,50.237528,8.995777,7.8398,8.6658,0.2781,5.6454,22.938166
2024Q4,97.7451,89.4767,56.213361,29.284454,36.7895,26.478573,24.3489,36.151944,25.0893,1.4012,30.68,65.446164,47.103701,8.459156,9.2166,8.1319,0.386,5.0098,28.380435
2025Q1,101.6893,95.0973,12.051533,3.569595,7.7777,5.620638,5.3097,2.166943,4.4164,0.0423,6.09,64.537228,46.638369,6.482526,7.8987,8.9468,0.3708,8.0176,5.636577
2025Q2,94.5093,86.0044,26.498441,-0.643411,17.2721,12.400417,11.5558,-7.747125,9.542,0.0933,13.33,65.181412,46.79678,8.999063,9.4652,10.5008,0.2364,7.9955,12.900004
2025Q3,97.8333,86.7423,42.983368,4.588913,27.486,19.581153,18.4309,-3.863497,14.5968,0.1788,21.39,63.945615,45.555186,11.336671,12.1716,11.9205,0.2434,8.426,20.023838
2025Q4,106.9543,93.2773,60.331758,7.326366,38.2018,26.006084,24.2536,-0.391481,18.3239,0.5296,28.38,63.319559,43.105132,12.787774,15.4666,14.6291,0.3054,8.8713,25.40904
2026Q1,108.0244,99.8388,14.320343,18.825905,9.3422,6.557961,6.1066,15.007365,2.5327,0.0927,6.79,65.237072,45.794716,7.577562,11.6875,16.959,0.339,9.9381,6.101031
2026Q2,102.0103,92.0852,33.492917,26.395803,21.7306,15.242494,14.449,25.036536,8.2872,0.1841,15.11,64.881054,45.509605,9.72952,14.0574,19.0073,0.3753,10.1293,14.588585
