# GoalTracker 财务数据
公司,圣邦股份
股票代码,300661.SZ
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,accountsReceivable,inventory,contractLiab,cash,totalAssetTurnover
2022Q1,33.573,26.9008,7.753367,96.806856,4.7002,2.603473,2.4749,241.784889,2.9047,0.5512,10.22,60.620963,33.223675,19.873705,0.9666,4.0908,0.5729,10.6049,8.041954
2022Q2,38.3549,29.7176,16.514125,80.390676,9.8715,5.40052,5.3097,135.476272,6.85,1.286,19.84,59.776167,32.354637,22.519434,1.8175,4.5837,0.1954,13.9866,15.522109
2022Q3,42.0924,32.5795,24.123414,57.122358,14.4892,7.507655,7.3079,77.619208,9.2578,2.0592,26.49,60.0628,30.736995,22.600091,1.3415,6.3302,0.1845,10.9483,20.431474
2022Q4,43.4793,34.5068,31.875499,42.402926,18.801,8.736735,8.4667,30.673759,9.479,2.5995,29.95,58.982683,26.924642,20.636263,1.1085,7.0192,0.1956,16.5185,23.205242
2023Q1,42.9288,35.1706,5.132881,-33.798032,2.7031,0.302061,0.0621,-97.492781,-1.7052,0.4424,0.87,52.662664,5.442176,18.072353,0.5996,8.3968,0.5596,13.2566,0.646561
2023Q2,44.3471,35.693,11.484339,-30.457477,5.9156,0.896343,0.4889,-90.791878,-0.3964,0.9108,2.57,51.510215,7.473609,19.514412,0.8867,9.221,0.1369,12.8184,1.954526
2023Q3,44.6249,36.6444,18.811739,-22.018752,9.5067,1.42043,0.9355,-87.198716,-0.7146,1.499,3.98,50.536203,7.244019,17.883349,1.7048,9.1082,0.1258,11.6514,3.093443
2023Q4,47.0685,38.4382,26.157164,-17.939594,12.975,2.807683,2.1177,-74.987529,1.7067,2.3325,7.63,49.603845,10.319829,18.335578,1.6647,9.0137,0.1489,13.253,5.962318
2024Q1,47.6739,39.3337,7.290448,42.034211,3.8265,0.543834,0.5045,713.105894,-0.0724,0.4067,1.4,52.485828,7.05745,17.494289,2.0358,9.885,0.1545,13.3916,1.086144
2024Q2,49.9805,41.2102,15.764256,37.267418,8.249,1.786497,1.5813,223.432479,3.1479,0.8408,4.49,52.327439,10.97394,17.547377,1.5504,9.3939,0.175,15.7785,3.565126
2024Q3,53.2156,42.799,24.448351,29.963269,12.754,2.849016,2.4863,165.773019,4.0498,1.5148,7.02,52.167098,11.342286,19.574407,1.9731,10.744,0.1489,8.5143,5.530291
2024Q4,57.7112,45.9926,33.469831,27.956651,17.2251,5.002479,4.5116,113.037984,5.4934,2.4031,11.9,51.464691,14.674745,20.3056,2.3276,11.6482,0.1831,8.1495,9.375119
2025Q1,58.8384,45.601,7.895611,8.300766,3.874,0.597667,0.3396,-32.682221,0.9171,0.7038,1.29,49.065329,7.429206,22.497849,1.4635,11.7009,0.1732,8.9742,1.006578
2025Q2,60.6916,47.4546,18.187803,15.373683,9.1233,2.008391,1.3444,-14.984046,2.3973,1.1493,4.32,50.161626,10.648472,21.810188,2.5864,11.5591,0.1343,10.8145,3.271415
2025Q3,63.6302,49.373,28.006081,14.552023,14.1194,3.432346,2.3109,-7.055494,3.0598,1.701,7.15,50.415519,11.869705,22.406347,2.4268,13.6158,0.1534,15.6911,5.479151
2025Q4,69.5415,53.2711,38.980546,16.464722,19.8572,5.470594,4.2758,-5.225771,4.6632,2.5617,11.24,50.941305,13.708746,23.396737,3.6171,14.4822,0.1839,12.2557,8.398634
2026Q1,71.8702,55.0133,10.98131,39.081197,5.6695,1.236928,1.0015,194.869024,0.4769,0.967,2.31,51.628285,11.179694,23.454624,3.2462,15.9209,0.2643,12.2852,1.736315
2026Q2,117.6947,98.1056,25.954256,42.701439,13.4545,4.203154,3.5567,164.556986,3.8186,1.7863,7.61,51.839394,16.249407,16.64398,4.5016,16.7708,0.2437,46.297,4.504911
