# GoalTracker 财务数据
公司,国科微
股票代码,300672.SZ
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,accountsReceivable,inventory,contractLiab,cash,totalAssetTurnover
2022Q1,40.2012,14.9961,5.086253,23.575603,0.6932,-0.22864,-0.2811,-2944.240959,-4.8544,0.9746,-1.51,13.629673,-4.435784,62.69733,0.9725,14.9235,5.5949,2.0691,-0.60171
2022Q2,49.4428,15.0542,16.672246,75.155379,2.6964,0.21569,0.1365,145.254049,7.4677,1.1231,1.41,16.172909,1.229818,69.552222,1.0992,17.1861,21.6165,4.5205,0.486836
2022Q3,63.7717,16.2674,29.147755,55.360443,5.2449,1.18083,1.042,-35.966848,4.2074,1.4131,7.45,17.994215,4.042944,74.491158,1.4887,18.7332,30.4814,5.3136,2.391243
2022Q4,84.9357,39.9617,36.048994,55.256632,6.7865,1.518788,1.2534,-50.861134,5.4573,2.4785,5.48,18.825651,4.239069,52.950655,2.3465,23.9904,29.9961,3.9365,2.552733
2023Q1,78.971,40.5053,17.230151,238.759199,1.6274,0.450671,0.4099,245.847627,-0.8707,0.6082,1.11,9.444833,2.614087,48.70857,2.5227,17.1811,19.7759,8.9824,0.549595
2023Q2,76.1933,40.4046,25.407064,52.391372,2.5682,0.905433,0.5379,294.092888,-4.214,0.9239,2.24,10.108299,3.562008,46.970931,4.0398,15.7809,15.591,4.0498,1.123326
2023Q3,73.7923,40.3537,31.901362,9.447066,3.36,0.782099,0.3362,-67.731697,-0.6084,1.3888,1.94,10.532609,2.449255,45.314534,4.8211,14.6367,12.786,4.9717,0.984509
2023Q4,73.4027,41.0398,42.312629,17.37534,5.2643,0.960719,0.4098,-67.304059,8.8971,5.5406,2.36,12.441402,2.019248,44.089494,5.5426,10.6282,9.7555,10.0379,1.079204
2024Q1,79.4185,41.2439,3.425711,-80.117929,0.7698,0.412042,0.3103,-24.289105,-1.0216,0.5649,1,22.472524,11.848032,48.067669,6.1369,12.5809,8.8816,11.1375,0.531182
2024Q2,75.4674,40.2947,8.508192,-66.512496,1.5012,0.268373,0.0791,-85.295385,-3.2088,1.4671,0.66,17.644531,2.898574,46.606459,6.688,12.3692,7.3816,12.0788,0.331317
2024Q3,77.6024,40.5434,12.020748,-62.319014,2.7179,0.700214,0.4497,33.752275,-1.8772,5.902,1.71,22.609757,5.520859,47.754984,5.3209,12.8278,9.4013,10.1424,0.878975
2024Q4,76.6763,41.0688,19.778918,-53.255285,5.199,0.971547,0.1155,-71.822363,-0.477,6.3644,2.36,26.285403,4.86087,46.438773,5.4388,10.6484,6.9728,11.5398,1.281228
2025Q1,76.8674,41.6351,3.052631,-10.890596,1.0526,0.515059,0.4443,43.15415,0.316,0.5523,1.25,34.482146,16.187051,45.835075,5.2367,10.2127,6.3164,12.6641,0.643636
2025Q2,75.2099,40.8227,7.413811,-12.862671,2.1291,0.201227,0.0865,9.422869,1.2024,1.6713,0.49,28.718039,2.937501,45.72168,5.5767,9.049,5.7835,7.9757,0.286768
2025Q3,76.4343,40.7862,11.720245,-2.499866,3.0177,0.074054,-0.2279,-150.685153,-0.3548,3.0456,0.18,25.747742,0.608806,46.638878,5.3661,8.7622,3.2558,8.2199,0.093205
2025Q4,66.0469,38.0426,17.910977,-9.444101,4.105,-2.332842,-2.6645,-2407.504648,1.2691,4.6414,-5.91,22.918725,-13.487624,42.400617,4.7322,7.9176,2.5794,20.4638,-3.385244
2026Q1,69.3873,38.6773,6.332875,107.456313,2.1293,0.549404,0.4462,0.42731,2.4217,0.4724,1.44,33.622259,8.382332,44.258723,6.1938,7.0405,2.4935,9.8612,0.783912
2026Q2,66.7659,40.1916,13.775724,85.811643,5.5942,1.957494,1.7461,1917.546203,7.0312,1.6256,5.02,40.60926,13.888313,39.802234,4.2554,7.0619,1.7191,12.6063,2.88107
