# GoalTracker 财务数据
公司,奥飞数据
股票代码,300738.SZ
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,accountsReceivable,inventory,contractLiab,cash,totalAssetTurnover
2022Q1,54.4971,16.0308,2.695037,-4.051731,0.8532,0.422646,0.3078,-31.085197,0.6857,3.3197,2.68,31.659464,15.439143,70.584229,3.2272,0.0288,0.2054,3.9958,0.764808
2022Q2,60.6256,16.2544,5.483913,-6.847184,1.6573,0.746828,0.6375,-28.622107,1.446,7.6794,4.66,30.221787,13.347558,73.188897,3.396,0.0287,0.1745,6.4065,1.273679
2022Q3,63.4618,16.9517,8.266471,-10.557678,2.3895,1.111444,0.9715,-29.620506,0.522,13.0138,6.86,28.90532,13.293614,73.288393,3.1056,0.0287,0.2249,5.5222,1.866139
2022Q4,69.6841,17.512,10.974346,-8.922871,3.0938,1.656739,1.0877,-28.810888,3.2903,16.9222,10.08,28.191276,15.00959,74.869422,2.9246,0.0015,0.1705,5.1759,2.656863
2023Q1,71.597,17.991,3.201111,18.778013,0.9209,0.441618,0.4201,36.490901,0.1695,1.5436,2.5,28.766971,13.823439,74.871799,3.5536,0.0015,0.1914,5.1267,0.626416
2023Q2,83.2299,30.2771,6.671152,21.6495,1.8516,0.734726,0.6912,8.420789,2.8969,8.4513,3.37,27.755283,11.230534,63.622373,3.8475,0.0006,0.487,6.7038,0.979905
2023Q3,84.5652,30.8002,10.390588,25.695561,2.8743,1.226676,1.1689,20.317034,5.1531,11.0263,4.96,27.662966,12.08271,63.578222,3.6596,0.0003,0.8893,5.2583,1.627838
2023Q4,85.8862,30.8501,13.347945,21.62862,3.6348,1.41328,1.269,16.664995,6.5509,15.1107,5.22,27.230832,10.853696,64.080279,3.3096,0.0578,0.7515,4.3594,1.862496
2024Q1,91.8641,32.2285,3.81152,19.068665,1.1845,0.505005,0.5339,27.107301,-0.1858,3.4289,1.63,31.076315,12.985945,64.917259,4.5158,0.0578,0.3277,3.2045,0.556918
2024Q2,104.9001,32.5541,10.609832,59.040462,2.5428,0.757137,0.8096,17.129663,2.3121,12.9974,2.43,23.966446,7.198558,68.9666,6.267,0.8443,1.0425,5.6965,0.800639
2024Q3,109.6885,32.3483,15.811874,52.174974,4.0402,1.059469,1.1288,-3.433181,4.689,19.8749,3.36,25.551908,6.975762,70.508912,5.8986,0.7345,0.9964,5.5261,1.127956
2024Q4,116.8477,33.7432,21.648198,62.183744,5.7146,1.240859,1.0416,-17.92142,7.1503,26.246,3.92,26.3974,5.878768,71.122054,6.3274,0.5539,0.0884,2.4289,1.255485
2025Q1,128.4033,35.0517,5.359664,40.617489,1.6928,0.517476,0.5461,2.288265,1.9628,8.7973,1.53,31.584561,9.701516,72.701877,3.6859,0.5564,0.0862,7.6072,0.42403
2025Q2,139.3911,35.5319,11.479916,8.200736,3.8451,0.878969,0.8644,6.766086,4.51,17.4864,2.56,33.494063,8.312187,74.509212,4.1656,0.2414,1.02,3.8844,0.744799
2025Q3,155.1426,37.4964,18.235224,15.326139,6.3814,1.454495,1.4435,27.876201,6.184,25.2626,4.19,34.994803,9.144392,75.830989,4.6045,0.2497,0.1416,6.1718,1.226147
2025Q4,157.9188,40.5926,25.21361,16.46979,8.7565,1.323403,1.4564,39.820612,14.1587,36.0594,3.7,34.729077,6.143937,74.295252,5.1243,0.3703,0.0344,2.4599,1.127581
2026Q1,164.4725,41.5492,7.02911,31.148326,2.426,0.927274,0.958,75.422609,4.0168,7.4985,2.41,34.512979,13.684474,74.737912,5.4166,0.4339,0.1703,7.0812,0.596726
2026Q2,164.1806,37.8682,14.688144,27.946442,5.0559,1.965718,1.6969,96.32065,8.5192,18.8379,5.04,34.421478,14.74832,76.935015,5.6741,4.655,0.1843,5.5497,1.345084
