# GoalTracker 财务数据
公司,新媒股份
股票代码,300770.SZ
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,totalAssetTurnover
2021Q4,37.3192,30.5754,14.090539,15.430985,7.6498,6.797364,6.2548,17.721346,10.4451,2.041,24.06,54.290666,48.143959,18.070555,19.362294
2022Q1,41.8565,32.2933,3.883923,19.258489,1.995,1.715226,1.6537,5.771049,3.4736,0.5384,5.47,51.365017,44.228826,22.847728,4.339241
2022Q2,40.8728,31.2207,7.42022,12.755449,3.8213,3.379123,3.2494,2.006987,4.9906,0.8375,10.64,51.498876,45.527041,23.615078,8.640792
2022Q3,44.7659,32.9637,11.053858,8.91616,5.722,5.126855,4.9407,-0.999486,9.5105,1.0624,16.09,51.764286,46.373136,26.364376,12.489517
2022Q4,43.8623,34.7956,14.286473,1.390539,7.6875,6.91321,6.6959,7.05245,10.058,1.3196,21.36,53.809644,48.345278,20.670808,17.015787
2023Q1,48.183,36.4985,3.567435,-8.148681,1.882,1.704427,1.6448,-0.539327,3.7773,0.1292,4.8,52.753618,47.756074,24.250274,3.701804
2023Q2,45.2532,34.971,7.066629,-4.765239,3.7473,3.29229,3.214,-1.089575,1.6425,0.2631,9.19,53.027977,46.591225,22.72141,7.389131
2023Q3,46.9818,34.8401,11.085008,0.281808,5.5932,4.993784,4.8769,-1.290749,5.9684,0.3799,13.95,50.457068,45.056351,25.843477,10.995768
2023Q4,46.1985,36.8907,15.234436,6.635387,7.8687,7.076762,6.8442,2.214389,6.2524,0.8437,19.69,51.650683,46.438767,20.147342,15.710923
2024Q1,49.3944,38.3704,4.006091,12.296114,2.0159,1.479657,1.4787,-10.096362,2.0433,0.0811,3.94,50.320004,36.935789,22.31836,3.095799
2024Q2,49.6469,37.2414,7.714191,9.163664,3.8609,2.779436,2.7802,-13.495856,3.1434,0.2067,7.28,50.048872,36.031356,24.987435,5.800024
2024Q3,51.4003,36.9047,11.742917,5.935122,5.7906,4.275627,4.2762,-12.318204,9.2074,0.338,11.21,49.311226,36.411993,28.201401,8.762059
2024Q4,45.1736,36.1555,15.787613,3.631097,7.9259,6.578589,6.686,-2.31088,3.6144,0.5569,17.24,50.203328,41.663038,19.963264,14.397401
2025Q1,50.5191,37.5577,4.065519,1.483443,1.9896,1.608266,1.6077,8.718999,5.611,0.0873,4.37,48.93766,39.527918,25.656448,3.358701
2025Q2,49.217,37.5387,8.17222,5.937486,4.0046,3.458453,3.4802,25.177415,7.975,0.2852,9.19,49.002641,42.281088,23.728219,7.321289
2025Q3,50.7432,39.1096,12.363094,5.281282,6.0264,5.118627,5.1399,20.198348,7.538,0.5612,13.55,48.745107,41.358554,22.926456,10.661734
2025Q4,46.1556,35.8086,16.26168,3.002777,7.7378,6.604344,6.6162,-1.043707,7.7574,0.9918,17.47,47.582876,40.566846,22.417492,14.446323
2026Q1,49.6131,37.2381,3.767949,-7.319346,1.6306,1.431732,1.4317,-10.944151,5.3967,0.1075,3.93,43.275063,37.936636,24.943077,2.985179
