# GoalTracker 财务数据
公司,博俊科技
股票代码,300926.SZ
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,accountsReceivable,inventory,contractLiab,cash,totalAssetTurnover
2022Q1,19.4071,9.6635,2.257399,74.107093,0.5115,0.175931,0.1753,73.138827,-0.2902,0.7837,1.84,22.65958,7.793535,50.206437,3.3627,3.4373,0.2755,1.3615,0.941805
2022Q2,20.1819,9.6791,4.677307,60.7365,0.997,0.381732,0.362,53.599823,-0.1119,1.066,3.95,21.315032,8.161364,52.040816,3.2115,4.0053,0.4797,1.4099,2.00199
2022Q3,25.8681,12.0766,8.374698,64.646804,1.7899,0.806369,0.7834,36.642144,0.2468,2.29,8.17,21.372238,9.628632,53.31465,3.7112,5.2708,0.5414,3.0457,3.680252
2022Q4,30.8418,12.7521,13.909093,72.675261,3.4908,1.481923,1.4858,87.093696,-0.8906,3.2686,13.98,25.097443,10.654349,58.653291,6.6756,6.1927,1.4724,2.2563,6.074068
2023Q1,33.7039,13.0937,4.129071,82.912776,0.8644,0.344379,0.3407,94.390704,0.7193,1.2269,2.67,20.933691,8.34036,61.150853,5.8128,7.2825,1.4589,1.9052,1.067087
2023Q2,36.2984,13.549,10.212679,118.345257,2.4978,0.951835,0.9389,159.347887,1.8549,2.1067,7.13,24.458255,9.320128,62.673307,7.1036,8.0114,1.7265,2.178,2.835368
2023Q3,48.7499,14.4104,17.006391,103.068698,4.1084,1.816009,1.7927,128.846803,2.6306,3.6713,13.36,24.158073,10.678392,70.440103,8.0627,9.3095,1.2781,7.2268,4.563315
2023Q4,49.4647,17.3938,26.004856,86.962995,6.641,3.085007,3.0494,105.234368,1.9322,5.2975,21.08,25.537479,11.863194,64.835905,9.9872,9.0653,1.9951,5.0835,7.683089
2024Q1,51.1844,18.4033,7.981858,93.308819,2.0523,1.00912,0.9661,183.577757,0.6431,3.2472,5.64,25.712322,12.642674,64.045058,8.0099,10.3541,1.9801,4.9448,2.005226
2024Q2,52.7885,19.2957,17.231745,68.728943,4.7613,2.319266,2.3139,146.452701,0.3564,6.2486,12.55,27.630851,13.459266,63.447256,9.087,11.4356,1.804,2.9624,4.536321
2024Q3,62.5113,20.7056,28.622179,68.302489,7.5571,3.676815,3.6704,104.737355,-0.4438,5.4867,19.3,26.402954,12.846034,66.877095,11.2704,12.3213,1.3782,4.9761,6.567149
2024Q4,70.4673,24.9077,42.270555,62.548698,11.6814,6.131149,6.1191,100.66698,-0.6322,5.4953,29.96,27.634896,14.504437,64.65348,14.5462,11.2013,0.7724,5.2821,10.22431
2025Q1,69.9194,26.4029,10.997374,37.779635,2.856,1.493338,1.4909,54.318693,-1.3266,1.1525,5.82,25.969664,13.578534,62.238088,11.905,11.3819,0.7245,3.6507,2.127385
2025Q2,73.677,30.8063,25.118705,45.769941,6.4067,3.524239,3.5093,51.664592,-2.4948,4.1281,13.27,25.505607,14.029701,58.187414,13.1518,13.4979,0.9662,3.0776,4.889654
2025Q3,83.1712,33.5506,40.747268,42.362563,10.9972,6.268012,6.2494,70.2663,-1.7793,6.3446,22.58,26.988761,15.382026,59.660782,13.3968,15.1784,0.9724,1.8332,8.159094
2025Q4,91.3658,35.4703,58.076084,37.391346,15.145,8.441581,8.4256,37.693743,4.3296,11.9192,27.68,26.077799,14.53473,61.177718,15.0446,14.4505,0.451,4.4445,10.431983
2026Q1,93.2167,36.764,10.080041,-8.341389,2.5193,1.29372,1.2891,-13.533983,0.5006,1.8235,3.58,24.993425,12.83385,60.56075,8.0632,15.5475,0.4608,2.701,1.401711
2026Q2,104.3211,37.3609,24.246159,-3.473687,5.6737,2.845411,2.8437,-18.966869,1.2549,2.7638,7.75,23.400248,11.734964,64.186609,11.843,17.6211,0.1817,2.5744,2.907989
