# GoalTracker 财务数据
公司,三瑞智能
股票代码,301696.SZ
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,accountsReceivable,inventory,contractLiab,cash,totalAssetTurnover
2022Q4,4.5033,3.2361,3.61604,,1.902,1.128546,1.0092,,1.573,0.2331,42.28,52.600213,31.295392,28.138673,0.1209,0.9252,0.49,1.6002,50.258984
2023Q4,5.7337,4.3225,5.337709,47.611984,2.9886,1.723127,1.6178,60.308196,1.9852,0.9084,48.48,55.990876,32.287121,24.611325,0.1433,1.0559,0.5762,1.2646,33.670058
2024Q3,,,6.362349,,,2.560812,2.4987,,,,,,,,,,,,
2024Q4,9.5422,7.6976,8.314785,55.774425,4.9715,3.325004,3.2051,98.114262,3.2032,0.2402,55.32,59.791407,40.0777,19.330601,0.2119,1.5594,0.9049,1.4523,43.629395
2025Q1,,,1.936285,,1.1744,0.827041,0.7273,,0.5213,0.0361,10.35,60.652611,42.727292,,,,,,
2025Q2,10.9373,8.9385,4.356371,,2.5925,1.602595,1.5315,,1.1925,0.1922,19.16,59.510849,36.863574,18.275845,0.2678,2.0424,0.8089,2.7112,15.683125
2025Q3,12.6703,10.5461,8.088497,27.130671,,3.175518,3.0735,23.004837,,,,,,16.765342,,,,,
2025Q4,13.9585,11.6335,10.746859,29.249985,6.4484,4.213678,4.0576,26.598571,4.1986,0.6574,44.03,60.00311,39.374396,16.65681,0.3353,1.8226,0.8997,1.9642,36.011846
2026Q1,15.7318,13.2673,3.342702,72.634812,1.9587,1.30285,1.2499,71.85794,0.305,0.031,10.06,58.597069,39.26848,15.665742,0.8113,2.0572,0.4878,2.597,8.842146
2026Q2,25.5018,21.6358,7.353203,68.791926,4.1189,2.651475,2.4372,59.141125,2.3543,0.1833,17.01,56.01547,36.425109,15.160057,0.9387,2.3824,0.8638,5.3809,13.575213
