# GoalTracker 财务数据
公司,中远海能
股票代码,600026.SH
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,accountsReceivable,inventory,contractLiab,cash,totalAssetTurnover
2022Q1,597.3726,300.1881,34.777222,13.022043,2.0334,0.250628,0.2643,-92.273718,-3.279,10.5937,0.0876,5.846898,3.054114,49.74859,7.1239,10.8752,0.0391,27.2289,0.178321
2022Q2,630.5318,311.0957,75.126335,22.848156,6.4498,1.5877,1.52,-72.697908,8.4117,16.2137,0.55,8.585234,4.323649,50.661387,11.9918,11.2654,0.1666,35.8124,0.530569
2022Q3,663.4551,323.9815,123.974238,33.471547,13.9387,6.397826,6.4147,40.914736,18.5399,21.7719,2.2126,11.24324,7.126677,51.167533,9.1662,12.1754,0.1559,47.9534,1.405382
2022Q4,682.5045,335.7076,186.578432,46.927565,34.6199,14.570746,13.9062,128.028738,42.1097,44.4973,4.95,18.555126,9.563299,50.812398,5.3931,12.7807,0.1889,42.4012,2.795854
2023Q1,688.2167,348.507,56.307595,61.90941,17.1367,10.958881,8.8373,3243.207593,18.4221,14.2168,3.2974,30.433998,21.084248,49.36086,10.0198,11.426,1.0556,42.512,1.732232
2023Q2,712.5642,364.3864,115.753837,54.078908,39.8061,28.062357,24.1993,1492.050521,46.9405,16.2839,8.43,34.388589,25.922696,48.862656,12.8899,10.6386,0.5302,52.5571,4.301797
2023Q3,723.3922,371.3041,165.346021,33.371274,52.8953,37.138647,33.2373,418.144508,65.353,19.8837,11.0618,31.990673,24.240841,48.671812,14.0869,11.4685,5.1744,59.2791,5.701879
2023Q4,734.298,379.6156,227.330569,21.841826,67.0832,33.814032,41.344,197.305804,89.7078,57.2325,9.92,29.509088,16.273194,48.302242,5.7615,11.6052,0.9978,57.5042,5.222174
2024Q1,727.9864,386.1985,59.931413,6.435752,18.6915,12.484046,12.3553,39.808247,14.6913,6.5131,3.4884,31.188116,22.413883,46.949769,15.5939,11.3849,0.748,36.7557,1.837256
2024Q2,754.0697,384.2271,119.460786,3.202441,38.5361,26.38848,26.1724,8.153505,37.4804,30.5504,7.2,32.258383,23.488867,49.046204,14.1358,12.081,0.6879,43.0652,3.770572
2024Q3,751.8743,388.2007,175.552814,6.17299,51.9188,34.565395,33.4933,0.770201,58.7749,41.1944,9.3803,29.574482,21.063065,48.368931,13.8215,11.9617,0.6406,43.2053,4.976113
2024Q4,818.1242,395.0586,232.690981,2.357981,63.4165,40.417652,39.7864,-3.767276,86.6515,78.8395,11.11,27.253532,18.867117,51.711659,5.381,13.3372,1.0262,58.3116,5.655946
2025Q1,817.4638,399.3872,57.542627,-3.985866,12.1417,7.085254,7.0822,-42.678717,10.3954,6.5608,1.9284,21.100329,13.938596,51.143131,14.3047,12.3777,0.2775,52.1223,0.980765
2025Q2,844.0585,398.0401,116.480864,-2.494477,26.9821,18.687251,17.7338,-32.242281,30.462,19.9905,4.87,23.164408,17.752168,52.842123,12.0567,11.3575,0.6429,76.5637,2.488039
2025Q3,820.4445,406.5693,171.079041,-2.548391,38.5275,27.228956,24.8354,-25.849654,48.2728,24.4971,7.3308,22.520277,17.736924,50.445237,12.5576,10.474,1.6332,55.8035,3.70374
2025Q4,939.94,512.2654,238.922598,2.678065,62.4195,40.373109,33.4261,-15.986157,73.8915,56.3514,10.42,26.125395,18.512816,45.500203,5.5555,9.7812,0.991,154.5531,5.031819
2026Q1,944.5317,514.2926,73.034148,26.921817,31.1551,21.733137,20.4973,189.420609,37.6568,40.013,4.5762,42.658288,31.429488,45.550516,10.5867,11.3449,0.4184,150.6531,2.436148
2026Q2,1007.4477,513.3451,151.460967,30.030772,62.6943,45.449978,44.4914,150.884092,69.6164,57.8172,9.26,41.393043,31.566193,49.044986,16.2338,12.6111,0.4724,181.9186,4.910215
