# GoalTracker 财务数据
公司,中国船舶
股票代码,600150.SH
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,totalAssetTurnover
2022Q1,1655.6059,531.475,130.944421,30.24034,8.4453,0.521226,-0.5381,-85.41347,-22.35,2.0367,0.11,6.449525,0.439397,67.898462,0.035303
2022Q2,1706.1904,533.1631,239.460295,-11.643403,20.8786,1.95843,-0.6529,63.243237,-18.4811,3.2524,0.42,8.719014,0.894833,68.751256,0.129464
2022Q3,1605.6194,512.0433,385.49446,0.845441,39.0505,14.651193,-1.3098,53.308842,-47.7651,6.0407,3.14,10.129989,3.893988,68.109299,0.935376
2022Q4,1626.2211,502.8772,594.852324,-0.427171,45.6965,1.724704,-27.4822,-214.476363,-0.3702,14.3561,0.38,7.681994,1.468178,69.076946,0.540733
2023Q1,1653.1145,496.8777,90.444118,-30.929384,8.5144,0.435397,-0.3631,32.526471,-30.0353,4.8855,0.1,9.413941,0.468506,69.942934,0.025843
2023Q2,1747.963,504.0503,305.255726,27.476551,22.714,5.531815,-1.1682,-78.92154,48.2193,10.6028,1.2,7.440987,1.825773,71.163559,0.330348
2023Q3,1824.7972,522.4378,496.534965,28.804695,53.4754,25.613308,-4.2795,-226.722685,104.8655,14.9874,5.46,10.769718,5.163121,71.370088,1.485747
2023Q4,1778.3217,524.7253,748.385044,25.810225,72.9662,29.57397,-2.9065,89.424173,182.1288,24.2181,0.03,9.749824,3.948053,70.49323,1.735718
2024Q1,1769.7457,526.6628,152.703714,68.83764,10.1948,4.010518,3.3837,1031.981202,-30.985,3.5416,0.83,6.676179,2.652668,70.240764,0.228334
2024Q2,1743.4242,529.0067,360.165995,17.988285,29.4343,14.123461,11.983,1125.778327,-38.1435,7.1748,2.89,8.172423,4.059274,69.657029,0.830277
2024Q3,1784.3976,537.5422,910.473869,83.36551,96.7018,27.165828,19.7167,560.726974,76.9154,62.2529,3.01,10.621039,3.626425,69.875421,1.853509
2024Q4,4036.3915,1395.3475,1333.508373,78.184797,139.7024,42.195661,30.719,1156.918702,147.2653,69.7897,4.65,10.476306,3.860237,65.430818,1.770563
2025Q1,1812.384,565.5102,279.620984,83.113413,36.0883,13.742091,11.1728,230.197607,-58.0649,4.7332,1.48,12.906138,6.430593,68.797437,0.614874
2025Q2,1819.7693,575.2438,726.396579,101.683832,84.1649,37.773205,28.9069,141.232606,-28.0099,11.7232,4.03,11.586633,7.041193,68.389188,1.746775
2025Q3,4060.2255,1466.4092,1074.028038,17.963631,134.9002,58.517804,43.8192,122.243949,30.9473,17.9378,6.2,12.560216,7.300433,63.883552,1.936826
2025Q4,4204.8948,1495.9016,1519.779912,13.968532,191.1941,78.483782,61.261,99.423536,77.6683,34.4508,7.36,12.580379,6.917371,64.424757,2.551272
2026Q1,4184.5929,1560.6433,433.124052,54.896834,75.6896,48.32278,47.6734,326.690291,81.5153,7.9634,3.3,17.47527,11.937302,62.705014,1.232574
2026Q2,4236.7057,1592.611,915.298416,26.005331,158.9518,99.535678,97.4239,237.026146,109.1834,16.5633,6.71,17.36612,11.656092,62.409215,2.527673
