# GoalTracker 财务数据
公司,巨化股份
股票代码,600160.SH
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,accountsReceivable,inventory,contractLiab,cash,totalAssetTurnover
2022Q1,188.928,138.7861,46.07771,28.074044,9.4019,2.343913,2.2195,3254.272596,4.0318,3.3388,1.74,20.404526,5.14173,26.540218,11.4728,19.9898,3.3539,15.7742,1.288052
2022Q2,203.74,142.7363,105.042669,28.345141,19.4957,9.532307,8.9847,1457.652297,12.2601,11.4797,6.92,18.55976,9.188315,29.941929,11.5257,17.6576,4.0448,22.0898,5.044189
2022Q3,220.2919,150.3683,163.769499,29.742525,30.7171,16.988924,16.3667,687.910726,24.1813,18.7692,12.09,18.756279,10.464781,31.741354,11.9298,18.8958,4.5464,26.7203,8.585462
2022Q4,226.2669,157.8444,214.891244,19.479705,40.959,23.807326,23.2359,125.03861,33.1662,34.879,16.57,19.06035,11.151276,30.239754,9.8043,17.2764,2.5665,25.4727,11.827481
2023Q1,228.1538,159.3589,45.764224,-0.680341,6.2179,1.526038,1.3194,-40.554647,2.5679,5.0719,0.98,13.586907,3.128016,30.152863,10.307,18.2665,3.1767,22.5903,0.630038
2023Q2,231.8555,155.6112,100.959407,-3.887241,14.3306,4.898363,4.5631,-49.212359,5.4992,10.8099,3.14,14.194431,4.866927,32.884407,13.5672,16.6173,2.9391,19.4753,2.145112
2023Q3,230.9791,158.3385,160.12658,-2.224418,20.6108,7.467825,6.8899,-57.903215,7.0302,13.9427,4.81,12.871579,4.731864,31.449028,14.749,16.1634,5.4161,17.6973,3.314177
2023Q4,233.8381,163.7668,206.552169,-3.880603,27.3107,9.435053,8.2254,-64.600507,21.9634,29.9201,5.99,13.222179,4.689731,29.965716,9.2056,17.6416,2.4579,18.177,4.210665
2024Q1,266.0941,175.7812,54.696698,19.518464,8.0656,3.103139,2.8797,118.26071,4.6481,2.172,1.81,14.746068,6.036241,33.940191,13.5868,25.5712,3.31,19.6131,1.320829
2024Q2,270.6918,178.8485,120.801395,19.653431,20.2157,8.303914,7.9382,73.96543,6.0511,14.1817,4.91,16.734687,7.600491,33.92912,14.3299,24.1753,3.0696,18.1158,3.639625
2024Q3,277.7052,183.6501,179.064251,11.826688,30.3458,12.482217,11.8427,71.886366,7.8603,19.1109,7.51,16.946858,7.689856,33.868699,16.1281,26.396,4.421,14.0333,5.383623
2024Q4,285.2364,192.7206,244.626749,18.433397,42.805,19.471888,19.0332,131.396648,27.5139,23.3121,11.5,17.498096,8.825774,32.43476,8.1573,22.8312,2.4526,26.6376,8.318732
2025Q1,299.4012,201.0616,58.003983,6.046591,16.4832,8.038377,7.8887,173.944587,4.8623,1.8622,4.41,28.417345,15.364833,32.845435,16.5737,27.7195,3.3354,33.5709,3.0488
2025Q2,324.3477,215.5034,133.314614,10.358506,38.2876,20.5082,20.2605,155.226479,26.6567,17.9828,10.86,28.719727,17.072866,33.557922,12.4928,26.7212,4.3681,40.1108,7.467592
2025Q3,342.4946,229.5791,203.938247,13.891101,58.8526,32.481123,31.9913,170.134211,36.2761,30.6979,16.87,28.858067,17.76716,32.96855,15.7449,25.8744,4.5392,40.527,11.544448
2025Q4,382.0801,235.063,269.90867,10.334896,76.2028,37.832289,37.5395,97.231189,62.6059,56.1568,19.57,28.232825,16.021738,38.478083,9.438,24.7052,3.6287,53.2727,12.960585
2026Q1,403.8535,248.7527,60.177933,3.747932,20.6939,11.730099,11.636,47.501801,9.4111,22.8957,5.58,34.387847,21.618086,38.405225,14.4133,28.3203,3.9537,45.7058,3.310538
2026Q2,414.3115,254.1178,133.401335,0.06505,45.3966,26.502494,26.2735,29.678599,23.3055,42.6548,12.15,34.030073,22.321452,38.665033,15.1713,29.2893,2.5136,40.7374,7.478008
