# GoalTracker 财务数据
公司,有研新材
股票代码,600206.SH
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,totalAssetTurnover
2022Q1,51.8708,38.0344,39.102671,7.292274,2.2252,1.04073,0.9942,111.004287,-8.259,0.6579,3.01,5.690679,2.827432,26.674853,2.192425
2022Q2,55.8988,38.1841,74.066412,-2.906466,4.3206,1.892544,1.8318,71.633987,-11.228,0.8311,5.4,5.833466,2.664093,31.690679,3.762612
2022Q3,56.1372,38.927,117.349885,-4.36556,6.3287,2.601896,2.354,72.962501,-6.9474,1.913,7.4,5.393027,2.325371,30.657441,5.19168
2022Q4,55.4441,39.3193,152.539452,-5.010795,7.7151,2.700278,2.169,65.160892,1.5725,3.0104,7.7,5.057788,1.889664,29.083062,5.520421
2023Q1,57.3691,39.4015,30.248946,-22.642252,1.5822,0.387753,0.2944,-70.389682,-3.963,0.7629,1.06,5.230561,1.194093,31.319388,0.640351
2023Q2,57.5932,38.6974,56.479222,-23.745162,3.0335,0.528579,0.3798,-79.265031,-3.0132,1.6391,1.45,5.371012,0.808217,32.809068,0.807653
2023Q3,59.631,39.5793,83.199112,-29.101667,5.1972,1.397076,1.1961,-49.190828,-4.4972,1.9769,3.81,6.246758,1.635881,33.626419,2.365477
2023Q4,62.3719,40.307,108.220593,-29.05403,7.0217,2.264561,1.7765,-18.099426,2.2086,2.4654,6.12,6.488311,1.98258,35.376454,3.642219
2024Q1,69.3868,46.0151,22.622591,-25.211968,1.0548,0.004554,-0.0528,-117.942934,-5.6345,0.495,0.01,4.662791,-0.634143,33.683266,-0.217761
2024Q2,71.3252,45.0199,45.387341,-19.63887,2.411,0.408605,0.2865,-24.578031,-9.5318,0.7228,1.08,5.312019,0.067024,36.880894,0.045507
2024Q3,69.1326,45.5371,67.595133,-18.754982,4.1268,1.14583,0.9547,-20.17844,-9.886,0.8612,3.02,6.105174,0.789146,34.130851,0.811264
2024Q4,65.0336,44.7047,91.457848,-15.489423,5.3796,1.476897,1.14,-35.826707,-0.5452,0.9705,3.9,5.882051,-0.356488,31.259036,-0.511809
2025Q1,67.2201,45.0232,18.398012,-18.674161,1.2277,0.673847,0.6294,1291.49948,-3.1696,0.5346,1.71,6.673262,1.659597,33.021193,0.461738
2025Q2,67.9401,44.6471,40.956026,-9.763328,3.2486,1.301274,1.225,327.61355,-2.2506,0.7776,3.27,7.931837,2.067137,34.284707,1.27336
2025Q3,76.5232,49.6091,67.700741,0.156235,6.438,2.45363,1.6289,70.620237,-6.898,1.4106,6.06,9.509526,3.631017,35.171167,3.473131
2025Q4,76.2057,49.6392,95.421268,4.333602,8.5942,2.647896,2.1458,88.228947,-0.7881,2.0897,6.5,9.00658,2.559266,34.861608,3.458081
2026Q1,78.0099,50.5352,29.569071,60.718836,1.898,0.882711,0.6593,4.753546,-12.2048,0.2516,2.05,6.418719,3.066776,35.219491,1.176038
2026Q2,75.2141,50.6006,61.578981,50.353897,4.5692,1.833337,1.433,16.976973,-9.504,0.4985,4.22,7.420065,2.879234,32.724526,2.341838
