# GoalTracker 财务数据
公司,江西铜业
股票代码,600362.SH
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,accountsReceivable,inventory,contractLiab,cash,totalAssetTurnover
2022Q1,1893.8015,881.4532,1221.54075,19.71644,36.653,14.735607,17.5897,38.097943,-19.428,5.5399,1.97,3.000555,1.26941,53.455883,64.2849,417.9807,32.0769,417.3539,0.885029
2022Q2,1839.6344,771.9343,2552.478612,12.545972,86.6371,34.665593,27.5644,-47.088367,73.392,17.34,5.01,3.394235,1.463323,58.038713,51.4079,363.5301,26.5209,440.6108,2.165287
2022Q3,1761.4959,778.0771,3681.585201,9.162741,107.9017,47.284827,38.6093,-35.296063,105.9627,25.0454,6.86,2.930849,1.372331,55.828614,52.6045,335.0172,42.1272,456.9822,2.996791
2022Q4,1673.3054,819.5016,4799.380452,8.395007,143.2858,59.939643,54.1704,-23.644007,106.4132,53.1545,8.36,2.985506,1.268671,51.024984,44.6515,380.6177,11.1529,321.0211,3.708575
2023Q1,1901.4464,855.8049,1277.333167,4.567381,32.7318,17.55052,16.9651,-3.551117,-40.0447,12.2776,2.33,2.562507,1.381388,54.991899,54.1044,411.2927,21.069,402.9855,0.987198
2023Q2,2132.3638,881.1644,2675.263357,4.810412,67.6938,33.594629,27.0424,-1.893641,64.6497,29.7944,4.41,2.530358,1.349202,58.676638,46.7776,389.3236,26.0475,551.2307,1.896891
2023Q3,2021.9947,899.43,3995.554908,8.528112,103.9513,49.429497,41.4043,7.239073,82.2882,34.6754,6.41,2.601674,1.33921,55.517688,50.0808,413.3739,30.3592,482.8124,2.896051
2023Q4,1681.5091,767.4867,5218.925122,8.741642,139.9305,65.051091,53.7381,-0.798,109.3117,68.1137,9.23,2.681213,1.336578,54.357269,39.7111,405.3838,13.9739,356.2003,4.158501
2024Q1,1948.3539,814.0375,1225.166346,-4.084042,40.2111,17.148683,18.0632,6.47309,-60.6855,6.8889,2.46,3.282089,1.469565,58.219221,51.2649,446.7638,22.4681,449.0276,0.992027
2024Q2,2263.5851,841.8788,2703.049556,1.038634,111.5752,36.16702,49.4938,83.022687,-48.5057,27.0167,5.11,4.127754,1.48793,62.807727,62.1058,512.1659,41.3053,580.1058,2.038962
2024Q3,2029.132,858.5792,3922.197949,-1.835964,143.3573,49.841999,58.9447,42.363799,4.1593,36.8905,6.96,3.655025,1.390708,57.687366,59.5066,449.3639,53.9461,479.052,2.939995
2024Q4,1931.2783,878.0206,5166.089642,-1.012382,183.6409,69.62198,82.1928,52.950694,24.2791,65.9055,9.58,3.554738,1.436979,54.536819,62.3341,448.5333,42.7371,303.7576,4.109603
2025Q1,2121.3734,899.6025,1109.551546,-9.436661,49.0965,19.524316,24.754,37.040625,5.5738,7.262,2.47,4.424899,1.830505,57.593392,71.6046,491.8005,45.036,399.1624,1.002326
2025Q2,2478.5775,899.1242,2569.588869,-4.937412,100.8409,41.745465,43.4941,-12.122087,28.7141,15.6292,5.29,3.9244,1.719104,63.724185,67.1113,531.6367,42.3749,638.076,2.003418
2025Q3,2355.0216,921.278,3960.467146,0.975708,141.6421,60.233928,62.5996,6.200661,62.88,26.5894,7.55,3.576398,1.636385,60.880275,68.2497,502.533,51.5104,616.538,3.023983
2025Q4,2186.9117,941.4073,5446.234841,5.422771,239.3731,71.301919,91.4795,11.298624,-69.141,45.8727,8.96,4.395204,1.371213,56.952662,66.2983,681.8786,33.8586,345.4414,3.62681
2026Q1,2599.159,975.4505,1391.240718,25.38766,70.5344,28.17563,31.2632,26.295793,55.0847,9.6859,3.41,5.069892,2.260755,62.470532,83.3999,666.4622,40.9829,547.5995,1.314337
2026Q2,2932.6514,1012.481,3071.549387,19.534663,178.8733,86.318226,75.562,73.72928,58.1423,23.0726,10.22,5.823553,3.093153,65.475577,95.8737,594.6574,39.1905,838.8927,3.711556
