# GoalTracker 财务数据
公司,亨通光电
股票代码,600487.SH
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,accountsReceivable,inventory,contractLiab,cash,totalAssetTurnover
2022Q1,527.5688,249.3609,93.51602,34.097192,13.978,3.440505,3.1059,60.169331,-3.9721,5.054,1.64,14.947129,3.734282,52.733956,146.8956,55.396,27.5303,94.6021,0.663817
2022Q2,560.0936,249.0585,221.059649,22.421721,35.8817,8.601067,8.854,59.211278,-6.6482,10.8557,4.09,16.231666,4.192728,55.532695,164.9713,50.3437,25.7606,106.3574,1.70899
2022Q3,570.125,255.0423,346.524705,16.237169,55.6792,14.195899,14.7702,34.071384,5.6606,18.9696,6.67,16.067888,4.407022,55.265554,165.9449,53.7201,28.356,101.4475,2.790068
2022Q4,556.8361,269.0944,464.639836,12.582195,65.846,15.862443,15.4296,13.627932,8.5467,26.4288,7.47,14.171401,3.430802,51.674399,145.8997,47.9971,25.6082,96.7934,2.948164
2023Q1,564.8036,257.4964,108.668109,16.202667,17.2028,3.950531,3.611,16.263142,-2.7308,5.2864,1.66,15.830591,3.619459,54.409561,166.8825,49.5997,29.9616,85.5134,0.70133
2023Q2,582.1982,262.0749,231.771174,4.845536,39.0638,12.494786,12.0406,35.990733,-8.2366,10.529,5.19,16.854461,5.37837,54.985281,176.8188,50.4932,30.3588,91.0813,2.188786
2023Q3,598.7652,265.411,351.014458,1.295652,59.7812,18.038803,16.9556,14.7961,4.7761,19.3287,7.42,17.03099,5.092155,55.67361,181.5868,59.0791,35.9217,87.777,3.093489
2023Q4,624.9077,281.1887,476.217433,2.491736,72.4825,21.536053,20.327,31.740057,18.5742,21.0588,8.71,15.220464,4.675952,55.003169,149.3452,82.9969,47.564,115.3492,3.768617
2024Q1,632.998,287.3661,117.848389,8.447999,17.7255,5.130749,4.113,13.903673,1.7314,1.794,1.98,15.040965,4.601973,54.602365,169.2405,84.6696,59.1584,99.1636,0.862283
2024Q2,634.3591,303.2107,266.143094,14.83011,44.0278,16.093193,15.1494,25.819842,0.0267,11.0092,6.05,16.542915,6.506644,52.202034,174.5477,87.379,56.1726,97.5269,2.750328
2024Q3,649.1648,316.2187,423.993402,20.790865,64.2258,23.148055,22.0769,30.203938,4.4069,19.8554,8.58,15.147832,5.904628,51.288373,188.3874,86.6938,48.4862,95.481,3.929954
2024Q4,664.3866,309.0051,599.842124,25.959716,79.2335,27.688215,25.7627,26.741277,32.6209,20.3392,10.28,13.209054,4.951904,53.490167,168.1329,90.4075,52.4754,119.1846,4.607731
2025Q1,675.6696,317.3829,132.679518,12.584923,18.0654,5.567834,5.4569,32.67234,0.7665,4.7332,1.92,13.615841,4.467956,53.026913,185.5071,93.014,56.6081,118.5668,0.884748
2025Q2,697.1941,324.1443,320.485637,20.418543,43.5381,16.131987,15.7088,3.692435,0.049,12.2385,5.47,13.58505,5.397362,53.507307,183.3161,96.4331,53.1256,127.6372,2.540836
2025Q3,719.1123,333.0329,496.20509,17.031324,66.2357,23.75821,23.3952,5.971644,4.9332,19.7937,7.99,13.34845,5.113091,53.688326,182.7749,95.6626,53.7063,138.4997,3.667718
2025Q4,723.6154,349.2667,668.548544,11.454084,83.2833,26.802693,25.6522,-0.428928,28.078,28.3815,8.96,12.457324,4.261062,51.733094,173.7515,94.3347,49.7058,133.752,4.104788
2026Q1,741.729,356.9525,177.905601,34.08671,28.4284,11.053642,11.3329,107.68244,-1.9366,7.1303,3.44,15.979462,6.643618,51.875627,187.1987,94.6537,51.7942,133.0157,1.613186
2026Q2,778.8309,370.8391,420.258971,31.131921,70.4678,31.196207,31.5148,100.618967,-8.6479,19.6831,9.43,16.76771,7.769032,52.385157,217.5535,108.5367,54.7195,128.9648,4.346253
