# GoalTracker 财务数据
公司,科达制造
股票代码,600499.SH
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,accountsReceivable,inventory,contractLiab,cash,totalAssetTurnover
2022Q1,168.9228,90.376,25.425444,20.361483,7.1472,9.013105,8.2437,362.083522,-1.5114,2.0187,12.37,28.110458,41.757418,46.498642,15.8325,33.532,16.6189,16.2812,6.431506
2022Q2,184.1709,101.5512,56.511324,23.984589,16.1615,21.207252,21.2003,487.96313,3.5187,3.8753,27.25,28.598661,45.435559,44.86035,16.289,32.5917,15.1022,24.0393,14.867349
2022Q3,208.8162,129.9186,85.327426,23.293208,24.7594,36.011203,35.5464,408.111927,6.9695,6.0016,41.39,29.016878,50.884284,37.783261,17.6013,32.6452,15.2364,29.4126,23.466178
2022Q4,211.5242,133.3177,111.571966,13.887531,32.8561,42.509318,42.1287,342.458349,9.9741,9.9344,46.73,29.448316,46.62634,36.972869,15.9101,32.4167,15.7016,47.9681,27.911927
2023Q1,219.5196,137.1628,24.911281,-2.022237,8.0252,4.024051,3.7113,-54.980985,-4.8452,3.7205,3.51,32.215195,22.447939,37.516835,17.5254,29.5167,12.8211,38.2098,2.594664
2023Q2,237.7474,133.3617,47.469067,-16.000788,15.0751,12.68064,12.0981,-42.934151,-0.4802,8.2662,10.88,31.757692,35.905323,43.906133,19.2351,31.8892,15.7547,43.6846,7.587357
2023Q3,247.3585,139.834,70.281092,-17.633643,22.0041,20.193546,19.5397,-45.030392,3.2622,10.585,17.38,31.30869,37.469848,43.469106,19.3454,33.9695,18.5536,38.1008,11.477537
2023Q4,236.0417,136.8716,96.956398,-13.099678,28.341,20.919964,18.7875,-55.4044,7.3083,15.4463,18.42,29.230682,26.900647,42.013807,17.6691,36.6774,18.8872,36.0219,11.654997
2024Q1,243.6143,141.8106,25.617114,2.833387,6.8777,3.114689,2.7573,-25.703866,1.039,4.882,2.69,26.848091,15.921064,41.788876,17.5979,40.6509,21.5542,34.4969,1.700601
2024Q2,249.1462,136.6887,54.940478,15.739536,14.0817,4.544597,3.9981,-66.953078,2.5776,10.6902,3.97,25.630906,10.091574,45.137152,18.6545,41.4797,21.2584,32.1441,2.285448
2024Q3,251.514,136.1986,85.637959,21.850638,23.0333,7.028951,6.3577,-67.46258,0.2353,15.4265,6.11,26.896092,9.772818,45.848502,18.6086,44.0234,19.9648,31.8275,3.433143
2024Q4,269.502,137.9806,126.002619,29.958024,32.7019,10.063118,9.2067,-50.995702,5.572,25.2132,8.8,25.953368,10.225622,48.80165,22.5182,47.943,22.8154,29.5203,5.097305
2025Q1,281.9529,143.2721,37.669037,47.046373,11.1799,3.46907,3.2296,17.129339,0.914,7.0522,2.98,29.679392,13.839929,49.185797,25.3711,49.2202,22.15,34.5556,1.890769
2025Q2,290.3209,149.7435,81.884189,49.041639,24.0264,7.45067,6.9989,75.057909,6.5964,10.7087,6.28,29.34198,13.880194,48.421393,29.0789,50.6474,20.9464,33.924,4.060457
2025Q3,299.1358,156.8137,126.053374,47.193342,36.0138,11.491431,10.615,66.962958,15.6041,13.9661,9.61,28.570244,14.535275,47.577761,31.3218,51.9364,22.7215,38.6758,6.444244
2025Q4,293.6242,158.7536,173.894702,38.0088,48.5234,13.088634,11.9875,30.20366,18.1911,15.8035,10.9,27.90387,12.460361,45.933083,32.0178,55.1978,23.4734,32.5488,7.695578
2026Q1,310.8405,167.135,47.266151,25.47746,16.2473,5.866225,5.7027,76.574997,8.7018,2.6447,4.56,34.374151,19.126599,46.231258,30.4666,60.8363,28.2922,40.0955,2.991211
2026Q2,313.5594,169.5598,103.92409,26.915942,33.1626,12.844202,12.9973,85.70447,13.6534,5.8325,9.79,31.910375,18.986333,45.924191,33.5671,60.7194,24.5914,36.8065,6.49931
