# GoalTracker 财务数据
公司,长电科技
股票代码,600584.SH
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,totalAssetTurnover
2022Q1,368.8745,218.2147,81.383422,21.244286,15.3917,8.614274,7.8135,124.48349,16.396,8.9889,4.02,18.912584,10.584802,40.843102,2.328621
2022Q2,378.314,225.769,155.937964,12.846334,28.8734,15.434754,14.0923,50.144025,26.8451,15.4998,7.05,18.515966,9.898009,40.322338,4.119778
2022Q3,413.016,238.6158,247.780293,13.053333,44.5547,24.524121,21.8488,30.572515,43.8019,26.8833,10.91,17.981526,9.897527,42.226015,6.256136
2022Q4,394.0773,246.4273,337.620284,10.686401,57.5183,32.309882,28.2987,13.806096,60.1247,39.2417,14.19,17.036379,9.569888,37.467263,8.446327
2023Q1,371.6651,246.4539,58.601952,-27.992765,6.9396,1.099286,0.5629,-92.795713,12.3374,8.3884,0.45,11.841889,1.875852,33.68925,0.287116
2023Q2,398.0933,254.1068,121.728515,-21.937858,16.4797,4.955901,3.7888,-73.114125,24.2086,15.8833,1.97,13.538052,4.071188,36.169033,1.251194
2023Q3,430.0722,258.7246,204.298425,-17.548558,28.3378,9.736634,7.4675,-65.821948,30.3315,24.336,3.86,13.870789,4.765303,39.841598,2.362542
2023Q4,425.7947,261.5117,296.609609,-12.146982,40.4945,14.707056,13.2257,-53.263879,44.367,31.283,5.81,13.652445,4.956834,38.582671,3.586522
2024Q1,441.1027,270.6975,68.420262,16.754238,8.3484,1.352265,1.077,91.33236,13.7265,9.3308,0.52,12.201711,1.955083,38.63163,0.308612
2024Q2,459.6854,274.2051,154.865434,27.221986,20.6952,6.192828,5.8145,53.464421,30.2707,18.6939,2.35,13.363319,3.984872,40.349391,1.393863
2024Q3,536.1926,284.7984,249.77909,22.261877,32.2993,10.763629,10.2106,36.733551,39.339,30.888,4.07,12.931131,4.288021,46.885067,2.226761
2024Q4,540.5983,295.4264,359.616799,21.242464,46.9558,16.095754,15.4763,17.016391,58.3405,45.908,6,13.057165,4.482633,45.351945,3.336179
2025Q1,528.2421,297.3166,93.351465,36.438333,11.7935,2.033636,1.9307,79.264459,11.4446,15.2407,0.73,12.633472,2.184214,43.715841,0.381534
2025Q2,521.3839,298.0044,186.052241,20.138003,25.0588,4.707853,4.3757,-24.745835,23.3886,26.3782,1.69,13.468715,2.518665,42.843572,0.882507
2025Q3,528.6921,300.843,286.689727,14.777312,39.4006,9.537485,7.8368,-23.248532,36.9268,43.5714,3.41,13.743294,3.318599,43.096742,1.779514
2025Q4,555.165,312.8774,388.713483,8.091025,54.9928,15.65238,13.6947,-11.511392,46.5221,62.983,5.56,14.147397,4.039319,43.642456,2.865834
2026Q1,550.4575,313.7125,91.710396,-1.757947,13.3424,2.902728,2.6457,37.030276,17.789,24.9024,1.01,14.54841,3.040893,43.008765,0.504479
2026Q2,586.4283,315.3866,195.272233,4.955593,29.5819,8.446443,8.0833,84.734086,29.6443,47.0015,2.92,15.14905,4.209763,46.21907,1.44018
