# GoalTracker 财务数据
公司,方正科技
股票代码,600601.SH
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,accountsReceivable,inventory,contractLiab,cash,totalAssetTurnover
2022Q1,80.337,-8.1876,9.79785,4.480449,1.4972,-1.293588,-1.3438,0.822305,0.8553,1.4826,,15.280597,-13.271155,110.191587,11.4295,13.5505,13.6783,5.4521,-1.606687
2022Q2,78.3716,-9.1433,21.991858,8.910796,3.5324,-2.245086,-2.3947,0.032593,-0.2002,2.5756,,16.062162,-10.25556,111.666662,12.2693,12.8172,12.4503,5.2118,-2.821102
2022Q3,76.3136,-11.2596,33.782191,3.427326,5.6333,-4.381989,-4.4001,6.704051,1.5484,2.8894,,16.675389,-13.025802,114.75433,12.3651,13.1264,14.4107,4.5442,-5.57591
2022Q4,57.6473,34.519,48.886928,-9.995573,7.9328,-4.235425,-8.1428,25.684784,4.7822,4.0322,,16.226859,-8.703202,40.120373,6.2193,5.0609,0.0238,9.4416,-6.114439
2023Q1,51.6153,34.2969,6.808428,-30.510998,1.0202,-0.205234,-0.3005,77.638143,0.5147,0.6108,-0.6,14.983863,-3.014409,33.552826,5.0187,4.8009,0.0179,8.0704,-0.375671
2023Q2,51.4716,35.0019,14.481407,-34.15105,2.399,0.480469,0.2835,111.840546,1.8445,1.8745,1.3822,16.565811,3.317831,31.997558,6.7686,4.6266,0.0078,7.902,0.880634
2023Q3,54.79,38.0219,22.76449,-32.613933,4.0944,1.18736,0.8698,119.768977,3.7762,4.7375,3.27,17.986058,5.215845,30.604422,7.5881,4.1707,0.0086,9.5963,2.11204
2023Q4,56.8527,38.4952,31.48933,-35.587423,5.7565,1.350772,1.0455,112.839021,4.8,6.9392,3.7,18.280849,4.289619,32.289546,8.3055,4.2939,0.0234,9.2412,2.359429
2024Q1,56.8344,39.2397,7.694577,13.015473,1.478,0.769094,0.4559,251.726204,1.7266,2.6941,1.98,19.208983,9.995279,30.957906,7.7326,4.1573,0.0178,8.6513,1.353002
2024Q2,59.7403,39.9582,15.78155,8.978013,3.2886,1.496795,1.1453,303.910687,4.4918,4.8309,3.8158,20.838549,9.484463,33.113542,6.4844,4.4092,0.0297,9.618,2.567557
2024Q3,63.7025,40.6039,24.494692,7.600445,5.2554,2.099328,1.631,87.506481,3.742,7.5384,5.31,21.455139,8.570544,36.260105,9.0184,5.1358,0.0177,12.1277,3.482768
2024Q4,70.6911,41.161,34.816545,10.566166,7.6502,2.573899,2.1019,101.05512,4.4008,11.1367,6.46,21.972776,7.392747,41.773474,10.6107,6.0592,0.0401,13.3108,4.036104
2025Q1,74.6705,41.9119,9.516754,23.681306,2.0848,0.784772,0.6855,50.358667,2.042,4.3182,1.89,21.906931,8.246211,43.870927,9.4832,6.6782,0.0399,14.1876,1.079751
2025Q2,80.2909,42.8107,21.400363,35.603686,4.7674,1.725654,1.6467,43.777811,1.7402,6.9113,4.11,22.277249,8.063666,46.680449,12.4758,8.2092,0.0147,12.8047,2.285907
2025Q3,88.8061,44.5376,33.976928,38.711389,7.8337,3.165939,3.0317,85.879101,5.4584,10.9692,8.45,23.055939,9.317907,49.848549,12.2751,7.8803,0.029,16.6673,3.969898
2025Q4,97.0293,46.2368,49.392584,41.865267,12.4174,4.721978,4.0259,91.530357,6.0579,16.8128,10.27,25.140267,9.560094,52.347628,15.7487,11.1232,0.2034,12.4028,5.630773
2026Q1,106.3315,48.7903,15.636762,64.307727,4.7718,2.316332,2.2315,225.512742,4.5515,6.2616,4.88,30.516493,14.813376,54.114953,15.9498,13.6766,0.0431,14.4299,2.278051
2026Q2,113.0917,52.4847,36.999934,72.893953,11.925,5.735731,5.5644,237.919456,5.1182,11.1328,11.61,32.229763,15.502004,53.591013,21.3539,14.6383,0.0587,11.6934,5.459455
