# GoalTracker 财务数据
公司,株冶集团
股票代码,600961.SH
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,accountsReceivable,inventory,contractLiab,cash,totalAssetTurnover
2022Q1,62.1695,9.0702,53.022267,30.731639,3.7346,1.203718,1.3607,588.821274,3.0285,0.8131,,7.043402,2.58059,85.410554,3.1014,11.3395,2.1223,4.4287,2.280829
2022Q2,56.9628,9.4907,112.191734,29.801915,8.6637,3.57307,3.2936,322.431357,9.1859,1.5057,,7.722243,3.516432,83.338714,2.9009,9.5184,2.4023,2.0957,6.87458
2022Q3,55.6242,9.2183,160.970731,25.377035,12.1268,4.233501,4.4252,335.740426,12.0976,2.2732,,7.533564,2.896267,83.427579,2.9195,10.2379,3.5556,2.9629,8.219841
2022Q4,89.3964,25.4991,204.079841,23.895737,15.6288,4.929247,0.8562,-37.239937,13.7996,3.9625,235.19,7.658161,2.650282,71.476376,2.3284,19.2367,2.7066,5.6145,7.348343
2023Q1,90.9238,21.7237,45.004852,-15.120846,3.4822,1.403315,1.2901,-5.186219,0.4161,0.9488,16.99,7.737365,3.161655,76.107772,3.884,20.8604,2.2872,4.8154,1.578191
2023Q2,89.3363,35.4901,98.617938,-12.098749,8.1855,3.74672,3.1093,-5.594353,2.1019,1.5107,52.46,8.300167,3.840701,60.27358,2.046,20.2627,2.9999,4.55,4.238307
2023Q3,91.4204,36.8333,148.063168,-8.018577,13.2739,5.31011,5.0086,13.183528,8.4526,2.2904,29.72,8.965016,3.636743,59.710007,2.6007,20.6539,4.8,7.3892,5.955949
2023Q4,91.1406,37.5735,194.061379,-4.90909,16.5601,6.111546,5.6249,556.944618,6.9031,3.3825,38.96,8.533457,3.269657,58.774118,1.9118,22.0998,2.4347,6.0048,7.029189
2024Q1,87.373,39.0894,44.26476,-1.64447,3.9227,1.590885,1.3288,2.997997,5.121,0.6758,6.34,8.862,3.752601,55.261404,3.5309,17.0075,3.0965,7.2846,1.861012
2024Q2,89.3585,41.2272,90.625364,-8.104585,8.7572,3.709465,3.1496,1.296029,7.3947,1.2479,14.37,9.663037,4.198859,53.863211,2.09,19.6562,2.4712,6.8317,4.216343
2024Q3,89.5873,43.1959,143.882542,-2.823542,13.1027,5.817238,5.1886,3.592089,9.3903,1.4704,21.74,9.10655,4.138589,51.783463,2.7408,20.4399,2.8511,4.6193,6.589694
2024Q4,91.3656,44.9075,197.592151,1.81941,17.4238,7.865354,7.296,29.710166,11.0671,2.1369,28.31,8.81808,4.058514,50.848553,3.2997,21.2458,1.8754,3.7542,8.787986
2025Q1,96.3449,46.4811,48.028777,8.503416,5.782,2.769202,2.8295,112.935762,6.0023,0.7475,8.7,12.038628,5.785898,51.755526,2.8991,18.4478,2.3744,9.753,2.960832
2025Q2,92.8313,48.4892,104.117298,14.887592,12.6884,5.854498,5.9413,88.633802,10.8876,0.9505,17.57,12.186666,5.664793,47.766281,2.3087,17.8299,2.8606,13.2112,6.404051
2025Q3,89.4798,46.0396,160.482954,11.537475,19.8002,8.581039,9.4572,82.27111,16.0281,1.4235,24.76,12.337879,5.337785,48.547536,2.8394,17.4516,2.5792,11.8895,9.473546
2025Q4,94.9255,48.4712,222.464232,12.587586,25.9079,11.25229,14.5711,99.712884,18.4026,1.9678,31.4,11.645891,5.05926,48.93759,1.1104,22.4808,2.2951,8.2968,12.08329
2026Q1,101.0085,59.8881,70.075132,45.902386,16.8807,11.436805,11.9807,323.41697,15.1699,0.4345,25.3,24.089434,16.350728,40.709813,3.0504,21.6777,2.1998,12.9773,11.695563
2026Q2,90.8469,59.9458,141.504881,35.909099,28.4015,19.480729,19.5231,228.600766,22.7211,0.8704,39.52,20.071037,13.772278,34.014458,2.0624,21.3355,2.6076,6.0397,20.980993
