# GoalTracker 财务数据
公司,工业富联
股票代码,601138.SH
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,totalAssetTurnover
2022Q1,2676.276,1228.9861,1050.62471,6.793916,71.1386,32.55787,30.9999,8.151876,17.568,13.7059,2.72,6.771073,3.09783,54.078497,1.218433
2022Q2,2835.2517,1163.8943,2252.60378,14.911189,146.5132,68.71623,63.7231,5.026996,-54.0076,25.9248,5.61,6.504171,3.054773,58.949173,2.501643
2022Q3,2964.8063,1211.3074,3610.84106,18.249671,249.8756,117.95897,113.4693,10.81813,-19.1476,50.1847,9.45,6.92015,3.269917,59.143792,4.193704
2022Q4,2841.8766,1293.3351,5118.49579,16.446639,371.718,200.73072,184.1039,-0.918313,153.6563,80.9329,16.17,7.26225,3.923787,54.490105,7.292672
2023Q1,2576.12,1325.2354,1058.88545,0.786269,77.9492,31.2837,32.0672,3.442749,208.4417,22.8248,2.4,7.36144,2.950361,48.556924,1.153228
2023Q2,2681.5226,1269.2527,2067.76498,-8.205562,148.306,71.61029,75.3644,18.268727,265.8537,40.5513,5.86,7.172285,3.461959,52.666716,2.592069
2023Q3,2723.45,1332.4997,3288.18385,-8.935791,261.6803,134.84712,135.329,19.264874,321.2216,60.2843,10.75,7.958201,4.10433,51.0731,4.849955
2023Q4,2877.053,1405.9534,4763.40107,-6.937482,383.7581,210.40193,202.0891,9.769003,430.8373,91.897,15.63,8.056388,4.412459,51.132171,7.350436
2024Q1,2767.1334,1458.5426,1186.87964,12.087633,90.6563,41.84884,42.7207,33.222337,52.0517,28.1289,2.93,7.638203,3.533433,47.290486,1.486046
2024Q2,2932.4896,1390.9553,2660.91235,28.685435,179.1405,87.39098,85.3323,13.226251,48.1144,49.5799,6.02,6.732296,3.284917,52.567428,3.009144
2024Q3,3084.4322,1439.7197,4363.73331,32.709529,297.7808,151.41032,147.3365,8.87276,41.5162,77.1903,10.04,6.823992,3.471793,53.323023,5.082618
2024Q4,3175.2352,1531.3649,6091.35428,27.878257,443.2119,232.16469,234.1386,15.859097,238.1987,112.8088,15.85,7.276081,3.817707,51.771607,7.684699
2025Q1,3626.637,1576.2703,1604.15051,35.156966,108.0315,52.30775,49.0282,14.764589,12.9914,34.1751,3.48,6.7345,3.273736,56.536309,1.544153
2025Q2,3831.2808,1519.8794,3607.59653,35.577428,238.2537,121.13357,116.6784,36.734108,14.0703,62.914,7.64,6.604224,3.364536,60.329731,3.464743
2025Q3,4473.3838,1618.6562,6039.3143,38.397878,408.456,224.86768,216.5719,46.991413,-41.4057,100.338,14.38,6.763285,3.72916,63.815843,5.889056
2025Q4,4562.2382,1671.1423,9028.87188,48.224376,629.8559,352.85561,341.882,46.01694,52.3791,172.2996,21.65,6.97602,3.912899,63.370122,9.131938
2026Q1,4571.8799,1765.5589,2510.78078,56.517781,184.5551,105.94857,102.4951,109.053424,250.2403,38.6853,6.18,7.350508,4.220408,61.382212,2.320206
2026Q2,5127.5018,1760.9798,5578.60645,54.634988,398.9085,237.40458,229.8412,96.986957,73.9146,90.9188,13.36,7.150683,4.257171,65.656184,4.901903
