# GoalTracker 财务数据
公司,长飞光纤
股票代码,601869.SH
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,accountsReceivable,inventory,contractLiab,cash,totalAssetTurnover
2022Q1,214.0519,108.3854,29.816781,55.954083,6.0928,2.035774,1.5733,111.098595,-2.7708,2.0765,2.06,20.434023,7.055836,49.364871,50.2654,27.1701,7.8058,33.7946,1.029171
2022Q2,246.5563,115.1793,63.91375,46.871078,14.356,5.253932,4.6329,188.050248,3.3108,8.4105,5.28,22.461557,8.095248,53.284798,52.534,26.9048,7.5218,42.162,2.344652
2022Q3,280.9099,142.1046,102.424327,50.878231,23.7748,8.754249,7.9096,238.694549,9.435,14.4697,8.8,23.21205,8.433809,49.412748,57.1717,31.0987,8.2473,43.6678,3.631842
2022Q4,282.0331,145.3706,138.303184,45.031552,32.4323,11.669985,9.8206,216.143625,15.945,22.2817,11.84,23.450126,8.396346,48.456181,50.3524,31.5872,8.1665,43.2389,4.870779
2023Q1,289.159,147.6335,31.951257,7.158643,8.1307,2.410383,2.2948,45.863643,-0.5356,6.0508,2.35,25.447107,6.889163,48.94382,50.8772,32.2009,8.2664,42.6442,0.77073
2023Q2,310.3902,149.1174,69.151831,8.195547,18.044,6.070149,5.6365,21.663847,3.4397,8.3718,5.88,26.093257,9.057766,51.958104,57.1819,32.5806,9.4649,51.9375,2.114573
2023Q3,296.4019,147.7408,100.293222,-2.080663,26.0545,8.805906,7.1002,-10.23245,6.7038,13.4757,8.36,25.978334,8.22858,50.155254,53.6105,31.8686,9.2868,41.7366,2.853461
2023Q4,291.4234,143.975,133.527535,-3.453029,32.7196,12.974378,7.2997,-25.669233,15.1441,22.6269,12.07,24.503983,8.814196,50.595952,51.9705,29.4135,4.986,38.9584,4.104716
2024Q1,292.678,144.7481,23.869395,-25.294347,6.3964,0.579201,0.2442,-89.356711,1.0405,2.7693,0.51,26.797541,1.394932,50.543578,48.8871,30.1838,4.7725,42.0269,0.114008
2024Q2,298.7991,145.4836,53.480877,-22.661662,14.9207,3.777489,1.1988,-78.731251,2.1356,5.7928,3.34,27.899086,6.132118,51.310546,50.12,32.7842,4.9373,36.1362,1.111279
2024Q3,306.2452,148.1444,86.944986,-13.309211,24.1811,5.729372,3.0794,-56.630078,7.4393,9.4368,5.01,27.811952,5.977642,51.625567,53.3986,31.4296,4.9814,30.8418,1.739178
2024Q4,317.2672,155.8129,121.974099,-8.652474,33.3012,6.758788,3.6721,-49.695002,17.8335,13.858,5.94,27.301889,4.76539,50.889055,52.6159,31.7577,2.7021,32.9256,1.909851
2025Q1,319.7906,153.7281,28.93751,21.232688,8.0568,1.516966,0.4325,77.071078,4.3551,2.3933,1.15,27.84218,6.124152,51.928499,53.1637,33.8972,2.6051,32.4131,0.556363
2025Q2,318.3378,152.0826,63.844747,19.378647,18.0658,2.957432,1.3757,14.752815,8.4225,5.3737,2.53,28.296403,5.425868,52.226034,56.4528,32.4718,2.6921,25.3138,1.090027
2025Q3,348.6441,161.7295,102.753027,18.181659,29.6192,4.696779,2.8284,-8.149634,18.1593,8.5943,3.98,28.825646,5.26356,53.611862,58.6157,34.0241,5.5135,37.4119,1.624381
2025Q4,363.6285,177.7299,142.52103,16.845323,43.8032,8.137373,5.1616,40.562505,36.529,14.2225,6.92,30.734539,6.188278,51.12322,59.505,31.5343,6.3159,57.637,2.590587
2026Q1,360.7469,182.9065,36.95361,27.701416,15.3411,4.951317,4.6122,966.439341,6.1775,3.3591,3.53,41.514564,15.837786,49.297827,59.0608,35.0409,6.3517,55.2484,1.615912
2026Q2,391.5389,203.8013,98.089622,53.637732,52.3418,29.245409,24.4938,1680.478545,18.2612,6.7134,19.22,53.361207,32.484798,47.948659,72.6999,44.6998,7.4093,49.4035,8.43898
