# GoalTracker 财务数据
公司,招商轮船
股票代码,601872.SH
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,totalAssetTurnover
2021Q4,601.3554,268.8335,244.122303,12.965209,45.7639,36.09069,18.713,-32.404537,65.0851,24.296,12.54,18.746319,14.986627,55.295397,5.982944
2022Q1,605.7568,282.2087,60.957626,36.473005,16.4605,13.051491,12.9173,248.782889,10.5276,3.3485,4.82,27.003167,21.478098,53.412217,2.169233
2022Q2,643.2268,300.989,137.272679,32.24771,32.9841,28.90186,27.0673,200.605926,30.873,14.2227,10.32,24.028145,21.130191,53.206399,4.661159
2022Q3,661.5938,325.9049,215.792176,29.757622,47.7224,38.66688,36.4806,156.847994,45.9981,21.5234,13.21,22.114968,18.012818,50.739421,6.155474
2022Q4,654.7382,335.0382,297.084053,21.694761,65.1319,50.874087,48.0924,156.999965,69.9517,26.9599,17.11,21.923722,17.060775,48.828673,8.070233
2023Q1,612.4555,343.0149,58.8316,-3.487711,15.576,11.21512,11.0185,-14.699613,22.3569,8.912,3.35,26.475587,19.222513,43.993504,1.784875
2023Q2,614.0452,357.9936,129.900621,-5.370376,35.2646,27.707098,27.3553,1.064039,44.4377,17.0767,7.93,27.147334,21.583989,41.699148,4.419625
2023Q3,614.8845,367.6646,190.22531,-11.847911,48.982,37.58225,36.1784,-0.828323,66.7795,30.2635,10.77,25.749472,20.060907,40.205913,6.01138
2023Q4,623.9466,373.3908,258.810131,-12.883197,67.0433,48.369666,46.4044,-3.50995,89.173,44.8873,13.25,25.904431,19.016409,40.156609,7.697971
2024Q1,635.7226,390.8627,62.537966,6.299958,17.8959,13.752362,13.5864,23.305847,18.0302,10.7394,3.66,28.616066,22.365261,38.516779,2.220707
2024Q2,673.2468,384.5078,132.34503,1.881753,36.2866,24.969315,24.447,-10.6316,40.9724,35.8297,6.53,27.418157,19.245023,42.88754,3.926913
2024Q3,659.1344,380.8678,192.962196,1.43876,51.094,33.691794,32.8818,-9.111918,64.0216,64.4262,8.93,26.478781,17.845836,42.216982,5.367661
2024Q4,706.1931,408.4919,257.992794,-0.315806,73.3236,51.074479,50.15,8.071711,84.7622,75.5024,13.21,28.420812,20.191277,42.155783,7.832567
2025Q1,724.2703,414.5817,55.951745,-10.531556,13.7659,8.654408,8.5318,-37.203462,13.8007,7.5657,2.14,24.603175,15.746192,42.75871,1.231806
2025Q2,778.8034,411.9991,125.846316,-4.910433,29.6293,21.245683,19.0618,-22.027937,35.2639,26.2347,5.28,23.544043,17.13388,47.098451,2.904028
2025Q3,779.6039,415.249,193.099347,0.071077,45.1197,32.99888,29.009,-11.778182,58.0349,58.2727,8.11,23.366042,17.314521,46.7359,4.500511
2025Q4,820.5488,437.5479,281.772111,9.217047,74.597,60.120963,50.2401,0.17959,90.5493,77.9688,14.55,26.474245,21.544762,46.676184,7.952507
2026Q1,852.6425,458.2134,85.560139,52.91773,35.7588,27.634134,27.5665,223.102802,33.1393,38.6552,6.28,41.793717,32.471914,46.259614,3.320961
