# GoalTracker 财务数据
公司,大豪科技
股票代码,603025.SH
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,totalAssetTurnover
2022Q1,24.2132,17.3058,3.975835,6.949806,1.6093,0.795594,0.7886,4.996476,0.1755,0.0461,3.96,40.47694,20.457806,28.52769,3.425085
2022Q2,23.5166,18.7537,7.461217,-9.941482,3.0962,2.212932,1.6051,-15.682459,1.3226,0.0567,11.67,41.49717,30.228814,20.253509,9.639001
2022Q3,30.7557,20.4708,11.375116,-4.541283,4.6794,3.310302,2.4985,-11.816043,1.7359,0.1187,17.52,41.137182,30.047795,33.440774,12.650418
2022Q4,31.2653,21.6415,15.97624,6.162805,6.4753,4.352018,3.4314,0.906873,2.1823,0.1322,22.78,40.530537,28.561006,30.780977,16.730488
2023Q1,32.1204,22.3961,4.264613,7.263328,1.7188,0.728437,0.7119,-9.732428,0.343,0.0322,3.51,40.30474,18.088668,30.274497,2.434027
2023Q2,33.0162,21.6676,9.347538,25.281672,3.6651,1.81784,1.7769,10.700342,1.375,0.064,8.66,39.208838,20.490605,34.372683,5.959313
2023Q3,37.4188,24.6332,14.10761,24.021682,5.5317,2.913312,2.8162,12.717798,1.2898,0.0975,13.86,39.210543,21.88757,34.168935,8.991346
2023Q4,39.3561,24.2956,20.325192,27.221374,7.8968,4.054962,3.967,15.607345,3.3205,0.1347,19.01,38.852312,21.538914,38.267144,12.398026
2024Q1,44.5065,25.8873,6.426586,50.695639,2.7235,1.483757,1.4342,101.476558,0.3075,0.0473,6.65,42.378193,25.433679,41.834748,3.898085
2024Q2,42.6737,24.3981,13.088248,40.018135,5.5078,3.214555,3.2158,80.984653,0.9943,0.0854,14.2,42.081902,26.404635,42.826258,8.425977
2024Q3,43.247,26.1144,19.134058,35.629335,8.0858,4.921482,4.9092,74.318211,1.2258,0.1248,21.81,42.258617,27.18408,39.615687,12.593758
2024Q4,44.1249,27.1677,25.288848,24.421203,10.5861,5.842539,5.8616,47.76032,2.2739,0.1778,25.89,41.860711,24.674039,38.429896,14.948989
2025Q1,45.8792,28.7254,7.251526,12.836363,2.9328,1.683431,1.7216,20.034353,0.068,0.3414,6.81,40.444034,24.643082,37.389084,3.970931
2025Q2,43.8913,27.2421,14.830648,13.312705,6.437,3.987668,3.9949,24.225661,1.8628,0.3895,16.23,43.40349,28.540757,37.932701,9.618185
2025Q3,49.1559,29.3048,22.278542,16.433966,9.8149,6.00773,6.1584,25.446686,2.164,0.4837,24.31,44.055234,28.465998,40.383996,13.597251
2025Q4,49.7977,30.6093,30.017356,18.697999,13.0196,7.101163,7.2628,23.904938,3.8256,0.5613,28.56,43.373638,25.276619,38.532674,16.156651
2026Q1,49.1291,32.9348,8.381531,15.582998,3.9895,2.378943,2.331,35.398874,1.184,0.0524,8.37,47.599154,30.334294,32.962764,5.14012
2026Q2,52.0701,31.1644,18.295795,23.364776,8.4455,5.321402,5.3354,33.554237,3.5527,0.0985,18.87,46.161152,31.353164,40.149241,11.262261
