# GoalTracker 财务数据
公司,金海通
股票代码,603061.SH
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,totalAssetTurnover
2022Q1,,,1.059643,,0.5991,0.353565,,,-0.0958,0.0896,,56.539273,33.366388,,
2022Q2,7.2787,5.0475,2.110813,5.88894,1.222,0.767875,0.7872,17.584829,0.2799,0.2317,16.48,57.894509,36.378174,30.653127,11.454876
2022Q3,,,3.400388,,1.9568,1.230652,,,0.3271,0.5458,,57.546059,36.191528,,
2022Q4,8.1712,5.8274,4.26018,1.386051,2.4434,1.539315,1.5312,0.168742,0.6719,0.5762,30.49,57.355159,36.132632,28.683553,21.529709
2023Q1,16.1998,13.6135,1.015514,-4.164568,0.5437,0.318958,0.3096,,-0.3217,0.0339,3.76,53.537736,31.408543,15.964952,2.617522
2023Q2,15.8047,13.5912,1.862049,-11.785201,0.9434,0.449589,0.4102,-47.89324,-0.6358,0.1504,4.08,50.665779,24.144868,14.005601,3.750347
2023Q3,15.64,13.6678,2.686667,-20.989402,1.343,0.527195,0.473,,-0.8366,1.1879,4.45,49.985775,19.622659,12.609838,4.428136
2023Q4,15.8498,13.9886,3.472345,-18.492994,1.651,0.847941,0.6947,-54.632198,-0.4836,1.2298,6.84,47.548022,24.419833,11.743191,7.059997
2024Q1,14.1854,12.5447,0.885635,-12.7894,0.4128,0.148926,0.1315,-57.506471,-0.3104,0.0279,1.08,46.613672,16.815771,11.56592,0.991679
2024Q2,14.9959,12.6278,1.831367,-1.64777,0.883,0.396768,0.3452,-15.835125,-0.0265,0.3701,3,48.213358,21.665138,15.79181,2.5726
2024Q3,14.9838,12.78,2.563309,-4.591462,1.2491,0.449284,0.3768,-20.353703,0.2243,0.7235,3.45,48.729455,17.527512,14.707749,2.91425
2024Q4,15.9857,13.1623,4.066663,17.115741,1.93,0.784815,0.6774,-2.489659,0.5899,0.9205,6.01,47.460029,19.298744,17.661637,4.930441
2025Q1,16.6432,13.4766,1.286056,45.212839,0.6207,0.256585,0.2431,84.795741,0.0598,0.4848,1.93,48.261091,19.951311,19.026651,1.572748
2025Q2,17.8976,14.1847,3.07416,67.861488,1.5797,0.760055,0.7381,113.799482,0.1658,0.7496,5.61,51.385436,24.724002,20.745412,4.486317
2025Q3,19.5634,15.392,4.815957,87.88045,2.5019,1.249813,1.2148,222.43092,0.4995,1.0613,8.95,51.950638,25.951488,21.322305,7.031482
2025Q4,21.4965,16.1429,6.98176,71.682774,3.645,1.765253,1.7105,152.520534,1.2781,1.167,12.22,52.206928,25.283779,24.904455,9.419158
2026Q1,23.5685,17.0788,2.839199,120.767815,1.5036,0.825024,0.8099,233.166364,1.0183,0.4323,4.94,52.958743,29.058334,27.535474,3.661481
2026Q2,26.383,18.9673,6.007136,95.407381,3.2166,1.711746,1.6855,128.348144,0.5782,1.2472,9.93,53.546342,28.495218,28.107689,7.15023
